試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2021-02-28,東レアローズ,1,,富松崇彰,2,nan,nan,nan,□,■,1,1,0,100.0,100.0,0.50,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,,,,,,,,
2021-02-28,東レアローズ,2,,高橋健太郎,5,■,■,■,■,□,11,7,0,63.6,63.6,1.40,0,0,0,-,2,0.40,8,1,2,3,15.6,0,0,0,-,,,,,,,,
2021-02-28,東レアローズ,3,L,山口拓海,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,11,5,71.1,,,,,,,,
2021-02-28,東レアローズ,4,,パダルクリスティアン,5,■,■,■,■,■,45,23,3,51.1,44.4,4.60,11,5,1,45.5,2,0.40,21,2,5,8,13.1,0,0,0,-,,,,,,,,
2021-02-28,東レアローズ,5,,米山裕太,1,nan,nan,□,nan,nan,2,1,1,50.0,0.0,1.00,0,0,0,-,0,-,2,0,1,1,0.0,2,1,0,50.0,,,,,,,,
2021-02-28,東レアローズ,6,,落合一貴,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-02-28,東レアローズ,7,,峯村雄大,4,□,□,□,nan,□,0,0,0,,,-,0,0,0,-,0,-,5,0,1,2,5.0,0,0,0,-,,,,,,,,
2021-02-28,東レアローズ,8,,真子康佑,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-28,東レアローズ,9,,富田将馬,5,■,■,■,■,■,33,21,1,63.6,60.6,4.20,5,2,0,40.0,3,0.60,16,0,4,4,0.0,48,35,9,82.3,,,,,,,,
2021-02-28,東レアローズ,10,,星野秀知,4,■,■,■,■,nan,19,9,2,47.4,36.8,2.25,0,0,0,-,1,0.25,10,0,1,1,0.0,13,5,4,53.8,,,,,,,,
2021-02-28,東レアローズ,15,,李博,4,nan,□,□,□,□,5,2,0,40.0,40.0,0.50,0,0,0,-,0,-,3,0,0,0,0.0,1,1,0,100.0,,,,,,,,
2021-02-28,東レアローズ,17,,小澤宙輝,2,nan,nan,nan,□,■,8,5,0,62.5,62.5,2.50,0,0,0,-,0,-,6,0,1,1,0.0,7,4,1,64.3,,,,,,,,
2021-02-28,東レアローズ,18,,鈴木悠二,5,■,■,■,■,■,5,4,1,80.0,60.0,0.80,0,0,0,-,0,-,18,1,3,5,8.3,1,0,0,0.0,,,,,,,,
2021-02-28,東レアローズ,21,,藤井直伸,5,■,■,■,■,■,0,0,0,,,-,0,0,0,-,0,-,15,0,1,2,1.7,1,0,0,0.0,,,,,,,,
2021-02-28,東レアローズ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,129,73,8,56.6,50.4,14.60,16,7,1,43.8,8,1.60,109,4,19,28,5.7,92,57,19,72.3,122,64,7,52.5,12,2.40,3.3,52.8
