試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2007-01-28,豊田合成トレフェルサ,パナソニックパンサーズ,1,,盛重龍,5,■,■,■,■,■,29,20,1,69.0,65.5,4.00,5,5,0,100.0,1,0.20,17,1,3,4,11.8,32,23,0,71.9,22
2007-01-28,豊田合成トレフェルサ,パナソニックパンサーズ,2,,北川祐介,5,■,■,■,■,■,15,9,1,60.0,53.3,1.80,0,0,0,-,4,0.80,18,0,0,3,4.2,0,0,0,-,13
2007-01-28,豊田合成トレフェルサ,パナソニックパンサーズ,3,,諸隈直樹,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2007-01-28,豊田合成トレフェルサ,パナソニックパンサーズ,4,,ビッタールファビアノ,5,■,■,■,■,■,33,16,6,48.5,30.3,3.20,16,9,4,56.2,0,-,19,0,7,8,10.5,0,0,0,-,16
2007-01-28,豊田合成トレフェルサ,パナソニックパンサーズ,5,,福島政則,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2007-01-28,豊田合成トレフェルサ,パナソニックパンサーズ,6,,甲斐祐之,5,■,■,■,■,■,30,18,0,60.0,60.0,3.60,2,0,0,0.0,2,0.40,23,3,4,8,20.9,43,27,0,62.8,23
2007-01-28,豊田合成トレフェルサ,パナソニックパンサーズ,9,,川浦博昭,3,■,■,□,nan,nan,6,1,1,16.7,0.0,0.33,0,0,0,-,1,0.33,5,1,1,1,21.0,0,0,0,-,3
2007-01-28,豊田合成トレフェルサ,パナソニックパンサーズ,11,L,森佑之,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,13,0,81.2,0
2007-01-28,豊田合成トレフェルサ,パナソニックパンサーズ,13,,岡本秀明,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0
2007-01-28,豊田合成トレフェルサ,パナソニックパンサーズ,19,,島野俊一,5,■,■,■,■,■,0,0,0,,,-,0,0,0,-,0,-,13,0,0,2,3.8,1,0,0,0.0,0
2007-01-28,豊田合成トレフェルサ,パナソニックパンサーズ,20,,山本英之,4,nan,□,■,■,■,7,3,1,42.9,28.6,0.75,0,0,0,-,1,0.25,9,0,1,4,11.1,1,1,0,100.0,4
2007-01-28,豊田合成トレフェルサ,パナソニックパンサーズ,21,,高橋幸造,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2007-01-28,豊田合成トレフェルサ,パナソニックパンサーズ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,120,67,10,55.8,47.5,13.40,23,14,4,60.9,9,1.80,106,5,16,31,11.7,93,64,0,68.8,81
