試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2018-02-17,豊田合成トレフェルサ,JTサンダーズ,1,,山田脩造,3,■,■,nan,□,nan,7,2,1,28.6,14.3,0.67,0,0,0,-,1,0.33,4,1,0,0,25.0,9,4,2,55.6,4
2018-02-17,豊田合成トレフェルサ,JTサンダーズ,2,,山近哲,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-17,豊田合成トレフェルサ,JTサンダーズ,4,,内山正平,4,□,■,■,■,nan,1,1,0,100.0,100.0,0.25,0,0,0,-,0,-,9,0,0,1,2.8,0,0,0,-,1
2018-02-17,豊田合成トレフェルサ,JTサンダーズ,5,,前田一誠,3,■,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,0,0.0,0,0,0,-,0
2018-02-17,豊田合成トレフェルサ,JTサンダーズ,6,,近裕崇,4,■,■,■,■,nan,6,5,0,83.3,83.3,1.25,0,0,0,-,0,-,8,0,0,1,3.1,0,0,0,-,5
2018-02-17,豊田合成トレフェルサ,JTサンダーズ,7,,白岩直也,4,□,□,■,■,nan,1,0,0,0.0,0.0,-,0,0,0,-,1,0.25,7,0,3,0,-10.7,22,15,1,70.5,1
2018-02-17,豊田合成トレフェルサ,JTサンダーズ,10,L,古賀幸一郎,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,26,20,3,82.7,0
2018-02-17,豊田合成トレフェルサ,JTサンダーズ,11,,傳田亮太,4,■,■,■,■,nan,9,7,1,77.8,66.7,1.75,0,0,0,-,0,-,13,0,2,4,3.8,0,0,0,-,7
2018-02-17,豊田合成トレフェルサ,JTサンダーズ,12,,高松卓矢,4,■,■,■,■,nan,26,16,1,61.5,57.7,4.00,6,4,1,66.7,1,0.25,15,1,4,6,10.0,13,6,1,50.0,18
2018-02-17,豊田合成トレフェルサ,JTサンダーズ,13,,岡本秀明,2,nan,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,1,0.0,0,0,0,-,0
2018-02-17,豊田合成トレフェルサ,JTサンダーズ,15,,オムルチェンイゴール,4,■,■,■,■,nan,40,17,4,42.5,32.5,4.25,23,11,4,47.8,0,-,23,4,2,11,27.2,0,0,0,-,21
2018-02-17,豊田合成トレフェルサ,JTサンダーズ,17,L,渡邊侑磨,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-17,豊田合成トレフェルサ,JTサンダーズ,18,,新井洋介,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-17,豊田合成トレフェルサ,JTサンダーズ,20,,川口太一,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,5,2,3,70.0,0
2018-02-17,豊田合成トレフェルサ,JTサンダーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,90,48,7,53.3,45.6,12.00,29,15,5,51.7,3,0.75,86,6,12,24,10.5,75,47,10,69.3,57
