試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2005-03-04,JTマーヴェラス,NECレッドロケッツ,1,,江藤直美,5,■,■,■,■,■,21,8,0,38.1,38.1,1.60,0,0,0,-,3,0.60,12,0,0,3,6.2,0,0,0,-,11
2005-03-04,JTマーヴェラス,NECレッドロケッツ,2,,谷口雅美,5,■,■,■,■,■,46,17,4,37.0,28.3,3.40,7,2,2,28.6,3,0.60,21,2,3,4,13.3,23,10,0,43.5,22
2005-03-04,JTマーヴェラス,NECレッドロケッツ,3,,森山淳子,5,■,■,■,■,■,20,10,1,50.0,45.0,2.00,1,0,0,0.0,0,-,20,0,1,5,6.2,12,10,0,83.3,10
2005-03-04,JTマーヴェラス,NECレッドロケッツ,4,,シルバラケル,1,nan,nan,□,nan,nan,4,2,1,50.0,25.0,2.00,0,0,0,-,0,-,1,0,0,0,0.0,3,3,0,100.0,2
2005-03-04,JTマーヴェラス,NECレッドロケッツ,5,L,菅山かおる,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,13,0,68.4,0
2005-03-04,JTマーヴェラス,NECレッドロケッツ,6,,熊前知加子,5,■,■,■,■,■,41,8,5,19.5,7.3,1.60,1,1,0,100.0,3,0.60,10,1,1,4,20.0,23,18,0,78.3,12
2005-03-04,JTマーヴェラス,NECレッドロケッツ,7,,竹下佳江,5,■,■,■,■,■,2,0,0,0.0,0.0,-,0,0,0,-,0,-,14,0,2,5,8.9,0,0,0,-,0
2005-03-04,JTマーヴェラス,NECレッドロケッツ,8,,佐田樹理,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,10,0,0,1,2.5,9,7,0,77.8,0
2005-03-04,JTマーヴェラス,NECレッドロケッツ,9,,宝来麻紀子,5,■,■,■,■,■,45,14,2,31.1,26.7,2.80,2,0,1,0.0,3,0.60,8,0,1,1,3.1,7,3,0,42.9,17
2005-03-04,JTマーヴェラス,NECレッドロケッツ,10,,河村聖子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2005-03-04,JTマーヴェラス,NECレッドロケッツ,11,,朝倉香苗,3,nan,nan,□,□,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,3,0,100.0,0
2005-03-04,JTマーヴェラス,NECレッドロケッツ,14,,高木理江,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2005-03-04,JTマーヴェラス,NECレッドロケッツ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,179,59,13,33.0,25.7,11.80,11,3,3,27.3,12,2.40,96,3,8,23,8.9,99,67,0,67.7,74
