試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2018-02-18,JTマーヴェラス,NECレッドロケッツ,1,,芥川愛加,4,■,■,■,■,nan,20,8,2,40.0,30.0,2.00,0,0,0,-,1,0.25,10,0,1,2,2.5,0,0,0,-,9
2018-02-18,JTマーヴェラス,NECレッドロケッツ,2,,田中瑞稀,3,nan,□,■,■,nan,15,6,1,40.0,33.3,2.00,1,1,0,100.0,0,-,8,1,0,1,15.6,24,12,3,56.2,7
2018-02-18,JTマーヴェラス,NECレッドロケッツ,3,,奥村麻依,4,■,■,■,■,nan,22,11,0,50.0,50.0,2.75,0,0,0,-,2,0.50,15,1,0,6,16.7,0,0,0,-,14
2018-02-18,JTマーヴェラス,NECレッドロケッツ,4,,橘井友香,3,□,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,1,0,-6.2,1,0,0,0.0,0
2018-02-18,JTマーヴェラス,NECレッドロケッツ,6,,金杉由香,2,■,■,nan,nan,nan,14,3,4,21.4,-7.1,1.50,5,2,2,40.0,0,-,10,0,0,3,7.5,7,2,1,35.7,3
2018-02-18,JTマーヴェラス,NECレッドロケッツ,7,,田中美咲,4,■,■,■,■,nan,3,2,0,66.7,66.7,0.50,0,0,0,-,1,0.25,18,0,1,6,6.9,0,0,0,-,3
2018-02-18,JTマーヴェラス,NECレッドロケッツ,9,,ミハイロビッチブランキツァ,4,■,■,■,■,nan,71,31,9,43.7,31.0,7.75,24,10,3,41.7,0,-,11,2,2,3,20.5,0,0,0,-,33
2018-02-18,JTマーヴェラス,NECレッドロケッツ,10,,井上琴絵,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,9,0,0,4,11.1,5,2,1,50.0,0
2018-02-18,JTマーヴェラス,NECレッドロケッツ,11,,目黒優佳,4,■,■,■,■,nan,19,7,0,36.8,36.8,1.75,0,0,0,-,0,-,12,1,2,2,8.3,16,6,4,50.0,8
2018-02-18,JTマーヴェラス,NECレッドロケッツ,13,,小川杏奈,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2018-02-18,JTマーヴェラス,NECレッドロケッツ,15,L,小幡真子,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,23,11,6,60.9,0
2018-02-18,JTマーヴェラス,NECレッドロケッツ,16,,山本美沙,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-18,JTマーヴェラス,NECレッドロケッツ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,164,68,16,41.5,31.7,17.00,30,13,5,43.3,4,1.00,98,5,7,27,10.2,76,33,15,53.3,77
