試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2019-03-16,JTマーヴェラス,トヨタ車体クインシーズ,3,0,1,1,,芥川愛加,3,■,■,■,nan,nan,15,7,0,46.7,46.7,2.33,0,0,0,-,2,0.67,11,1,1,4,15.9,0,0,0,-,10
2019-03-16,JTマーヴェラス,トヨタ車体クインシーズ,3,0,1,2,,林琴奈,3,■,■,■,nan,nan,21,7,3,33.3,19.0,2.33,2,0,0,0.0,0,-,13,0,1,0,-1.9,21,11,4,61.9,7
2019-03-16,JTマーヴェラス,トヨタ車体クインシーズ,3,0,1,3,,小川杏奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-16,JTマーヴェラス,トヨタ車体クインシーズ,3,0,1,4,,橘井友香,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,1,0,2,37.5,0,0,0,-,1
2019-03-16,JTマーヴェラス,トヨタ車体クインシーズ,3,0,1,5,,柴田真果,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-16,JTマーヴェラス,トヨタ車体クインシーズ,3,0,1,6,,田中瑞稀,3,■,■,■,nan,nan,44,15,3,34.1,27.3,5.00,8,1,0,12.5,2,0.67,14,1,0,5,16.1,24,8,6,45.8,18
2019-03-16,JTマーヴェラス,トヨタ車体クインシーズ,3,0,1,7,,田中美咲,3,■,■,■,nan,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,12,0,1,3,4.2,0,0,0,-,1
2019-03-16,JTマーヴェラス,トヨタ車体クインシーズ,3,0,1,8,,カムンタラーケオカラヤー,3,■,■,■,nan,nan,6,3,1,50.0,33.3,1.00,0,0,0,-,1,0.33,6,0,0,2,8.3,0,0,0,-,4
2019-03-16,JTマーヴェラス,トヨタ車体クインシーズ,3,0,1,9,,ミハイロヴィッチブランキツァ,3,■,■,■,nan,nan,44,18,2,40.9,36.4,6.00,6,4,0,66.7,0,-,12,0,0,6,12.5,0,0,0,-,18
2019-03-16,JTマーヴェラス,トヨタ車体クインシーズ,3,0,1,10,,栗原恵,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-16,JTマーヴェラス,トヨタ車体クインシーズ,3,0,1,11,,目黒優佳,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,5,1,4,60.0,0
2019-03-16,JTマーヴェラス,トヨタ車体クインシーズ,3,0,1,14,,ヒックマンジャスティス,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,0,2,33.3,0
2019-03-16,JTマーヴェラス,トヨタ車体クインシーズ,3,0,1,15,L,小幡真子,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,8,3,3,56.2,0
2019-03-16,JTマーヴェラス,トヨタ車体クインシーズ,3,0,1,16,,山本美沙,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-16,JTマーヴェラス,トヨタ車体クインシーズ,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,131,51,9,38.9,32.1,17.00,16,5,0,31.2,5,1.67,74,3,3,22,10.5,61,23,19,53.3,59
