試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2018-12-08,JTマーヴェラス,岡山シーガルズ,3,0,1,1,,芥川愛加,3,■,■,■,nan,nan,16,9,2,56.2,43.8,3.00,0,0,0,-,3,1.00,9,0,1,5,11.1,0,0,0,-,12,,,,,,,,
2018-12-08,JTマーヴェラス,岡山シーガルズ,3,0,1,2,,林琴奈,3,■,■,■,nan,nan,22,9,3,40.9,27.3,3.00,0,0,0,-,0,-,6,0,0,2,8.3,27,17,3,68.5,9,,,,,,,,
2018-12-08,JTマーヴェラス,岡山シーガルズ,3,0,1,3,,小川杏奈,3,■,■,■,nan,nan,12,4,3,33.3,8.3,1.33,0,0,0,-,1,0.33,9,0,0,1,2.8,0,0,0,-,5,,,,,,,,
2018-12-08,JTマーヴェラス,岡山シーガルズ,3,0,1,4,,橘井友香,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,0,,,,,,,,
2018-12-08,JTマーヴェラス,岡山シーガルズ,3,0,1,5,,柴田真果,2,nan,□,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,0,2,10.0,0,0,0,-,0,,,,,,,,
2018-12-08,JTマーヴェラス,岡山シーガルズ,3,0,1,6,,田中瑞稀,3,■,■,■,nan,nan,44,18,2,40.9,36.4,6.00,7,3,0,42.9,1,0.33,13,2,2,5,21.2,15,9,5,76.7,21,,,,,,,,
2018-12-08,JTマーヴェラス,岡山シーガルズ,3,0,1,7,,田中美咲,2,■,■,nan,nan,nan,1,0,0,0.0,0.0,-,1,0,0,0.0,0,-,7,0,0,0,0.0,1,1,0,100.0,0,,,,,,,,
2018-12-08,JTマーヴェラス,岡山シーガルズ,3,0,1,8,,カムンタラーケオカラヤー,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2018-12-08,JTマーヴェラス,岡山シーガルズ,3,0,1,9,,ミハイロヴィッチブランキツァ,3,■,■,■,nan,nan,40,19,0,47.5,47.5,6.33,7,1,0,14.3,1,0.33,13,0,1,3,3.8,5,3,0,60.0,20,,,,,,,,
2018-12-08,JTマーヴェラス,岡山シーガルズ,3,0,1,10,,栗原恵,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2018-12-08,JTマーヴェラス,岡山シーガルズ,3,0,1,11,,目黒優佳,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,7,1,0,1,17.9,4,4,0,100.0,1,,,,,,,,
2018-12-08,JTマーヴェラス,岡山シーガルズ,3,0,1,15,L,小幡真子,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,7,2,80.0,0,,,,,,,,
2018-12-08,JTマーヴェラス,岡山シーガルズ,3,0,1,16,,山本美沙,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,0,,,,,,,,
2018-12-08,JTマーヴェラス,岡山シーガルズ,3,0,1,18,,橋本梨紗,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2018-12-08,JTマーヴェラス,岡山シーガルズ,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,135,59,10,43.7,36.3,19.67,15,4,0,26.7,6,2.00,74,3,4,21,9.8,62,41,10,74.2,68,125,39,5,31.2,7,2.33,4.0,55.9
