試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2019-10-26,JTマーヴェラス,PFUブルーキャッツ,1,,芥川愛加,3,■,■,■,nan,nan,14,5,1,35.7,28.6,1.67,0,0,0,-,1,0.33,10,1,0,1,12.5,0,0,0,-,7
2019-10-26,JTマーヴェラス,PFUブルーキャッツ,2,,林琴奈,3,■,■,■,nan,nan,40,13,2,32.5,27.5,4.33,9,0,1,0.0,3,1.00,9,0,0,2,5.6,19,11,1,60.5,16
2019-10-26,JTマーヴェラス,PFUブルーキャッツ,3,,小川杏奈,3,■,■,■,nan,nan,11,7,0,63.6,63.6,2.33,0,0,0,-,2,0.67,9,0,2,2,0.0,0,0,0,-,9
2019-10-26,JTマーヴェラス,PFUブルーキャッツ,4,,橘井友香,3,□,□,□,nan,nan,1,0,0,0.0,0.0,-,1,0,0,0.0,0,-,10,0,1,5,10.0,0,0,0,-,0
2019-10-26,JTマーヴェラス,PFUブルーキャッツ,6,,田中瑞稀,3,■,■,■,nan,nan,22,7,0,31.8,31.8,2.33,3,0,0,0.0,0,-,13,0,2,4,3.8,31,20,6,74.2,7
2019-10-26,JTマーヴェラス,PFUブルーキャッツ,7,,田中美咲,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2019-10-26,JTマーヴェラス,PFUブルーキャッツ,8,,カムンタラーケオカラヤー,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-10-26,JTマーヴェラス,PFUブルーキャッツ,10,,ドルーズアンドレア,3,■,■,■,nan,nan,34,15,2,44.1,38.2,5.00,13,3,2,23.1,1,0.33,11,1,1,6,20.5,0,0,0,-,17
2019-10-26,JTマーヴェラス,PFUブルーキャッツ,11,L,目黒優佳,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,8,6,1,81.2,0
2019-10-26,JTマーヴェラス,PFUブルーキャッツ,13,,西川有喜,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-10-26,JTマーヴェラス,PFUブルーキャッツ,14,,ヒックマンジャスティス,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-10-26,JTマーヴェラス,PFUブルーキャッツ,15,,小幡真子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-10-26,JTマーヴェラス,PFUブルーキャッツ,16,,山本美沙,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-10-26,JTマーヴェラス,PFUブルーキャッツ,19,,籾井あき,3,■,■,■,nan,nan,5,3,0,60.0,60.0,1.00,1,1,0,100.0,0,-,10,0,0,1,2.5,0,0,0,-,3
2019-10-26,JTマーヴェラス,PFUブルーキャッツ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,127,50,5,39.4,35.4,16.67,27,4,3,14.8,7,2.33,73,2,6,21,7.9,58,37,8,70.7,59
