大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,JTマーヴェラス,26,94,191,87,13,45.5,0,0,0,-,0.93,28,0.30,331,1,15,32,122,11.6,16,7,1,46.9,87,28,16,131
スターカンファレンス,JTマーヴェラス,15,60,124,58,11,46.8,0,0,0,-,0.97,16,0.27,210,1,10,20,81,12.5,9,2,1,27.8,58,16,11,85
交流戦,JTマーヴェラス,6,20,45,20,2,44.4,0,0,0,-,1.00,10,0.50,79,0,4,7,26,11.1,4,2,0,50.0,20,10,4,34
ファイナル８・Ｂグループ,JTマーヴェラス,3,8,12,6,0,50.0,0,0,0,-,0.75,2,0.25,23,0,0,4,7,3.3,2,2,0,100.0,6,2,0,8
セミファイナル②,JTマーヴェラス,1,3,6,2,0,33.3,0,0,0,-,0.67,0,-,10,0,0,0,6,15.0,1,1,0,100.0,2,0,0,2
ファイナル,JTマーヴェラス,1,3,4,1,0,25.0,0,0,0,-,0.33,0,-,9,0,1,1,2,13.9,0,0,0,-,1,0,1,2
V.LEAGUE DIVISION1 WOMEN 2018-19,JTマーヴェラス,30,48,120,45,8,37.5,0,0,0,-,0.94,11,0.23,119,1,2,8,34,8.0,3,2,1,83.3,45,11,3,59
Western Conference,JTマーヴェラス,8,23,65,23,6,35.4,0,0,0,-,1.00,7,0.30,58,1,0,2,13,6.5,0,0,0,-,23,7,1,31
交流戦,JTマーヴェラス,12,25,55,22,2,40.0,0,0,0,-,0.88,4,0.16,61,0,2,6,21,9.4,3,2,1,83.3,22,4,2,28
ファイナル８,JTマーヴェラス,7,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル３,JTマーヴェラス,3,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ女子 2017/18,JTマーヴェラス,28,11,19,9,0,47.4,0,0,0,-,0.82,3,0.27,21,0,0,4,7,3.6,0,0,0,-,9,3,0,12
レギュラーラウンド,JTマーヴェラス,21,8,19,9,0,47.4,0,0,0,-,1.12,3,0.38,18,0,0,3,7,5.6,0,0,0,-,9,3,0,12
ファイナル６,JTマーヴェラス,5,3,0,0,0,-,0,0,0,-,-,0,-,3,0,0,1,0,-8.3,0,0,0,-,0,0,0,0
ファイナル,JTマーヴェラス,2,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ女子 2016/17,JTマーヴェラス,18,9,23,5,2,21.7,0,0,0,-,0.56,2,0.22,18,0,0,6,4,5.6,0,0,0,-,5,2,0,7
レギュラーラウンド,JTマーヴェラス,18,9,23,5,2,21.7,0,0,0,-,0.56,2,0.22,18,0,0,6,4,5.6,0,0,0,-,5,2,0,7
Ｖ・チャレンジリーグⅠ女子 2015/16,JTマーヴェラス,21,4,8,2,1,25.0,0,0,0,-,0.50,1,0.25,3,0,0,1,2,16.7,0,0,0,-,2,1,0,3
レギュラーラウンド,JTマーヴェラス,21,4,8,2,1,25.0,0,0,0,-,0.50,1,0.25,3,0,0,1,2,16.7,0,0,0,-,2,1,0,3
Ｖ・チャレンジリーグ女子 2014/15,JTマーヴェラス,3,1,0,0,0,-,0,0,0,-,-,0,-,2,0,0,0,2,25.0,0,0,0,-,0,0,0,0
レギュラーラウンド,JTマーヴェラス,3,1,0,0,0,-,0,0,0,-,-,0,-,2,0,0,0,2,25.0,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,104,150,339,139,24,41.0,0,0,0,-,0.93,43,0.29,449,2,16,45,156,10.2,16,6,2,43.8,139,43,18,200
通算,,126,167,361,148,24,41.0,0,0,0,-,0.89,45,0.27,494,2,17,51,171,9.9,19,9,2,52.6,148,45,19,212
