試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-10-13,1,,丸山紗季,5,□,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,6,0,2,2,0.0,0,0,0,-
2019-10-13,3,,間橋香織,4,,□,■,■,■,31,12,0,0.3870967741935484,0.3870967741935484,3.00,7,3,0,42.9,2,0.50,11,0,1,2,2.3,19,8,6,57.9
2019-10-13,4,L,馬場ゆりか,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,15,9,2,66.7
2019-10-13,6,,綿引菜都美,5,■,■,■,■,■,9,3,2,0.3333333333333333,0.1111111111111111,0.60,0,0,0,-,3,0.60,18,0,0,2,2.8,1,1,0,100.0
2019-10-13,7,,雪丸梢,5,■,■,■,■,■,17,5,0,0.29411764705882354,0.29411764705882354,1.00,0,0,0,-,2,0.40,11,0,0,4,9.1,0,0,0,-
2019-10-13,8,,マナバットアレオナ　デニス,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-10-13,9,,舛田紗淑,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
2019-10-13,10,,リーシモーン,5,■,■,■,■,■,50,18,2,0.36,0.32,3.60,10,2,1,20.0,2,0.40,18,1,3,6,9.7,46,14,9,40.2
2019-10-13,11,,杉原若葉,2,■,■,,,,12,2,1,0.16666666666666666,0.08333333333333333,1.00,4,1,0,25.0,0,-,4,0,1,1,0.0,5,0,1,10.0
2019-10-13,12,,浮島杏加子,5,■,■,■,■,■,45,23,5,0.5111111111111111,0.4,4.60,8,1,1,12.5,1,0.20,16,0,2,3,1.6,0,0,0,-
2019-10-13,13,,梅津憂理,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-10-13,14,,細沼綾,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-10-13,15,,小西愛衣,5,■,■,■,■,■,3,1,0,0.3333333333333333,0.3333333333333333,0.20,0,0,0,-,1,0.20,22,1,4,4,4.5,1,0,0,0.0
2019-10-13,16,,星加輝,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-10-13,チーム合計,チーム合計,チーム合計,5,,,,,,167,64,10,0.38323353293413176,0.32335329341317365,12.80,29,7,2,24.1,11,2.20,108,2,13,25,4.6,87,32,18,47.1
