試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2019-10-26,KUROBEアクアフェアリーズ,埼玉上尾メディックス,1,,丸山紗季,3,□,□,□,nan,nan,6,1,0,16.7,16.7,0.33,0,0,0,-,0,-,0,0,0,0,-,1,0,0,0.0,1
2019-10-26,KUROBEアクアフェアリーズ,埼玉上尾メディックス,3,,間橋香織,3,■,■,■,nan,nan,24,12,1,50.0,45.8,4.00,1,1,0,100.0,2,0.67,11,0,0,2,4.5,24,13,5,64.6,14
2019-10-26,KUROBEアクアフェアリーズ,埼玉上尾メディックス,4,L,馬場ゆりか,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,8,3,79.2,0
2019-10-26,KUROBEアクアフェアリーズ,埼玉上尾メディックス,5,,白崎麻友香,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,7,0,0,2,7.1,0,0,0,-,0
2019-10-26,KUROBEアクアフェアリーズ,埼玉上尾メディックス,6,,綿引菜都美,3,■,■,■,nan,nan,8,3,1,37.5,25.0,1.00,0,0,0,-,2,0.67,5,0,0,1,5.0,1,1,0,100.0,5
2019-10-26,KUROBEアクアフェアリーズ,埼玉上尾メディックス,7,,雪丸梢,3,■,■,■,nan,nan,11,6,0,54.5,54.5,2.00,1,0,0,0.0,2,0.67,9,0,0,2,5.6,0,0,0,-,8
2019-10-26,KUROBEアクアフェアリーズ,埼玉上尾メディックス,8,,マナバットアレオナデニス,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,-8.3,0,0,0,-,0
2019-10-26,KUROBEアクアフェアリーズ,埼玉上尾メディックス,9,,舛田紗淑,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-10-26,KUROBEアクアフェアリーズ,埼玉上尾メディックス,10,,リーシモーン,3,■,■,■,nan,nan,34,16,4,47.1,35.3,5.33,2,1,0,50.0,1,0.33,13,0,1,4,5.8,27,10,6,48.1,17
2019-10-26,KUROBEアクアフェアリーズ,埼玉上尾メディックス,11,,杉原若葉,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2019-10-26,KUROBEアクアフェアリーズ,埼玉上尾メディックス,12,,浮島杏加子,3,■,■,■,nan,nan,24,9,2,37.5,29.2,3.00,2,0,1,0.0,0,-,4,0,0,0,0.0,1,1,0,100.0,9
2019-10-26,KUROBEアクアフェアリーズ,埼玉上尾メディックス,14,,細沼綾,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-10-26,KUROBEアクアフェアリーズ,埼玉上尾メディックス,15,,小西愛衣,3,■,■,■,nan,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,11,0,2,2,0.0,0,0,0,-,1
2019-10-26,KUROBEアクアフェアリーズ,埼玉上尾メディックス,16,,星加輝,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-10-26,KUROBEアクアフェアリーズ,埼玉上尾メディックス,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,108,48,8,44.4,37.0,16.00,6,2,1,33.3,7,2.33,65,0,4,13,3.5,66,33,14,60.6,55
