試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2020-11-22,KUROBEアクアフェアリーズ,東レアローズ,1,3,0,1,,丸山紗季,2,□,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,0,,,,,,,,
2020-11-22,KUROBEアクアフェアリーズ,東レアローズ,1,3,0,3,,間橋香織,4,■,■,■,■,nan,30,10,1,33.3,30.0,2.50,0,0,0,-,0,-,10,0,0,1,2.5,37,12,16,54.1,10,,,,,,,,
2020-11-22,KUROBEアクアフェアリーズ,東レアローズ,1,3,0,4,,馬場ゆりか,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,0,0,0.0,0,,,,,,,,
2020-11-22,KUROBEアクアフェアリーズ,東レアローズ,1,3,0,9,,舛田紗淑,4,■,■,■,■,nan,18,5,2,27.8,16.7,1.25,0,0,0,-,0,-,15,0,3,5,3.3,27,10,5,46.3,5,,,,,,,,
2020-11-22,KUROBEアクアフェアリーズ,東レアローズ,1,3,0,10,,リーシモーン,4,■,■,■,■,nan,54,21,4,38.9,31.5,5.25,14,4,1,28.6,1,0.25,11,0,1,4,6.8,1,0,0,0.0,22,,,,,,,,
2020-11-22,KUROBEアクアフェアリーズ,東レアローズ,1,3,0,11,,杉原若葉,4,■,■,■,■,nan,7,4,1,57.1,42.9,1.00,0,0,0,-,2,0.50,11,1,1,3,13.6,0,0,0,-,7,,,,,,,,
2020-11-22,KUROBEアクアフェアリーズ,東レアローズ,1,3,0,12,,浮島杏加子,2,□,nan,□,nan,nan,8,3,0,37.5,37.5,1.50,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,3,,,,,,,,
2020-11-22,KUROBEアクアフェアリーズ,東レアローズ,1,3,0,13,,梅津憂理,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,2,0,1,25.0,0,,,,,,,,
2020-11-22,KUROBEアクアフェアリーズ,東レアローズ,1,3,0,14,,細沼綾,4,■,■,■,■,nan,11,4,3,36.4,9.1,1.00,0,0,0,-,0,-,8,1,2,3,15.6,0,0,0,-,5,,,,,,,,
2020-11-22,KUROBEアクアフェアリーズ,東レアローズ,1,3,0,15,,小西愛衣,4,■,■,■,■,nan,3,3,0,100.0,100.0,0.75,0,0,0,-,0,-,12,0,2,1,-2.1,0,0,0,-,3,,,,,,,,
2020-11-22,KUROBEアクアフェアリーズ,東レアローズ,1,3,0,16,,星加輝,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,2,16.7,0,0,0,-,0,,,,,,,,
2020-11-22,KUROBEアクアフェアリーズ,東レアローズ,1,3,0,18,L,立石優華,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,9,1,59.4,0,,,,,,,,
2020-11-22,KUROBEアクアフェアリーズ,東レアローズ,1,3,0,19,,小杉凜華,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0,,,,,,,,
2020-11-22,KUROBEアクアフェアリーズ,東レアローズ,1,3,0,21,,道下ひなの,1,nan,nan,nan,□,nan,2,1,0,50.0,50.0,1.00,0,0,0,-,0,-,2,1,0,0,50.0,0,0,0,-,2,,,,,,,,
2020-11-22,KUROBEアクアフェアリーズ,東レアローズ,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,133,51,11,38.3,30.1,12.75,14,4,1,28.6,3,0.75,77,3,9,21,7.8,85,31,23,50.0,57,134,60,10,44.8,6,1.50,14.5,61.9
