大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,KUROBEアクアフェアリーズ,24,56,384,135,32,35.2,40,8,7,20.0,2.41,3,0.05,95,0,2,9,28,7.1,4,1,2,50.0,135,3,2,140
スターカンファレンス,KUROBEアクアフェアリーズ,15,42,308,116,23,37.7,33,7,6,21.2,2.76,3,0.07,72,0,2,6,24,9.0,2,1,0,50.0,116,3,2,121
交流戦,KUROBEアクアフェアリーズ,6,12,71,18,9,25.4,5,1,1,20.0,1.5,0,-,21,0,0,2,3,1.2,2,0,2,50.0,18,0,0,18
チャレンジ４,KUROBEアクアフェアリーズ,3,2,5,1,0,20.0,2,0,0,0.0,0.5,0,-,2,0,0,1,1,0.0,0,0,0,-,1,0,0,1
V.LEAGUE DIVISION1 WOMEN 2018-19,KUROBEアクアフェアリーズ,22,31,200,84,18,42.0,14,2,5,14.3,2.71,2,0.06,68,1,4,5,26,15.1,3,2,1,83.3,84,2,5,91
Eastern Conference,KUROBEアクアフェアリーズ,10,11,72,28,7,38.9,4,0,3,0.0,2.55,2,0.18,28,1,1,2,11,15.2,1,1,0,100.0,28,2,2,32
交流戦,KUROBEアクアフェアリーズ,10,13,51,23,4,45.1,2,0,1,0.0,1.77,0,-,21,0,1,2,7,10.7,0,0,0,-,23,0,1,24
チャレンジステージ,KUROBEアクアフェアリーズ,2,7,77,33,7,42.9,8,2,1,25.0,4.71,0,-,19,0,2,1,8,19.7,2,1,1,75.0,33,0,2,35
レギュラーシーズン通算,,41,78,502,185,43,36.9,44,8,11,18.2,2.37,5,0.06,142,1,4,12,45,9.3,5,2,2,60.0,185,5,5,195
通算,,46,87,584,219,50,37.5,54,10,12,18.5,2.52,5,0.06,163,1,6,14,54,10.4,7,3,3,64.3,219,5,7,231
