試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2000-01-23,NECレッドロケッツ,JTマーヴェラス,3,2,1,2,L,津雲博子,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,33,27,0,81.8,0,,,,,,,,
2000-01-23,NECレッドロケッツ,JTマーヴェラス,3,2,1,3,,大貫美奈子,5,■,■,■,■,■,14,5,3,35.7,14.3,1.00,0,0,0,-,2,0.40,12,0,1,5,10.4,25,19,0,76.0,7,,,,,,,,
2000-01-23,NECレッドロケッツ,JTマーヴェラス,3,2,1,4,,星野賀代,4,□,□,□,■,nan,18,5,2,27.8,16.7,1.25,0,0,0,-,1,0.25,3,0,1,0,0.0,0,0,0,-,6,,,,,,,,
2000-01-23,NECレッドロケッツ,JTマーヴェラス,3,2,1,5,,成田郁久美,5,■,■,■,■,■,34,15,1,44.1,41.2,3.00,0,0,0,-,2,0.40,14,2,1,2,16.4,22,15,0,68.2,19,,,,,,,,
2000-01-23,NECレッドロケッツ,JTマーヴェラス,3,2,1,6,,遠藤睦美,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2000-01-23,NECレッドロケッツ,JTマーヴェラス,3,2,1,7,,美田麻衣,5,■,■,■,■,■,38,20,4,52.6,42.1,4.00,1,1,0,100.0,0,-,19,1,0,1,5.5,1,0,0,0.0,21,,,,,,,,
2000-01-23,NECレッドロケッツ,JTマーヴェラス,3,2,1,8,,竹下佳江,5,■,■,■,■,■,4,2,0,50.0,50.0,0.40,0,0,0,-,0,-,22,1,1,7,11.6,0,0,0,-,3,,,,,,,,
2000-01-23,NECレッドロケッツ,JTマーヴェラス,3,2,1,9,,高橋みゆき,5,■,■,■,□,■,48,16,2,33.3,29.2,3.20,3,0,1,0.0,0,-,15,0,2,1,1.7,15,13,0,86.7,16,,,,,,,,
2000-01-23,NECレッドロケッツ,JTマーヴェラス,3,2,1,10,,細口美樹,3,nan,□,nan,■,□,5,3,2,60.0,20.0,1.00,0,0,0,-,1,0.33,6,0,1,1,4.2,0,0,0,-,4,,,,,,,,
2000-01-23,NECレッドロケッツ,JTマーヴェラス,3,2,1,11,,坪根淳子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2000-01-23,NECレッドロケッツ,JTマーヴェラス,3,2,1,12,,杉山祥子,5,■,■,■,□,■,16,6,0,37.5,37.5,1.20,0,0,0,-,2,0.40,10,0,1,1,2.5,0,0,0,-,8,,,,,,,,
2000-01-23,NECレッドロケッツ,JTマーヴェラス,3,2,1,20,,松田賢枝,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2000-01-23,NECレッドロケッツ,JTマーヴェラス,3,2,1,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,177,72,14,40.7,32.8,14.40,4,1,1,25.0,8,1.60,101,4,8,18,7.8,96,74,0,77.1,84,170,63,9,37.1,9,1.80,7.1,77.2
