試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2010-12-12,NECレッドロケッツ,トヨタ車体クインシーズ,1,L,渡邊絢子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2010-12-12,NECレッドロケッツ,トヨタ車体クインシーズ,2,,杉山祥子,5,■,■,■,■,■,24,14,2,58.3,50.0,2.80,0,0,0,-,1,0.20,12,0,0,5,10.4,0,0,0,-,15
2010-12-12,NECレッドロケッツ,トヨタ車体クインシーズ,3,,内藤香菜子,5,■,■,■,■,■,27,8,1,29.6,25.9,1.60,0,0,0,-,6,1.20,14,0,0,2,3.6,0,0,0,-,14
2010-12-12,NECレッドロケッツ,トヨタ車体クインシーズ,4,,内田暁子,2,■,■,nan,nan,nan,13,2,2,15.4,0.0,1.00,4,0,1,0.0,0,-,5,0,0,2,10.0,13,7,0,53.8,2
2010-12-12,NECレッドロケッツ,トヨタ車体クインシーズ,5,,松浦麻琴,5,■,■,■,■,■,1,0,0,0.0,0.0,-,0,0,0,-,2,0.40,24,0,1,3,3.1,0,0,0,-,2
2010-12-12,NECレッドロケッツ,トヨタ車体クインシーズ,6,,澁澤夏美,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0
2010-12-12,NECレッドロケッツ,トヨタ車体クインシーズ,7,,秋山美幸,4,□,nan,□,□,□,0,0,0,,,-,0,0,0,-,0,-,8,0,0,3,9.4,0,0,0,-,0
2010-12-12,NECレッドロケッツ,トヨタ車体クインシーズ,8,,八幡美樹,4,nan,□,■,■,■,32,7,3,21.9,12.5,1.75,4,0,1,0.0,1,0.25,14,0,0,4,7.1,6,6,0,100.0,8
2010-12-12,NECレッドロケッツ,トヨタ車体クインシーズ,9,,松浦寛子,5,■,■,■,■,■,24,9,1,37.5,33.3,1.80,0,0,0,-,1,0.20,12,0,1,6,12.5,30,11,0,36.7,10
2010-12-12,NECレッドロケッツ,トヨタ車体クインシーズ,10,L,井野亜季子,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,18,13,0,72.2,0
2010-12-12,NECレッドロケッツ,トヨタ車体クインシーズ,12,,ガライフェルナンダ,5,■,■,■,■,■,76,35,6,46.1,38.2,7.00,10,3,2,30.0,1,0.20,13,0,3,5,9.6,31,21,0,67.7,36
2010-12-12,NECレッドロケッツ,トヨタ車体クインシーズ,15,,滝口奈美,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2010-12-12,NECレッドロケッツ,トヨタ車体クインシーズ,16,,白垣里紗,2,□,nan,nan,nan,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2010-12-12,NECレッドロケッツ,トヨタ車体クインシーズ,17,,島村春世,3,nan,nan,□,□,□,0,0,0,,,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,0
2010-12-12,NECレッドロケッツ,トヨタ車体クインシーズ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,197,75,15,38.1,30.5,15.00,18,3,4,16.7,12,2.40,107,0,5,32,7.5,98,58,0,59.2,87
