試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2017-01-28,NECレッドロケッツ,東レアローズ,3,0,1,2,,古賀紗理那,3,■,■,■,nan,nan,31,18,0,58.1,58.1,6.00,6,3,0,50.0,2,0.67,10,1,0,3,15.5,19,15,0,78.9,21
2017-01-28,NECレッドロケッツ,東レアローズ,3,0,1,3,,ニコロバエミリヤ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-01-28,NECレッドロケッツ,東レアローズ,3,0,1,4,,山口かなめ,3,■,■,■,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,2,0.67,15,1,2,0,6.7,0,0,0,-,3
2017-01-28,NECレッドロケッツ,東レアローズ,3,0,1,5,,大野果奈,3,■,■,■,nan,nan,22,10,1,45.5,40.9,3.33,0,0,0,-,1,0.33,8,0,1,1,3.1,0,0,0,-,11
2017-01-28,NECレッドロケッツ,東レアローズ,3,0,1,6,,近江あかり,3,■,■,■,nan,nan,9,2,1,22.2,11.1,0.67,0,0,0,-,0,-,8,0,0,2,6.2,14,13,0,92.9,2
2017-01-28,NECレッドロケッツ,東レアローズ,3,0,1,7,,島村春世,3,■,■,■,nan,nan,19,9,1,47.4,42.1,3.00,0,0,0,-,0,-,13,0,5,2,3.8,1,1,0,100.0,9
2017-01-28,NECレッドロケッツ,東レアローズ,3,0,1,8,L,鳥越未玖,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,10,0,83.3,0
2017-01-28,NECレッドロケッツ,東レアローズ,3,0,1,9,,正里菜,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-01-28,NECレッドロケッツ,東レアローズ,3,0,1,10,L,岩崎紗也加,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-01-28,NECレッドロケッツ,東レアローズ,3,0,1,11,,上野香織,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,8,1,0,2,18.8,0,0,0,-,1
2017-01-28,NECレッドロケッツ,東レアローズ,3,0,1,12,,小山綾菜,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0
2017-01-28,NECレッドロケッツ,東レアローズ,3,0,1,15,,柳田光綺,3,■,■,■,nan,nan,27,8,0,29.6,29.6,2.67,5,1,0,20.0,1,0.33,9,0,0,3,8.3,2,2,0,100.0,9
2017-01-28,NECレッドロケッツ,東レアローズ,3,0,1,17,,篠原沙耶香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-01-28,NECレッドロケッツ,東レアローズ,3,0,1,18,,廣瀬七海,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2017-01-28,NECレッドロケッツ,東レアローズ,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,110,47,3,42.7,40.0,15.67,11,4,0,36.4,6,2.00,74,3,8,14,8.5,48,41,0,85.4,56
