試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2021-02-28,NECレッドロケッツ,3,,塚田しおり,4,nan,□,■,■,■,3,2,0,66.7,66.7,0.50,0,0,0,-,0,-,14,0,1,2,1.8,1,0,0,0.0,,,,,,,,
2021-02-28,NECレッドロケッツ,4,,柳田光綺,3,□,nan,nan,□,■,15,7,0,46.7,46.7,2.33,0,0,0,-,0,-,6,0,1,3,8.3,0,0,0,-,,,,,,,,
2021-02-28,NECレッドロケッツ,5,,曽我啓菜,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-28,NECレッドロケッツ,6,,上野香織,5,■,■,■,■,■,14,5,2,35.7,21.4,1.00,0,0,0,-,4,0.80,21,3,1,6,20.2,0,0,0,-,,,,,,,,
2021-02-28,NECレッドロケッツ,8,,野嶋華澄,5,■,■,■,■,■,18,8,0,44.4,44.4,1.60,0,0,0,-,1,0.20,13,0,0,3,5.8,0,0,0,-,,,,,,,,
2021-02-28,NECレッドロケッツ,9,,廣瀬七海,5,■,■,■,■,□,40,12,4,30.0,20.0,2.40,9,1,1,11.1,1,0.20,8,2,3,2,21.9,0,0,0,-,,,,,,,,
2021-02-28,NECレッドロケッツ,10,,澤田由佳,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-28,NECレッドロケッツ,11,,古谷ちなみ,2,■,■,nan,nan,nan,19,4,4,21.1,0.0,2.00,1,0,0,0.0,0,-,4,0,2,0,-12.5,20,6,5,42.5,,,,,,,,
2021-02-28,NECレッドロケッツ,12,,山内美咲,4,□,nan,■,■,■,23,10,0,43.5,43.5,2.50,1,1,0,100.0,1,0.25,14,0,2,4,3.6,19,8,2,47.4,,,,,,,,
2021-02-28,NECレッドロケッツ,14,,安田美南,2,■,■,nan,nan,nan,2,1,0,50.0,50.0,0.50,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,,,,,,,,
2021-02-28,NECレッドロケッツ,15,,吉田あゆみ,5,■,■,■,■,■,59,27,2,45.8,42.4,5.40,1,0,0,0.0,1,0.20,21,0,1,8,8.3,43,14,12,46.5,,,,,,,,
2021-02-28,NECレッドロケッツ,16,L,小島満菜美,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,9,4,0,44.4,,,,,,,,
2021-02-28,NECレッドロケッツ,17,,川上雛菜,5,□,□,□,□,□,11,3,1,27.3,18.2,0.60,0,0,0,-,0,-,7,0,0,1,3.6,8,5,0,62.5,,,,,,,,
2021-02-28,NECレッドロケッツ,18,L,佐藤澪,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-28,NECレッドロケッツ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,204,79,13,38.7,32.4,15.80,12,2,1,16.7,8,1.60,112,5,11,30,8.7,100,37,19,46.5,178,57,11,32.0,14,2.80,12.4,61.6
