試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2016-12-03,PFUブルーキャッツ,岡山シーガルズ,3,0,1,2,,ドリスジェニファー,3,■,■,■,nan,nan,31,17,1,54.8,51.6,5.67,0,0,0,-,1,0.33,3,0,0,0,0.0,0,0,0,-,18
2016-12-03,PFUブルーキャッツ,岡山シーガルズ,3,0,1,4,,石橋朋美,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-12-03,PFUブルーキャッツ,岡山シーガルズ,3,0,1,5,,江畑幸子,3,■,■,■,nan,nan,37,12,1,32.4,29.7,4.00,6,3,1,50.0,0,-,13,0,2,5,9.6,0,0,0,-,12
2016-12-03,PFUブルーキャッツ,岡山シーガルズ,3,0,1,6,,村上華澄,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-12-03,PFUブルーキャッツ,岡山シーガルズ,3,0,1,7,,狩野舞子,3,■,■,■,nan,nan,20,7,1,35.0,30.0,2.33,0,0,0,-,0,-,17,2,3,7,19.7,18,12,0,66.7,9
2016-12-03,PFUブルーキャッツ,岡山シーガルズ,3,0,1,8,,三橋聡恵,3,■,■,■,nan,nan,31,11,3,35.5,25.8,3.67,3,0,0,0.0,1,0.33,11,0,1,4,9.1,23,13,0,56.5,12
2016-12-03,PFUブルーキャッツ,岡山シーガルズ,3,0,1,9,,松浦寛子,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,3,1.00,14,1,1,5,14.6,0,0,0,-,4
2016-12-03,PFUブルーキャッツ,岡山シーガルズ,3,0,1,12,,清水眞衣,3,■,■,■,nan,nan,11,5,1,45.5,36.4,1.67,0,0,0,-,1,0.33,8,0,0,3,9.4,1,1,0,100.0,6
2016-12-03,PFUブルーキャッツ,岡山シーガルズ,3,0,1,15,,大保早耶加,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,1,0,2,32.5,0,0,0,-,1
2016-12-03,PFUブルーキャッツ,岡山シーガルズ,3,0,1,16,,宇田沙織,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,1,8.3,0,0,0,-,0
2016-12-03,PFUブルーキャッツ,岡山シーガルズ,3,0,1,17,,高橋千晶,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-12-03,PFUブルーキャッツ,岡山シーガルズ,3,0,1,18,L,新井祐喜子,3,〇,〇,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-12-03,PFUブルーキャッツ,岡山シーガルズ,3,0,1,20,,槇田莉乃,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-12-03,PFUブルーキャッツ,岡山シーガルズ,3,0,1,22,L,谷七海,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,17,12,0,70.6,0
2016-12-03,PFUブルーキャッツ,岡山シーガルズ,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,131,52,7,39.7,34.4,17.33,9,3,1,33.3,6,2.00,73,4,8,27,13.6,59,38,0,64.4,62
