試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2020-01-11,PFUブルーキャッツ,ヴィクトリーナ姫路,1,,有田妃奈乃,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-01-11,PFUブルーキャッツ,ヴィクトリーナ姫路,2,,ドリスジェニファー,5,■,■,■,■,■,20,8,1,40.0,35.0,1.60,0,0,0,-,3,0.60,18,0,0,5,6.9,0,0,0,-,11
2020-01-11,PFUブルーキャッツ,ヴィクトリーナ姫路,4,,宇田沙織,1,nan,nan,nan,□,nan,1,1,0,100.0,100.0,1.00,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,1
2020-01-11,PFUブルーキャッツ,ヴィクトリーナ姫路,6,,村上華澄,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-01-11,PFUブルーキャッツ,ヴィクトリーナ姫路,8,,高相みな実,1,nan,nan,nan,□,nan,6,2,0,33.3,33.3,2.00,0,0,0,-,0,-,1,0,0,1,25.0,2,0,0,0.0,2
2020-01-11,PFUブルーキャッツ,ヴィクトリーナ姫路,9,,山下遥香,2,nan,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,0
2020-01-11,PFUブルーキャッツ,ヴィクトリーナ姫路,11,,堀口あやか,5,■,■,■,■,■,53,20,1,37.7,35.8,4.00,9,2,0,22.2,0,-,24,3,2,4,14.6,31,13,2,45.2,23
2020-01-11,PFUブルーキャッツ,ヴィクトリーナ姫路,12,,清水眞衣,5,■,■,■,■,■,6,1,1,16.7,0.0,0.20,0,0,0,-,3,0.60,12,0,2,3,2.1,0,0,0,-,4
2020-01-11,PFUブルーキャッツ,ヴィクトリーナ姫路,13,,津賀菜緒,5,■,■,■,■,■,52,20,3,38.5,32.7,4.00,7,1,1,14.3,2,0.40,15,0,2,5,5.0,0,0,0,-,22
2020-01-11,PFUブルーキャッツ,ヴィクトリーナ姫路,14,,島畑奈緒子,5,■,■,■,■,■,2,2,0,100.0,100.0,0.40,0,0,0,-,2,0.40,18,0,3,9,8.3,0,0,0,-,4
2020-01-11,PFUブルーキャッツ,ヴィクトリーナ姫路,16,,和田実莉,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0,0
2020-01-11,PFUブルーキャッツ,ヴィクトリーナ姫路,17,L,筒井さやか,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,17,4,4,35.3,0
2020-01-11,PFUブルーキャッツ,ヴィクトリーナ姫路,19,,スークソッドタナッチャ,1,nan,□,nan,nan,nan,3,2,0,66.7,66.7,2.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,2
2020-01-11,PFUブルーキャッツ,ヴィクトリーナ姫路,33,,和才奈々美,5,■,■,■,■,■,45,10,3,22.2,15.6,2.00,1,0,0,0.0,0,-,13,0,0,4,7.7,44,18,7,48.9,10
2020-01-11,PFUブルーキャッツ,ヴィクトリーナ姫路,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,188,66,9,35.1,30.3,13.20,17,3,1,17.6,10,2.00,105,3,9,33,8.6,95,36,13,44.7,79
