試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2019-12-29,PFUブルーキャッツ,埼玉上尾メディックス,2,,ドリスジェニファー,3,■,■,■,nan,nan,16,8,0,50.0,50.0,2.67,0,0,0,-,2,0.67,7,0,0,0,0.0,0,0,0,-,10
2019-12-29,PFUブルーキャッツ,埼玉上尾メディックス,4,,宇田沙織,1,nan,□,nan,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,3,0,0,2,16.7,6,2,2,50.0,0
2019-12-29,PFUブルーキャッツ,埼玉上尾メディックス,6,,村上華澄,2,■,■,nan,nan,nan,5,0,0,0.0,0.0,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,0
2019-12-29,PFUブルーキャッツ,埼玉上尾メディックス,8,,高相みな実,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-12-29,PFUブルーキャッツ,埼玉上尾メディックス,9,,山下遥香,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-,0
2019-12-29,PFUブルーキャッツ,埼玉上尾メディックス,11,,堀口あやか,3,■,■,■,nan,nan,32,10,0,31.2,31.2,3.33,8,3,0,37.5,3,1.00,9,0,1,2,2.8,22,16,0,72.7,13
2019-12-29,PFUブルーキャッツ,埼玉上尾メディックス,12,,清水眞衣,1,nan,nan,■,nan,nan,3,0,0,0.0,0.0,-,0,0,0,-,0,-,4,1,0,0,25.0,0,0,0,-,1
2019-12-29,PFUブルーキャッツ,埼玉上尾メディックス,13,,津賀菜緒,3,■,■,■,nan,nan,32,9,0,28.1,28.1,3.00,1,0,0,0.0,1,0.33,6,0,2,2,0.0,0,0,0,-,10
2019-12-29,PFUブルーキャッツ,埼玉上尾メディックス,14,,島畑奈緒子,3,■,■,■,nan,nan,2,1,1,50.0,0.0,0.33,0,0,0,-,0,-,7,0,2,2,0.0,0,0,0,-,1
2019-12-29,PFUブルーキャッツ,埼玉上尾メディックス,16,,和田実莉,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-12-29,PFUブルーキャッツ,埼玉上尾メディックス,17,L,筒井さやか,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,18,9,4,61.1,0
2019-12-29,PFUブルーキャッツ,埼玉上尾メディックス,18,,瀬戸杏華,1,nan,□,nan,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,1,1.00,2,0,2,0,-25.0,0,0,0,-,1
2019-12-29,PFUブルーキャッツ,埼玉上尾メディックス,19,,スークソッドタナッチャ,3,□,□,□,nan,nan,14,4,0,28.6,28.6,1.33,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,4
2019-12-29,PFUブルーキャッツ,埼玉上尾メディックス,33,,和才奈々美,3,■,■,■,nan,nan,13,2,0,15.4,15.4,0.67,0,0,0,-,0,-,12,0,1,4,6.2,18,11,5,75.0,2
2019-12-29,PFUブルーキャッツ,埼玉上尾メディックス,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,120,34,1,28.3,27.5,11.33,9,3,0,33.3,7,2.33,55,1,8,13,4.1,64,38,11,68.0,42
