試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2021-02-21,PFUブルーキャッツ,ヴィクトリーナ姫路,3,1,1,2,,瀬戸杏華,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2021-02-21,PFUブルーキャッツ,ヴィクトリーナ姫路,3,1,1,3,L,森田茉莉,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,5,5,62.5,0,,,,,,,,
2021-02-21,PFUブルーキャッツ,ヴィクトリーナ姫路,3,1,1,4,,ジャラットハタイラット,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2021-02-21,PFUブルーキャッツ,ヴィクトリーナ姫路,3,1,1,6,,村上華澄,4,■,■,■,■,nan,21,10,0,47.6,47.6,2.50,0,0,0,-,0,-,12,0,1,5,8.3,0,0,0,-,10,,,,,,,,
2021-02-21,PFUブルーキャッツ,ヴィクトリーナ姫路,3,1,1,7,,合屋咲希,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2021-02-21,PFUブルーキャッツ,ヴィクトリーナ姫路,3,1,1,8,,高相みな実,4,■,■,■,■,nan,39,19,1,48.7,46.2,4.75,3,1,0,33.3,1,0.25,19,1,2,10,15.8,26,7,10,46.2,21,,,,,,,,
2021-02-21,PFUブルーキャッツ,ヴィクトリーナ姫路,3,1,1,9,,山下遥香,4,■,■,■,■,nan,1,0,0,0.0,0.0,-,0,0,0,-,1,0.25,18,0,3,4,1.4,0,0,0,-,1,,,,,,,,
2021-02-21,PFUブルーキャッツ,ヴィクトリーナ姫路,3,1,1,10,,綿引菜都美,4,■,■,■,■,nan,5,1,1,20.0,0.0,0.25,0,0,0,-,3,0.75,18,0,0,8,11.1,0,0,0,-,4,,,,,,,,
2021-02-21,PFUブルーキャッツ,ヴィクトリーナ姫路,3,1,1,11,,堀口あやか,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2021-02-21,PFUブルーキャッツ,ヴィクトリーナ姫路,3,1,1,13,,津賀菜緒,3,nan,□,□,□,nan,3,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2021-02-21,PFUブルーキャッツ,ヴィクトリーナ姫路,3,1,1,14,,島畑奈緒子,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0,,,,,,,,
2021-02-21,PFUブルーキャッツ,ヴィクトリーナ姫路,3,1,1,18,,アコスタロスランディ,4,■,■,■,■,nan,50,21,3,42.0,36.0,5.25,5,0,0,0.0,0,-,18,1,7,9,8.3,13,7,1,57.7,22,,,,,,,,
2021-02-21,PFUブルーキャッツ,ヴィクトリーナ姫路,3,1,1,33,L,和才奈々美,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2021-02-21,PFUブルーキャッツ,ヴィクトリーナ姫路,3,1,1,35,,志摩美古都,4,■,■,■,■,nan,33,12,0,36.4,36.4,3.00,0,0,0,-,0,-,13,0,1,3,3.8,16,10,3,71.9,12,,,,,,,,
2021-02-21,PFUブルーキャッツ,ヴィクトリーナ姫路,3,1,1,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,152,63,5,41.4,38.2,15.75,8,1,0,12.5,5,1.25,99,2,14,40,8.6,67,29,19,57.5,70,168,52,13,31.0,7,1.75,3.6,38.8
