大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
V.LEAGUE DIVISION1 WOMEN 2018-19,東レアローズ,28,36,61,19,9,31.1,1,0,0,0.0,0.53,5,0.14,46,1,1,7,13,7.6,87,29,13,40.8,19,5,2,26
Western Conference,東レアローズ,8,12,20,5,4,25.0,1,0,0,0.0,0.42,0,-,11,0,1,3,1,4.5,19,6,2,36.8,5,0,1,6
交流戦,東レアローズ,12,23,41,14,5,34.1,0,0,0,-,0.61,4,0.17,33,1,0,4,12,9.1,63,21,11,42.1,14,4,1,19
ファイナル８,東レアローズ,7,1,0,0,0,-,0,0,0,-,-,1,1.00,2,0,0,0,0,0.0,5,2,0,40.0,0,1,0,1
ファイナル３,東レアローズ,1,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ女子 2017/18,東レアローズ,8,3,2,1,0,50.0,1,0,0,0.0,0.33,0,-,6,0,0,1,2,4.2,0,0,0,-,1,0,0,1
レギュラーラウンド,東レアローズ,5,3,2,1,0,50.0,1,0,0,0.0,0.33,0,-,6,0,0,1,2,4.2,0,0,0,-,1,0,0,1
ファイナル６,東レアローズ,3,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
皇后杯全日本選手権大会,,1,1,4,0,0,0.0,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,,1,1,4,0,0,0.0,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,25,38,63,20,9,31.7,2,0,0,0.0,0.53,4,0.11,50,1,1,8,15,7.5,82,27,13,40.9,20,4,2,26
通算,,37,40,67,20,9,29.9,2,0,0,0.0,0.50,5,0.12,52,1,1,8,15,7.2,87,29,13,40.8,20,5,2,27
