試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2012-11-17,東レアローズ,1,,荒木絵里香,5,■,■,■,■,■,24,12,1,0.5,0.4583333333333333,2.40,0,0,0,-,7,1.40,14,1,0,9,23.2,0,0,0,-
2012-11-17,東レアローズ,2,L,濱口華菜里,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,10,0,62.5
2012-11-17,東レアローズ,3,,中道瞳,5,■,■,■,■,■,1,1,0,1.0,1.0,0.20,0,0,0,-,0,-,15,1,0,7,18.3,0,0,0,-
2012-11-17,東レアローズ,4,,高田ありさ,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,9,0,0,4,11.1,9,4,0,44.4
2012-11-17,東レアローズ,5,,和田麻里江,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2012-11-17,東レアローズ,6,,迫田さおり,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2012-11-17,東レアローズ,7,,エンライトステファニー,5,■,■,■,■,■,49,18,4,0.3673469387755102,0.2857142857142857,3.60,8,1,1,12.5,1,0.20,22,0,3,10,11.4,26,17,0,65.4
2012-11-17,東レアローズ,8,,宮田由佳里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2012-11-17,東レアローズ,9,,小平花織,4,nan,□,□,■,■,27,8,5,0.2962962962962963,0.1111111111111111,2.00,4,2,2,50.0,1,0.25,8,2,0,2,26.2,13,9,0,69.2
2012-11-17,東レアローズ,10,,峯村沙紀,5,■,■,■,■,■,56,15,2,0.26785714285714285,0.23214285714285715,3.00,4,0,0,0.0,0,-,13,1,0,6,19.2,23,14,0,60.9
2012-11-17,東レアローズ,11,,田代佳奈美,3,nan,□,□,nan,□,0,0,0,,,-,0,0,0,-,0,-,2,1,0,0,50.0,0,0,0,-
2012-11-17,東レアローズ,12,L,木村美里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0
2012-11-17,東レアローズ,13,,堀川真理,4,■,■,■,nan,□,15,4,2,0.26666666666666666,0.13333333333333333,1.00,2,0,0,0.0,1,0.25,6,0,0,3,12.5,1,0,0,0.0
2012-11-17,東レアローズ,14,,二見梓,5,■,■,■,■,■,19,7,0,0.3684210526315789,0.3684210526315789,1.40,0,0,0,-,0,-,18,0,1,8,11.1,1,1,0,100.0
2012-11-17,東レアローズ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,191,65,14,0.3403141361256545,0.2670157068062827,13.00,18,3,3,16.7,10,2.00,107,6,4,49,16.7,90,56,0,62.2
2012-11-17,パイオニアレッドウィングス,2,,香野晶子,5,■,■,■,■,■,22,7,1,0.3181818181818182,0.2727272727272727,1.40,0,0,0,-,1,0.20,14,1,1,3,12.5,0,0,0,-
2012-11-17,パイオニアレッドウィングス,5,,服部晃佳,5,■,■,■,■,■,46,15,2,0.32608695652173914,0.2826086956521739,3.00,1,1,0,100.0,1,0.20,9,0,1,1,2.8,35,18,0,51.4
2012-11-17,パイオニアレッドウィングス,6,L,林蓉子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0
2012-11-17,パイオニアレッドウィングス,8,,今野加奈子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2012-11-17,パイオニアレッドウィングス,9,,三橋聡恵,5,■,■,■,■,■,50,20,5,0.4,0.3,4.00,6,4,1,66.7,0,-,17,1,2,6,13.5,39,15,0,38.5
2012-11-17,パイオニアレッドウィングス,10,,浅津ゆうこ,5,■,■,■,■,■,44,14,2,0.3181818181818182,0.2727272727272727,2.80,4,0,1,0.0,1,0.20,10,0,0,2,5.0,0,0,0,-
2012-11-17,パイオニアレッドウィングス,12,,服部梨花,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2012-11-17,パイオニアレッドウィングス,14,,冨永こよみ,5,■,■,■,■,■,4,3,0,0.75,0.75,0.60,0,0,0,-,3,0.60,21,0,2,8,9.5,1,0,0,0.0
2012-11-17,パイオニアレッドウィングス,15,,森谷史佳,5,■,■,■,■,■,23,11,2,0.4782608695652174,0.391304347826087,2.20,0,0,0,-,2,0.40,15,0,2,9,15.0,3,3,0,100.0
2012-11-17,パイオニアレッドウィングス,16,,持丸結美子,4,□,□,□,nan,□,1,0,0,0.0,0.0,-,0,0,0,-,0,-,7,0,0,1,3.6,0,0,0,-
2012-11-17,パイオニアレッドウィングス,17,,渡邉和香里,3,nan,□,□,nan,□,0,0,0,,,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-
2012-11-17,パイオニアレッドウィングス,18,,佐藤円,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,2,0,0,0.0
2012-11-17,パイオニアレッドウィングス,19,,芦野真未,3,nan,nan,□,□,□,0,0,0,,,-,0,0,0,-,0,-,3,0,1,1,8.3,0,0,0,-
2012-11-17,パイオニアレッドウィングス,20,L,吉田真未,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,18,11,0,61.1
2012-11-17,パイオニアレッドウィングス,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,190,70,12,0.3684210526315789,0.30526315789473685,14.00,11,5,2,45.5,8,1.60,101,2,9,33,10.0,99,48,0,48.5
2012-11-17,トヨタ車体クインシーズ,1,,竹田沙希,3,■,■,■,nan,nan,27,6,2,0.2222222222222222,0.14814814814814814,2.00,2,1,0,50.0,1,0.33,9,0,0,1,2.8,23,15,0,65.2
2012-11-17,トヨタ車体クインシーズ,2,,矢野美子,3,■,■,■,nan,nan,22,10,0,0.45454545454545453,0.45454545454545453,3.33,0,0,0,-,1,0.33,8,0,0,1,3.1,0,0,0,-
2012-11-17,トヨタ車体クインシーズ,4,,藤田夏未,3,■,■,■,nan,nan,1,1,0,1.0,1.0,0.33,0,0,0,-,0,-,8,0,0,0,0.0,0,0,0,-
2012-11-17,トヨタ車体クインシーズ,6,,衛藤智美,2,■,■,nan,nan,nan,12,6,1,0.5,0.4166666666666667,3.00,0,0,0,-,0,-,4,0,0,1,6.2,1,0,0,0.0
2012-11-17,トヨタ車体クインシーズ,7,,日隈佑,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2012-11-17,トヨタ車体クインシーズ,8,,赤阪瑠美,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,1,1,12.5,0,0,0,-
2012-11-17,トヨタ車体クインシーズ,10,,星野絵美,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2012-11-17,トヨタ車体クインシーズ,11,L,梶原雪路,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,6,3,0,50.0
2012-11-17,トヨタ車体クインシーズ,12,,山田真里,3,■,■,■,nan,nan,14,3,0,0.21428571428571427,0.21428571428571427,1.00,0,0,0,-,1,0.33,12,0,0,4,8.3,17,13,0,76.5
2012-11-17,トヨタ車体クインシーズ,13,L,高橋咲妃惠,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,7,7,0,100.0
2012-11-17,トヨタ車体クインシーズ,14,,藤原亜紀,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2012-11-17,トヨタ車体クインシーズ,15,,田原香理,1,nan,nan,■,nan,nan,2,1,0,0.5,0.5,1.00,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2012-11-17,トヨタ車体クインシーズ,18,,眞恵子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2012-11-17,トヨタ車体クインシーズ,23,,カナニダニエルソン,3,■,■,■,nan,nan,32,7,4,0.21875,0.09375,2.33,3,0,0,0.0,0,-,11,0,0,4,9.1,11,10,0,90.9
2012-11-17,トヨタ車体クインシーズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,110,34,7,0.3090909090909091,0.24545454545454545,11.33,5,1,0,20.0,3,1.00,57,0,1,12,5.3,65,48,0,73.8
2012-11-17,久光製薬スプリングス,1,,長岡望悠,3,■,■,■,nan,nan,26,17,0,0.6538461538461539,0.6538461538461539,5.67,8,6,0,75.0,0,-,16,1,0,2,8.1,0,0,0,-
2012-11-17,久光製薬スプリングス,2,,古藤千鶴,3,■,■,■,nan,nan,2,1,0,0.5,0.5,0.33,0,0,0,-,0,-,16,0,0,5,7.8,0,0,0,-
2012-11-17,久光製薬スプリングス,3,,新鍋理沙,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2012-11-17,久光製薬スプリングス,4,,岩坂名奈,3,■,■,■,nan,nan,12,6,1,0.5,0.4166666666666667,2.00,0,0,0,-,4,1.33,11,0,5,3,6.8,0,0,0,-
2012-11-17,久光製薬スプリングス,5,,水田祐未,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2012-11-17,久光製薬スプリングス,6,,石井優希,3,■,■,■,nan,nan,33,14,0,0.42424242424242425,0.42424242424242425,4.67,4,2,0,50.0,3,1.00,8,0,1,3,9.4,32,27,0,84.4
2012-11-17,久光製薬スプリングス,7,,筒井視穂子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2012-11-17,久光製薬スプリングス,9,,平井香菜子,3,■,■,■,nan,nan,18,5,2,0.2777777777777778,0.16666666666666666,1.67,0,0,0,-,1,0.33,11,1,0,1,11.4,0,0,0,-
2012-11-17,久光製薬スプリングス,10,L,座安琴希,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,6,4,0,66.7
2012-11-17,久光製薬スプリングス,11,,狩野舞子,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2012-11-17,久光製薬スプリングス,13,L,村田しおり,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2012-11-17,久光製薬スプリングス,14,,パウリノエリサンジェラ,3,■,■,■,nan,nan,31,10,5,0.3225806451612903,0.16129032258064516,3.33,4,1,0,25.0,1,0.33,8,1,0,1,13.1,14,9,0,64.3
2012-11-17,久光製薬スプリングス,20,,筒井さやか,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0
2012-11-17,久光製薬スプリングス,22,,石田瑞穂,1,nan,nan,□,nan,nan,2,2,0,1.0,1.0,2.00,1,1,0,100.0,0,-,3,0,1,0,0.0,3,3,0,100.0
2012-11-17,久光製薬スプリングス,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,124,55,8,0.4435483870967742,0.3790322580645161,18.33,17,10,0,58.8,9,3.00,73,3,7,15,8.7,56,44,0,78.6
2012-11-17,デンソーエアリービーズ,3,,大竹里歩,1,nan,nan,nan,□,nan,9,3,0,0.3333333333333333,0.3333333333333333,3.00,0,0,0,-,2,2.00,1,0,0,0,0.0,0,0,0,-
2012-11-17,デンソーエアリービーズ,5,,熊谷桜子,4,■,■,■,■,nan,3,1,0,0.3333333333333333,0.3333333333333333,0.25,0,0,0,-,0,-,7,0,0,2,7.1,0,0,0,-
2012-11-17,デンソーエアリービーズ,6,,鈴木裕子,4,■,■,■,■,nan,28,10,1,0.35714285714285715,0.32142857142857145,2.50,0,0,0,-,1,0.25,13,0,0,5,9.6,34,20,0,58.8
2012-11-17,デンソーエアリービーズ,7,,鍋谷友理枝,1,nan,nan,nan,□,nan,3,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,0,1,25.0,1,1,0,100.0
2012-11-17,デンソーエアリービーズ,8,,井上香織,4,■,■,■,■,nan,15,5,2,0.3333333333333333,0.2,1.25,0,0,0,-,1,0.25,8,0,0,1,3.1,0,0,0,-
2012-11-17,デンソーエアリービーズ,10,,山田美花,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,0,2,10.0,11,8,0,72.7
2012-11-17,デンソーエアリービーズ,11,,井上奈々朱,4,■,■,■,■,nan,24,11,2,0.4583333333333333,0.375,2.75,0,0,0,-,1,0.25,12,1,2,6,20.8,2,1,0,50.0
2012-11-17,デンソーエアリービーズ,12,,泉岡未来,4,■,■,■,■,nan,50,16,5,0.32,0.22,4.00,12,1,2,8.3,0,-,14,0,2,5,8.9,0,0,0,-
2012-11-17,デンソーエアリービーズ,16,,石井里沙,4,■,■,■,■,nan,48,9,1,0.1875,0.16666666666666666,2.25,0,0,0,-,0,-,10,1,0,3,15.5,27,18,0,66.7
2012-11-17,デンソーエアリービーズ,18,,栄絵里香,3,□,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,6,1,0,3,25.8,0,0,0,-
