試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2015-04-04,NECレッドロケッツ,久光製薬スプリングス,1,L,八幡美樹,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-04-04,NECレッドロケッツ,久光製薬スプリングス,3,,イエリズバシャ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-04-04,NECレッドロケッツ,久光製薬スプリングス,5,,山口かなめ,4,■,■,■,■,nan,1,1,0,100.0,100.0,0.25,0,0,0,-,0,-,10,0,2,1,2.5,0,0,0,-,1
2015-04-04,NECレッドロケッツ,久光製薬スプリングス,6,,近江あかり,4,■,■,■,■,nan,40,15,1,37.5,35.0,3.75,1,0,0,0.0,1,0.25,13,0,1,2,3.8,28,21,0,75.0,16
2015-04-04,NECレッドロケッツ,久光製薬スプリングス,7,,秋山美幸,4,□,□,□,□,nan,1,1,0,100.0,100.0,0.25,0,0,0,-,0,-,5,0,0,1,5.0,0,0,0,-,1
2015-04-04,NECレッドロケッツ,久光製薬スプリングス,8,,島村春世,4,■,■,■,■,nan,36,14,0,38.9,38.9,3.50,2,1,0,50.0,3,0.75,16,0,1,4,6.2,3,1,0,33.3,17
2015-04-04,NECレッドロケッツ,久光製薬スプリングス,9,,白垣里紗,4,■,■,□,□,nan,16,4,1,25.0,18.8,1.00,1,0,0,0.0,0,-,2,0,1,0,0.0,8,6,0,75.0,4
2015-04-04,NECレッドロケッツ,久光製薬スプリングス,10,L,岩崎紗也加,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,15,0,78.9,0
2015-04-04,NECレッドロケッツ,久光製薬スプリングス,12,,大野果奈,4,■,■,■,■,nan,20,7,1,35.0,30.0,1.75,0,0,0,-,4,1.00,13,0,2,3,5.8,0,0,0,-,11
2015-04-04,NECレッドロケッツ,久光製薬スプリングス,13,,鳥越未玖,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,0,2,10.0,8,5,0,62.5,0
