名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アキンラデウォフォルケ,03,久光製薬スプリングス,16,6,37,20,2,54.1,48.6,0,0,0,6,17,0,0,8,1,0,1,26,,3.3,1.0,11.8,50.0
オズソイネリマン,03,トヨタ車体クインシーズ,13,6,111,34,11,30.6,20.7,36,11,7,4,15,1,1,3,0,0,0,39,30.6,5.7,0.7,10.0,
中屋夏澄,03,トヨタ車体クインシーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
井上愛里沙,03,久光製薬スプリングス,22,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
今村優香,03,久光製薬スプリングス,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤澪,03,トヨタ車体クインシーズ,2,6,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
加藤光,03,久光製薬スプリングス,25,4,0,0,0,,,0,0,0,0,7,2,1,0,0,0,0,2,,0.0,0.0,25.0,
古藤千鶴,03,久光製薬スプリングス,2,6,1,0,0,0.0,0.0,0,0,0,1,25,0,3,11,0,0,0,1,,0.0,0.2,8.0,
安井由香子,03,トヨタ車体クインシーズ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小田桃香,03,トヨタ車体クインシーズ,10,3,21,4,1,19.0,14.3,0,0,0,0,3,0,1,0,13,4,3,4,,1.3,0.0,-8.3,42.3
山上有紀,03,トヨタ車体クインシーズ,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
岩坂名奈,03,久光製薬スプリングス,4,6,16,7,0,43.8,43.8,0,0,0,5,29,2,1,11,0,0,0,14,,1.2,0.8,15.5,
平松美有紀,03,トヨタ車体クインシーズ,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
座安琴希,03,久光製薬スプリングス,10,3,0,0,0,,,0,0,0,0,0,0,0,0,5,1,2,0,,0.0,0.0,,40.0
戸江真奈,03,久光製薬スプリングス,18,6,0,0,0,,,0,0,0,0,0,0,0,0,11,4,2,0,,0.0,0.0,,45.5
新鍋理沙,03,久光製薬スプリングス,3,6,18,9,1,50.0,44.4,0,0,0,4,23,2,3,5,37,16,8,15,,1.5,0.7,10.9,54.1
杉郁香,03,トヨタ車体クインシーズ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
村永奈央,03,トヨタ車体クインシーズ,6,3,6,1,1,16.7,0.0,0,0,0,0,3,0,0,0,10,4,2,1,,0.3,0.0,0.0,50.0
栄絵里香,03,久光製薬スプリングス,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
森谷史佳,03,久光製薬スプリングス,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
榊原美沙都,03,トヨタ車体クインシーズ,8,6,0,0,0,,,0,0,0,0,0,0,0,0,26,11,5,0,,0.0,0.0,,51.9
比金桃子,03,トヨタ車体クインシーズ,4,6,1,1,0,100.0,100.0,0,0,0,0,25,4,2,4,0,0,0,5,,0.2,0.0,18.0,
渡邊彩,03,トヨタ車体クインシーズ,12,6,17,7,1,41.2,35.3,0,0,0,0,15,1,0,5,0,0,0,8,,1.2,0.0,15.0,
石井優希,03,久光製薬スプリングス,6,6,81,29,4,35.8,30.9,3,1,0,2,27,1,0,10,41,22,4,32,33.3,4.8,0.3,13.0,58.5
竹田沙希,03,トヨタ車体クインシーズ,1,6,23,9,0,39.1,39.1,0,0,0,0,12,0,2,4,39,11,14,9,,1.5,0.0,4.2,46.2
筒井さやか,03,久光製薬スプリングス,20,1,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,0.0,,0.0
荒木絵里香,03,トヨタ車体クインシーズ,11,6,19,12,0,63.2,63.2,0,0,0,5,20,1,1,4,1,0,0,18,,2.0,0.8,8.8,0.0
野本梨佳,03,久光製薬スプリングス,8,6,64,21,1,32.8,31.2,4,1,0,2,20,0,3,4,11,7,1,23,25.0,3.5,0.3,1.2,68.2
高橋沙織,03,トヨタ車体クインシーズ,3,6,39,10,6,25.6,10.3,5,1,2,1,25,1,2,14,48,24,5,12,20.0,1.7,0.2,16.0,55.2
