名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アキンラデウォフォルケ,01,久光製薬スプリングス,16,31,163,90,5,55.2,52.1,0,0,0,27,84,6,8,27,6,5,1,,2.9,0.9,12.8,91.7
アキンラデウォフォルケ,02,久光製薬スプリングス,16,12,70,46,3,65.7,61.4,0,0,0,10,48,2,5,11,0,0,0,,3.8,0.8,7.3,
アキンラデウォフォルケ,11,久光製薬スプリングス,16,3,19,9,0,47.4,47.4,0,0,0,5,11,1,2,2,0,0,0,,3.0,1.7,9.1,
アキンラデウォフォルケ,12,久光製薬スプリングス,16,15,103,67,3,65.0,62.1,0,0,0,11,45,1,2,15,3,3,0,,4.5,0.7,9.4,100.0
アルハッサンラーマット,01,NECレッドロケッツ,15,14,53,25,3,47.2,41.5,0,0,0,13,29,1,8,4,10,5,3,,1.8,0.9,0.0,65.0
アルハッサンラーマット,02,NECレッドロケッツ,15,9,26,9,2,34.6,26.9,0,0,0,5,25,1,4,7,1,0,0,,1.0,0.6,7.0,0.0
アルハッサンラーマット,11,NECレッドロケッツ,15,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
アルハッサンラーマット,12,NECレッドロケッツ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
アールブレヒトフレヤ,01,KUROBEアクアフェアリーズ,19,16,86,39,4,45.3,40.7,0,0,0,7,34,0,4,4,1,1,0,,2.4,0.4,0.0,100.0
アールブレヒトフレヤ,02,KUROBEアクアフェアリーズ,19,16,94,39,3,41.5,38.3,0,0,0,4,34,3,0,11,4,0,3,,2.4,0.2,16.9,37.5
アールブレヒトフレヤ,11,KUROBEアクアフェアリーズ,19,26,163,77,8,47.2,42.3,0,0,0,17,83,3,6,29,2,1,0,,3.0,0.7,10.5,50.0
アールブレヒトフレヤ,12,KUROBEアクアフェアリーズ,19,10,58,21,2,36.2,32.8,0,0,0,6,36,2,2,12,3,3,0,,2.1,0.6,12.5,100.0
オズソイネリマン,01,トヨタ車体クインシーズ,13,15,206,80,22,38.8,28.2,81,39,12,5,57,4,1,16,0,0,0,48.1,5.3,0.3,13.6,
オズソイネリマン,02,トヨタ車体クインシーズ,13,12,169,71,13,42.0,34.3,48,19,3,7,48,3,2,16,0,0,0,39.6,5.9,0.6,13.5,
