名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アキンラデウォフォルケ,久光製薬スプリングス,16,46,15,15,61,355,212,11,59.7,56.6,0,0,0,53,188,10,17,55,9,8,1,275,,3.48,0.87,10.4,94.4
アルハッサンラーマット,NECレッドロケッツ,15,35,27,9,24,79,34,5,43.0,36.7,0,0,0,18,54,2,12,11,11,5,3,54,,1.42,0.75,3.2,59.1
アールブレヒトフレヤ,KUROBEアクアフェアリーズ,19,13,55,2,68,401,176,17,43.9,39.7,0,0,0,34,187,8,12,56,10,5,3,218,,2.59,0.5,10.2,65.0
オズソイネリマン,トヨタ車体クインシーズ,13,40,25,12,65,944,407,81,43.1,34.5,313,151,39,32,260,10,10,77,0,0,0,449,48.2,6.26,0.49,10.3,
カムンタラーケオカラヤー,JTマーヴェラス,8,52,31,14,35,93,38,6,40.9,34.4,0,0,0,12,65,3,7,13,4,3,0,53,,1.09,0.34,6.9,75.0
クランヤナ,東レアローズ,7,46,33,13,79,1014,465,55,45.9,40.4,145,65,13,57,272,22,28,95,83,30,19,544,44.8,5.89,0.72,14.2,47.6
サンティアゴアライジャダフニ,埼玉上尾メディックス,3,40,37,11,77,335,179,9,53.4,50.7,5,0,0,33,267,20,30,87,14,5,2,232,0.0,2.32,0.43,12.8,42.9
シニアードジャック,デンソーエアリービーズ,18,35,36,10,71,433,250,16,57.7,54.0,0,0,0,57,201,10,21,61,8,4,4,317,,3.52,0.8,10.0,75.0
シュシュニャルカタリナ,埼玉上尾メディックス,17,40,37,11,77,886,412,56,46.5,40.2,310,143,25,39,249,22,48,69,0,0,0,473,46.1,5.35,0.51,10.9,
ドリスジェニファー,PFUブルーキャッツ,2,16,60,0,76,398,181,15,45.5,41.7,0,0,0,46,207,3,7,46,5,0,2,230,,2.38,0.61,6.2,20.0
ヒックマンジャスティス,JTマーヴェラス,14,11,6,3,6,5,3,1,60.0,40.0,0,0,0,0,6,0,1,0,10,5,4,3,,0.5,0.0,-4.2,70.0
ヘイルマンラウラ,日立リヴァーレ,5,17,29,3,42,215,99,14,46.0,39.5,0,0,0,36,99,2,10,16,4,3,0,137,,2.36,0.86,3.5,75.0
マナバットアレオナデニス,東レアローズ,16,28,18,9,3,3,1,0,33.3,33.3,0,0,0,1,1,0,0,0,0,0,0,2,,0.33,0.33,0.0,
ミハイロヴィッチブランキツァ,JTマーヴェラス,9,52,31,14,73,1067,463,87,43.4,35.2,221,92,26,21,246,12,27,87,22,7,8,496,41.6,6.34,0.29,11.0,50.0
モクシ―チャッチュオン,PFUブルーキャッツ,19,16,60,0,60,534,191,49,35.8,26.6,86,30,13,18,175,10,20,35,413,168,94,219,34.9,3.18,0.3,7.9,52.1
三橋聡恵,PFUブルーキャッツ,8,6,21,0,17,7,1,1,14.3,0.0,0,0,0,0,19,0,4,2,3,2,1,1,,0.06,0.0,-2.6,83.3
三浦茉実,埼玉上尾メディックス,9,34,34,9,30,23,4,0,17.4,17.4,0,0,0,4,31,1,0,13,5,3,0,9,,0.13,0.13,13.7,60.0
上坂瑠子,日立リヴァーレ,18,36,49,8,46,445,155,28,34.8,28.5,35,8,4,2,130,5,11,37,173,77,36,162,22.9,3.37,0.04,8.8,54.9
上野香織,NECレッドロケッツ,6,43,36,11,33,108,44,8,40.7,33.3,2,1,0,14,67,4,18,21,2,0,0,62,50.0,1.33,0.42,7.1,0.0
中元南,デンソーエアリービーズ,1,28,27,8,16,99,32,9,32.3,23.2,7,1,0,1,52,3,7,18,5,2,1,36,14.3,2.0,0.06,11.1,50.0
中屋夏澄,トヨタ車体クインシーズ,16,7,6,2,1,3,2,1,66.7,33.3,0,0,0,0,0,0,0,0,0,0,0,2,,2.0,0.0,,
中島未来,東レアローズ,11,46,33,13,79,0,0,0,,,0,0,0,0,0,0,0,0,287,141,55,0,,0.0,0.0,,58.7
中川千世,デンソーエアリービーズ,10,35,36,10,68,0,0,0,,,0,0,0,0,0,0,0,0,15,4,8,0,,0.0,0.0,,53.3
中川美柚,久光製薬スプリングス,24,36,15,11,32,65,24,6,36.9,27.7,1,0,0,7,47,0,3,8,115,33,42,31,0.0,0.75,0.22,2.7,47.0
中田紫乃,東レアローズ,9,28,23,8,49,209,70,12,33.5,27.8,6,1,0,14,145,3,5,57,400,158,99,87,16.7,1.43,0.29,11.0,51.9
丸山亜季,岡山シーガルズ,20,20,12,6,29,0,0,0,,,0,0,0,0,0,0,0,0,38,17,7,0,,0.0,0.0,,53.9
丸山紗季,KUROBEアクアフェアリーズ,1,13,55,2,64,369,136,26,36.9,29.8,3,1,0,21,194,7,11,60,31,8,4,164,33.3,2.12,0.33,9.9,32.3
丸山裕子,埼玉上尾メディックス,20,26,20,7,17,37,20,0,54.1,54.1,0,0,0,3,37,0,6,9,2,0,0,23,,1.18,0.18,2.0,0.0
井上奈々朱,東レアローズ,1,46,33,13,49,132,60,10,45.5,37.9,0,0,0,19,139,5,13,41,2,1,0,84,,1.22,0.39,8.6,50.0
井上愛里沙,久光製薬スプリングス,22,57,19,18,26,288,107,8,37.2,34.4,15,2,1,5,92,10,6,30,83,34,24,122,13.3,4.12,0.19,17.4,55.4
井上美咲,埼玉上尾メディックス,13,40,37,11,76,20,14,1,70.0,65.0,1,1,0,14,268,12,20,100,4,0,0,40,100.0,0.18,0.18,11.9,0.0
今村優香,久光製薬スプリングス,12,57,19,18,42,479,166,30,34.7,28.4,23,6,3,10,156,7,15,51,158,55,39,183,26.1,3.95,0.24,10.3,47.2
伊藤望,東レアローズ,5,17,13,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐々木萌,岡山シーガルズ,7,41,38,10,76,891,280,36,31.4,27.4,13,1,0,10,235,6,6,46,471,211,106,296,7.7,3.68,0.13,6.8,56.1
佐藤優花,埼玉上尾メディックス,10,24,24,7,8,23,9,2,39.1,30.4,0,0,0,0,8,0,1,1,26,11,4,9,,1.12,0.0,0.0,50.0
佐藤澪,トヨタ車体クインシーズ,2,36,19,11,44,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
佐藤美弥,日立リヴァーレ,8,32,45,7,74,20,10,0,50.0,50.0,0,0,0,16,219,4,20,61,2,2,0,30,,0.14,0.22,6.5,100.0
佐野伶奈,デンソーエアリービーズ,23,13,19,4,9,46,14,4,30.4,21.7,3,0,1,2,16,2,2,3,0,0,0,18,0.0,1.56,0.22,14.1,
倉見夏乃,KUROBEアクアフェアリーズ,2,13,55,2,34,126,46,3,36.5,34.1,2,1,0,9,92,3,4,28,5,2,1,58,50.0,1.35,0.26,9.8,50.0
入澤まい,日立リヴァーレ,20,36,49,8,79,304,133,29,43.8,34.2,0,0,0,51,235,22,41,81,5,2,0,206,,1.68,0.65,13.6,40.0
兵頭由希,デンソーエアリービーズ,24,35,36,10,42,96,34,3,35.4,32.3,4,1,1,1,91,7,1,26,43,10,10,42,25.0,0.81,0.02,14.6,34.9
内瀬戸真実,トヨタ車体クインシーズ,5,40,28,12,62,516,174,36,33.7,26.7,32,6,5,20,215,6,9,56,367,175,93,200,18.8,2.81,0.32,8.3,60.4
加藤光,久光製薬スプリングス,25,48,15,15,46,6,2,1,33.3,16.7,0,0,0,0,75,6,9,29,4,1,2,8,,0.04,0.0,14.7,50.0
南美寿希,KUROBEアクアフェアリーズ,8,13,55,2,47,16,7,0,43.8,43.8,2,0,0,7,168,2,3,41,2,0,0,16,0.0,0.15,0.15,6.8,0.0
及川真夢,岡山シーガルズ,8,29,15,9,23,16,5,2,31.2,18.8,0,0,0,3,33,1,0,8,0,0,0,9,,0.22,0.13,9.1,
古藤千鶴,久光製薬スプリングス,2,54,18,17,46,17,9,0,52.9,52.9,0,0,0,7,175,8,4,58,0,0,0,24,,0.2,0.15,12.3,
古谷ちなみ,NECレッドロケッツ,18,21,16,5,1,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
古賀紗理那,NECレッドロケッツ,2,43,36,11,79,815,250,31,30.7,26.9,84,19,6,27,282,13,35,83,448,193,112,290,22.6,3.16,0.34,8.9,55.6
吉安遥,PFUブルーキャッツ,3,14,48,0,37,14,2,2,14.3,0.0,6,2,0,0,28,0,2,7,75,35,19,2,33.3,0.05,0.0,4.5,59.3
吉岡美晴,岡山シーガルズ,4,20,28,4,30,240,65,10,27.1,22.9,0,0,0,1,58,1,1,15,89,38,21,67,,2.17,0.03,7.8,54.5
吉田みなみ,岡山シーガルズ,1,33,26,9,23,68,26,2,38.2,35.3,0,0,0,1,21,0,2,7,18,6,2,27,,1.13,0.04,6.0,38.9
吉野優理,埼玉上尾メディックス,29,40,37,11,76,544,169,21,31.1,27.2,40,7,3,19,318,11,14,84,507,236,119,199,17.5,2.22,0.25,9.0,58.3
和才奈々美,KUROBEアクアフェアリーズ,3,13,55,2,67,680,184,49,27.1,19.9,14,1,0,10,227,9,9,53,522,295,100,203,7.1,2.75,0.15,8.8,66.1
和田実莉,PFUブルーキャッツ,16,9,36,0,30,0,0,0,,,0,0,0,0,0,0,0,0,19,9,3,0,,0.0,0.0,,55.3
土井さくら,日立リヴァーレ,15,36,49,8,42,0,0,0,,,0,0,0,0,71,2,4,18,0,0,0,2,,0.0,0.0,7.7,
堀井有蘭,日立リヴァーレ,3,36,49,8,56,137,40,5,29.2,25.5,0,0,0,12,166,5,13,30,4,2,1,57,,0.71,0.21,5.6,62.5
堀口あやか,PFUブルーキャッツ,11,16,60,0,44,364,97,14,26.6,22.8,53,14,3,5,111,2,25,23,117,36,31,104,26.4,2.2,0.11,1.4,44.0
堀川真理,東レアローズ,2,46,33,13,51,109,50,10,45.9,36.7,14,2,5,5,62,1,5,21,8,1,1,56,14.3,0.98,0.1,8.1,18.8
堀江美志,埼玉上尾メディックス,26,40,37,11,71,646,193,31,29.9,25.1,86,25,7,8,231,11,12,64,567,219,140,212,29.1,2.72,0.11,10.4,51.0
塚田しおり,NECレッドロケッツ,3,43,36,11,22,6,3,0,50.0,50.0,0,0,0,3,80,2,4,29,2,0,0,8,,0.14,0.14,10.3,0.0
大室璃紗,埼玉上尾メディックス,23,25,26,7,15,0,0,0,,,0,0,0,0,3,0,0,1,13,6,2,0,,0.0,0.0,8.3,53.8
大楠鼓雪,岡山シーガルズ,22,9,14,1,14,61,21,2,34.4,31.1,0,0,0,4,41,3,1,10,42,21,8,28,,1.5,0.29,12.8,59.5
大竹里歩,デンソーエアリービーズ,5,19,17,6,14,38,14,1,36.8,34.2,0,0,0,7,39,0,5,10,1,0,1,21,,1.0,0.5,3.2,50.0
大野果奈,NECレッドロケッツ,5,43,36,11,64,205,90,3,43.9,42.4,0,0,0,33,180,4,10,34,5,2,1,127,,1.41,0.52,5.6,50.0
大野果歩,東レアローズ,3,46,33,13,76,288,120,13,41.7,37.2,0,0,0,43,174,7,4,42,10,5,1,170,,1.58,0.57,9.5,55.0
