試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2021-02-20,トヨタ車体クインシーズ,ヴィクトリーナ姫路,2,3,0,1,,鴫原ひなた,5,■,■,■,■,■,28,11,3,39.3,28.6,2.20,1,0,0,0.0,1,0.20,23,2,2,14,21.7,46,17,13,51.1,14,,,,,,,,
2021-02-20,トヨタ車体クインシーズ,ヴィクトリーナ姫路,2,3,0,6,,村永奈央,4,nan,□,□,□,□,2,0,0,0.0,0.0,-,0,0,0,-,0,-,5,1,0,1,25.0,4,3,0,75.0,1,,,,,,,,
2021-02-20,トヨタ車体クインシーズ,ヴィクトリーナ姫路,2,3,0,7,,渡邊彩,5,■,■,■,■,■,27,13,0,48.1,48.1,2.60,0,0,0,-,6,1.20,15,0,0,5,8.3,0,0,0,-,19,,,,,,,,
2021-02-20,トヨタ車体クインシーズ,ヴィクトリーナ姫路,2,3,0,8,L,榊原美沙都,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,7,5,47.5,0,,,,,,,,
2021-02-20,トヨタ車体クインシーズ,ヴィクトリーナ姫路,2,3,0,10,,熊井風音,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2021-02-20,トヨタ車体クインシーズ,ヴィクトリーナ姫路,2,3,0,11,,荒木絵里香,5,■,■,■,■,■,25,13,0,52.0,52.0,2.60,0,0,0,-,4,0.80,20,1,1,11,17.5,0,0,0,-,18,,,,,,,,
2021-02-20,トヨタ車体クインシーズ,ヴィクトリーナ姫路,2,3,0,12,,グーパートポーンプン,1,■,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,1,1.00,2,0,0,0,0.0,0,0,0,-,1,,,,,,,,
2021-02-20,トヨタ車体クインシーズ,ヴィクトリーナ姫路,2,3,0,13,,ソロカイテインドレ,5,■,■,■,■,■,54,17,4,31.5,24.1,3.40,12,2,1,16.7,2,0.40,21,1,0,10,16.7,0,0,0,-,20,,,,,,,,
2021-02-20,トヨタ車体クインシーズ,ヴィクトリーナ姫路,2,3,0,14,,松本亜弥華,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2021-02-20,トヨタ車体クインシーズ,ヴィクトリーナ姫路,2,3,0,16,,中屋夏澄,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2021-02-20,トヨタ車体クインシーズ,ヴィクトリーナ姫路,2,3,0,17,,藪田美穂子,5,■,■,■,■,■,55,18,7,32.7,20.0,3.60,2,0,1,0.0,2,0.40,14,0,2,7,8.9,31,10,3,37.1,20,,,,,,,,
