得点,失点,+/-,L-B,状況,番号,選手,交代番号,交代選手,相手状況,相手番号,相手選手,相手交代番号,相手交代選手
0,0,0,Tie,,,,,,,,,,
0,0,0,Tie,サーブ,17,藪田,,,サーブ,15,小西,,
0,0,0,Tie,レシーブ失敗,17,藪田,,,,,,,
0,0,0,Tie,,13,ソロカイテ,,,,,,,
0,0,0,Tie,,,,,,アタック成功:,11,杉原,,
0,1,-1,Behind,,,,,,,得点,,,
0,1,-1,Behind,,,,,,サーブ,15,小西,,
0,1,-1,Behind,レシーブ成功(良),17,藪田,,,,,,,
0,1,-1,Behind,,13,ソロカイテ,,,,,,,
0,1,-1,Behind,,,,,,,11,杉原,,
0,1,-1,Behind,,,,,,,10,リー,,
0,1,-1,Behind,,1,鴫原,,,,,,,
0,1,-1,Behind,,1,鴫原,,,,,,,
0,1,-1,Behind,,,,,,,9,舛田,,
0,1,-1,Behind,ブロック成功,11,荒木,,,,,,,
1,1,0,Tie,,得点,,,,,,,,
1,1,0,Tie,サーブ,11,荒木,,,,,,,
1,1,0,Tie,,,,,,レシーブ失敗,3,間橋,,
1,1,0,Tie,,,,,,アタック成功:,10,リー,,
1,2,-1,Behind,,,,,,,得点,,,
1,2,-1,Behind,,,,,,サーブミス,9,舛田,,
2,2,0,Tie,,得点,,,,,,,,
2,2,0,Tie,サーブ,13,ソロカイテ,,,,,,,
2,2,0,Tie,,,,,,レシーブ失敗,9,舛田,,
2,2,0,Tie,,,,,,アタック成功:,10,リー,,
2,3,-1,Behind,,,,,,,得点,,,
2,3,-1,Behind,,,,,,サーブ,11,杉原,,
2,3,-1,Behind,レシーブ成功(良),1,鴫原,,,,,,,
2,3,-1,Behind,,14,松本,,,,,,,
2,3,-1,Behind,,,,,,アタック成功:,10,リー,,
2,4,-2,Behind,,,,,,,得点,,,
2,4,-2,Behind,,,,,,サーブ,11,杉原,,
2,4,-2,Behind,レシーブ成功(優),1,鴫原,,,,,,,
2,4,-2,Behind,アタック失敗,1,鴫原,,,,,,,
2,5,-3,Behind,,,,,,,得点,,,
2,5,-3,Behind,,,,,,サーブ,11,杉原,,
2,5,-3,Behind,レシーブ失敗,1,鴫原,,,,,,,
2,5,-3,Behind,,1,鴫原,,,,,,,
2,5,-3,Behind,,,,,,アタック成功:,3,間橋,,
2,6,-4,Behind,,,,,,,得点,,,
2,6,-4,Behind,メンバー交代:,IN:2,稲葉,OUT:18,山上,,,,,
2,6,-4,Behind,メンバー交代:,IN:12,グーパート,OUT:13,ソロカイテ,,,,,
2,6,-4,Behind,,,,,,サーブ,11,杉原,,
2,6,-4,Behind,レシーブ成功(優),1,鴫原,,,,,,,
2,6,-4,Behind,アタック失敗,2,稲葉,,,,,,,
2,7,-5,Behind,,,,,,,得点,,,
2,7,-5,Behind,,,,,,サーブ,11,杉原,,
2,7,-5,Behind,レシーブ失敗,17,藪田,,,,,,,
2,7,-5,Behind,,1,鴫原,,,,,,,
2,7,-5,Behind,,,,,,ブロック成功,14,細沼,,
2,8,-6,Behind,,,,,,,得点,,,
2,8,-6,Behind,,,,,,,テクニカルタイムアウト,,,
2,8,-6,Behind,,,,,,サーブ,11,杉原,,
2,8,-6,Behind,レシーブ成功(良),1,鴫原,,,,,,,
2,8,-6,Behind,,1,鴫原,,,,,,,
2,8,-6,Behind,,1,鴫原,,,,,,,
2,8,-6,Behind,,,,,,その他ミス,11,杉原,,
3,8,-5,Behind,,得点,,,,,,,,
3,8,-5,Behind,サーブ,1,鴫原,,,,,,,
3,8,-5,Behind,,,,,,レシーブ成功(優),9,舛田,,
3,8,-5,Behind,,,,,,,10,リー,,
3,8,-5,Behind,アタック成功:,17,藪田,,,,,,,
3,8,-5,Behind,,チャレンジ成功,,,,,,,,
4,8,-4,Behind,,得点,,,,,,,,
4,8,-4,Behind,サーブ,1,鴫原,,,,,,,
4,8,-4,Behind,,,,,,レシーブ失敗,9,舛田,,
4,8,-4,Behind,,,,,,アタック成功:,10,リー,,
