試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2020-11-01,つくばユナイテッドSunGAIA,1,,上場雄也,3,■,■,■,nan,nan,39,21,4,53.8,43.6,7.00,19,10,2,52.6,1,0.33,14,1,1,3,10.7,0,0,0,-,,,,,,,,
2020-11-01,つくばユナイテッドSunGAIA,2,,浜崎勇矢,2,■,■,nan,nan,nan,3,0,1,0.0,-33.3,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0,0,-,,,,,,,,
2020-11-01,つくばユナイテッドSunGAIA,4,,阿部航平,3,■,■,■,nan,nan,9,5,0,55.6,55.6,1.67,0,0,0,-,0,-,8,0,1,2,3.1,0,0,0,-,,,,,,,,
2020-11-01,つくばユナイテッドSunGAIA,5,,廣瀬優希,3,■,■,■,nan,nan,15,5,2,33.3,20.0,1.67,0,0,0,-,7,2.33,7,0,3,3,0.0,0,0,0,-,,,,,,,,
2020-11-01,つくばユナイテッドSunGAIA,6,,瀧澤陽紀,3,□,■,■,nan,nan,19,5,2,26.3,15.8,1.67,1,1,0,100.0,2,0.67,10,0,3,1,-5.0,19,7,5,50.0,,,,,,,,
2020-11-01,つくばユナイテッドSunGAIA,8,,曹海倫,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-01,つくばユナイテッドSunGAIA,10,,鎌田敏弥,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-01,つくばユナイテッドSunGAIA,12,,土井友登,2,nan,□,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,7,0,0,1,3.6,0,0,0,-,,,,,,,,
2020-11-01,つくばユナイテッドSunGAIA,13,L,新垣東麻,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-01,つくばユナイテッドSunGAIA,14,,勝本真太郎,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,,,,,,,,
2020-11-01,つくばユナイテッドSunGAIA,20,,満生大輝,1,■,nan,nan,nan,nan,1,1,0,100.0,100.0,1.00,0,0,0,-,0,-,1,0,1,0,-25.0,6,3,3,75.0,,,,,,,,
2020-11-01,つくばユナイテッドSunGAIA,22,L,関谷拓巳,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,21,9,7,59.5,,,,,,,,
2020-11-01,つくばユナイテッドSunGAIA,23,,曽田一也,3,■,■,■,nan,nan,5,1,1,20.0,0.0,0.33,0,0,0,-,0,-,9,0,0,0,0.0,22,11,6,63.6,,,,,,,,
2020-11-01,つくばユナイテッドSunGAIA,26,,鈴木匡教,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-01,つくばユナイテッドSunGAIA,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,91,38,10,41.8,30.8,12.67,20,11,2,55.0,10,3.33,61,1,10,11,2.0,68,30,21,59.6,86,47,3,54.7,4,1.33,6.8,60.8
