試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2000-01-22,シーガルズ,JTマーヴェラス,2,3,0,1,,兵田今日子,5,□,■,■,■,■,53,22,2,41.5,37.7,4.40,0,0,0,-,1,0.20,16,0,0,6,9.4,13,9,0,69.2,23,,,,,,,,
2000-01-22,シーガルズ,JTマーヴェラス,2,3,0,4,,野村まり,5,■,■,■,■,□,22,7,0,31.8,31.8,1.40,0,0,0,-,3,0.60,14,0,0,4,7.1,1,1,0,100.0,10,,,,,,,,
2000-01-22,シーガルズ,JTマーヴェラス,2,3,0,5,,柳川裕美,5,■,■,■,■,■,23,10,1,43.5,39.1,2.00,0,0,0,-,4,0.80,11,0,1,3,6.8,23,16,0,69.6,14,,,,,,,,
2000-01-22,シーガルズ,JTマーヴェラス,2,3,0,6,,国兼聡子,1,nan,□,nan,nan,nan,1,1,0,100.0,100.0,1.00,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,1,,,,,,,,
2000-01-22,シーガルズ,JTマーヴェラス,2,3,0,7,,神田千絵,5,■,■,■,■,■,74,24,1,32.4,31.1,4.80,1,0,0,0.0,2,0.40,27,0,0,5,4.6,9,4,0,44.4,26,,,,,,,,
2000-01-22,シーガルズ,JTマーヴェラス,2,3,0,8,,丸山舞子,2,□,□,nan,nan,nan,1,1,0,100.0,100.0,0.50,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,1,,,,,,,,
2000-01-22,シーガルズ,JTマーヴェラス,2,3,0,9,,古井純子,5,■,■,■,■,■,1,0,0,0.0,0.0,-,0,0,0,-,0,-,21,1,0,4,8.6,0,0,0,-,1,,,,,,,,
2000-01-22,シーガルズ,JTマーヴェラス,2,3,0,12,,南田留美,2,■,nan,□,nan,nan,11,0,3,0.0,-27.3,-,0,0,0,-,0,-,1,0,0,0,0.0,4,0,0,0.0,0,,,,,,,,
2000-01-22,シーガルズ,JTマーヴェラス,2,3,0,18,L,金森純子,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,40,33,0,82.5,0,,,,,,,,
2000-01-22,シーガルズ,JTマーヴェラス,2,3,0,20,,船戸美穂,5,■,■,■,■,■,33,13,0,39.4,39.4,2.60,0,0,0,-,2,0.40,13,0,1,5,9.6,17,14,0,82.4,15,,,,,,,,
2000-01-22,シーガルズ,JTマーヴェラス,2,3,0,21,,森和代,5,□,□,□,□,■,6,1,1,16.7,0.0,0.20,0,0,0,-,0,-,7,0,0,1,3.6,2,2,0,100.0,1,,,,,,,,
2000-01-22,シーガルズ,JTマーヴェラス,2,3,0,25,,川井梅香,2,nan,□,nan,□,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2000-01-22,シーガルズ,JTマーヴェラス,2,3,0,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,226,79,8,35.0,31.4,15.80,1,0,0,0.0,12,2.40,112,1,2,28,7.0,109,79,0,72.5,92,236,91,12,38.6,8,1.60,7.5,73.6
