試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2002-01-12,シーガルズ,東レアローズ,1,3,0,2,,山口舞,2,□,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,1,0,0,0.0,0
2002-01-12,シーガルズ,東レアローズ,1,3,0,4,,野村まり,4,■,■,■,■,nan,27,12,2,44.4,37.0,3.00,0,0,0,-,4,1.00,16,0,0,1,1.6,0,0,0,-,16
2002-01-12,シーガルズ,東レアローズ,1,3,0,7,,神田千絵,3,■,■,nan,□,nan,12,3,0,25.0,25.0,1.00,0,0,0,-,0,-,6,1,0,0,13.3,4,2,0,50.0,4
2002-01-12,シーガルズ,東レアローズ,1,3,0,8,,丸山舞子,3,□,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2002-01-12,シーガルズ,東レアローズ,1,3,0,13,,神蔵なほ子,4,■,■,□,■,nan,22,9,1,40.9,36.4,2.25,0,0,0,-,0,-,11,0,1,1,2.3,11,10,0,90.9,9
2002-01-12,シーガルズ,東レアローズ,1,3,0,15,,岡野弘子,4,■,■,■,■,nan,3,1,0,33.3,33.3,0.25,0,0,0,-,0,-,8,0,1,1,3.1,0,0,0,-,1
2002-01-12,シーガルズ,東レアローズ,1,3,0,16,,河野志保,3,nan,□,■,□,nan,7,2,0,28.6,28.6,0.67,0,0,0,-,1,0.33,7,0,0,2,7.1,7,4,0,57.1,3
2002-01-12,シーガルズ,東レアローズ,1,3,0,18,L,金森純子,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,25,20,0,80.0,0
2002-01-12,シーガルズ,東レアローズ,1,3,0,21,,森和代,4,■,■,■,■,nan,29,15,0,51.7,51.7,3.75,0,0,0,-,0,-,14,1,0,1,7.5,9,5,0,55.6,16
2002-01-12,シーガルズ,東レアローズ,1,3,0,23,,藤野郁子,2,nan,□,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,3,0,0,0,0.0,3,2,0,66.7,0
2002-01-12,シーガルズ,東レアローズ,1,3,0,25,,川井梅香,4,□,□,■,■,nan,31,8,1,25.8,22.6,2.00,0,0,0,-,1,0.25,8,0,1,3,9.4,7,4,0,57.1,9
2002-01-12,シーガルズ,東レアローズ,1,3,0,33,,若浦貴子,4,■,■,■,■,nan,35,7,4,20.0,8.6,1.75,1,0,0,0.0,2,0.50,12,0,0,0,0.0,19,12,0,63.2,9
2002-01-12,シーガルズ,東レアローズ,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,167,57,8,34.1,29.3,14.25,1,0,0,0.0,8,2.00,88,2,3,9,4.4,86,59,0,68.6,67
