試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2002-01-26,シーガルズ,デンソーエアリービーズ,1,,兵田今日子,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2002-01-26,シーガルズ,デンソーエアリービーズ,4,,野村まり,4,■,■,■,■,nan,17,8,2,47.1,35.3,2.00,0,0,0,-,13,3.25,12,0,1,1,2.1,2,1,0,50.0,21
2002-01-26,シーガルズ,デンソーエアリービーズ,7,,神田千絵,1,nan,nan,nan,□,nan,3,1,0,33.3,33.3,1.00,0,0,0,-,0,-,7,0,0,1,3.6,0,0,0,-,1
2002-01-26,シーガルズ,デンソーエアリービーズ,13,,神蔵なほ子,4,■,■,■,■,nan,23,7,1,30.4,26.1,1.75,0,0,0,-,3,0.75,16,0,1,5,7.8,21,19,0,90.5,10
2002-01-26,シーガルズ,デンソーエアリービーズ,15,,岡野弘子,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,1,0.25,12,0,2,0,0.0,0,0,0,-,1
2002-01-26,シーガルズ,デンソーエアリービーズ,16,,河野志保,1,nan,nan,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-01-26,シーガルズ,デンソーエアリービーズ,18,L,金森純子,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,16,0,80.0,0
2002-01-26,シーガルズ,デンソーエアリービーズ,21,,森和代,4,■,■,■,■,nan,27,13,1,48.1,44.4,3.25,1,0,0,0.0,1,0.25,19,1,0,2,6.8,8,5,0,62.5,15
2002-01-26,シーガルズ,デンソーエアリービーズ,25,,川井梅香,4,■,■,■,■,nan,40,13,0,32.5,32.5,3.25,0,0,0,-,2,0.50,15,0,1,0,0.0,5,4,0,80.0,15
2002-01-26,シーガルズ,デンソーエアリービーズ,33,,若浦貴子,4,■,■,■,■,nan,35,14,0,40.0,40.0,3.50,0,0,0,-,0,-,14,0,1,0,0.0,20,14,0,70.0,14
2002-01-26,シーガルズ,デンソーエアリービーズ,41,,小菅真弓,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-01-26,シーガルズ,デンソーエアリービーズ,48,,越川瞳美,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,4,3,0,75.0,0
2002-01-26,シーガルズ,デンソーエアリービーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,146,56,4,38.4,35.6,14.00,1,0,0,0.0,20,5.00,97,1,6,9,3.1,80,62,0,77.5,77
