試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2002-12-15,デンソーエアリービーズ,久光製薬スプリングス,1,3,0,1,,濱野礼奈,4,■,■,■,■,nan,34,14,3,41.2,32.4,3.50,2,0,0,0.0,1,0.25,12,0,2,2,4.2,3,1,0,33.3,15
2002-12-15,デンソーエアリービーズ,久光製薬スプリングス,1,3,0,2,,温水麻子,4,■,■,■,■,nan,12,7,1,58.3,50.0,1.75,0,0,0,-,0,-,13,1,0,3,11.9,0,0,0,-,8
2002-12-15,デンソーエアリービーズ,久光製薬スプリングス,1,3,0,4,,草深暢子,4,■,■,■,■,nan,30,10,3,33.3,23.3,2.50,0,0,0,-,1,0.25,14,1,4,2,9.3,7,4,0,57.1,12
2002-12-15,デンソーエアリービーズ,久光製薬スプリングス,1,3,0,5,,西村光代,4,■,■,■,■,nan,10,5,1,50.0,40.0,1.25,0,0,0,-,2,0.50,13,0,1,0,0.0,0,0,0,-,7
2002-12-15,デンソーエアリービーズ,久光製薬スプリングス,1,3,0,7,,昔農美香,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,1,0,0,0.0,0
2002-12-15,デンソーエアリービーズ,久光製薬スプリングス,1,3,0,9,L,櫻井由香,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,14,0,87.5,0
2002-12-15,デンソーエアリービーズ,久光製薬スプリングス,1,3,0,10,,三浦聖子,3,nan,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,9,6,0,66.7,0
2002-12-15,デンソーエアリービーズ,久光製薬スプリングス,1,3,0,11,,渡部有香,1,nan,nan,nan,□,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-12-15,デンソーエアリービーズ,久光製薬スプリングス,1,3,0,12,,桑村綾子,4,■,■,■,■,nan,10,5,1,50.0,40.0,1.25,0,0,0,-,1,0.25,19,0,0,1,1.3,17,13,0,76.5,6
2002-12-15,デンソーエアリービーズ,久光製薬スプリングス,1,3,0,14,,岡野知子,4,■,■,■,■,nan,37,11,3,29.7,21.6,2.75,0,0,0,-,0,-,12,0,2,3,6.2,28,21,0,75.0,11
2002-12-15,デンソーエアリービーズ,久光製薬スプリングス,1,3,0,15,,水野早苗,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-12-15,デンソーエアリービーズ,久光製薬スプリングス,1,3,0,16,,横山雅美,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-12-15,デンソーエアリービーズ,久光製薬スプリングス,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,135,52,12,38.5,29.6,13.00,2,0,0,0.0,5,1.25,85,2,9,11,5.1,81,59,0,72.8,59
