試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2005-03-18,デンソーエアリービーズ,JTマーヴェラス,2,,温水麻子,2,□,nan,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0
2005-03-18,デンソーエアリービーズ,JTマーヴェラス,4,,草深暢子,1,nan,nan,□,nan,nan,6,0,1,0.0,-16.7,-,0,0,0,-,0,-,2,0,0,0,0.0,2,2,0,100.0,0
2005-03-18,デンソーエアリービーズ,JTマーヴェラス,5,,西村光代,2,nan,□,□,nan,nan,8,5,1,62.5,50.0,2.50,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,5
2005-03-18,デンソーエアリービーズ,JTマーヴェラス,6,,横山雅美,4,■,■,■,■,nan,7,4,0,57.1,57.1,1.00,0,0,0,-,1,0.25,16,0,0,7,10.9,0,0,0,-,5
2005-03-18,デンソーエアリービーズ,JTマーヴェラス,7,,上田かおり,4,■,■,■,■,nan,30,14,3,46.7,36.7,3.50,0,0,0,-,3,0.75,12,0,2,4,8.3,0,0,0,-,17
2005-03-18,デンソーエアリービーズ,JTマーヴェラス,8,,井上香織,4,■,■,■,■,nan,17,9,1,52.9,47.1,2.25,0,0,0,-,2,0.50,6,0,0,1,4.2,0,0,0,-,11
2005-03-18,デンソーエアリービーズ,JTマーヴェラス,9,L,櫻井由香,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,14,0,73.7,0
2005-03-18,デンソーエアリービーズ,JTマーヴェラス,11,,渡部有香,4,■,■,■,■,nan,48,21,2,43.8,39.6,5.25,4,0,0,0.0,1,0.25,16,1,2,2,8.1,0,0,0,-,23
2005-03-18,デンソーエアリービーズ,JTマーヴェラス,13,,松下友香,2,□,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2005-03-18,デンソーエアリービーズ,JTマーヴェラス,14,,岡野知子,4,■,■,■,■,nan,29,10,2,34.5,27.6,2.50,0,0,0,-,2,0.50,17,0,0,5,7.4,31,24,0,77.4,12
2005-03-18,デンソーエアリービーズ,JTマーヴェラス,15,,古舘歩,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2005-03-18,デンソーエアリービーズ,JTマーヴェラス,18,,細田絵理,4,■,■,■,■,nan,23,4,3,17.4,4.3,1.00,0,0,0,-,0,-,20,0,0,3,3.8,27,17,0,63.0,4
2005-03-18,デンソーエアリービーズ,JTマーヴェラス,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,169,67,13,39.6,32.0,16.75,4,0,0,0.0,9,2.25,97,1,4,24,7.0,79,57,0,72.2,77
