試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2010-01-30,デンソーエアリービーズ,トヨタ車体クインシーズ,3,0,1,2,,矢野美子,3,■,■,■,nan,nan,6,6,0,100.0,100.0,2.00,0,0,0,-,3,1.00,12,1,1,9,27.1,0,0,0,-,10,,,,,,,,
2010-01-30,デンソーエアリービーズ,トヨタ車体クインシーズ,3,0,1,3,,黒羽桂子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2010-01-30,デンソーエアリービーズ,トヨタ車体クインシーズ,3,0,1,4,,細田絵理,3,■,■,■,nan,nan,26,9,4,34.6,19.2,3.00,0,0,0,-,1,0.33,8,1,1,1,15.6,7,2,0,28.6,11,,,,,,,,
2010-01-30,デンソーエアリービーズ,トヨタ車体クインシーズ,3,0,1,5,,熊谷桜子,3,■,■,■,nan,nan,2,1,0,50.0,50.0,0.33,0,0,0,-,0,-,8,0,0,5,15.6,0,0,0,-,1,,,,,,,,
2010-01-30,デンソーエアリービーズ,トヨタ車体クインシーズ,3,0,1,7,,石井里沙,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2010-01-30,デンソーエアリービーズ,トヨタ車体クインシーズ,3,0,1,8,,井上香織,3,■,■,■,nan,nan,18,9,0,50.0,50.0,3.00,0,0,0,-,7,2.33,14,0,0,9,16.1,3,2,0,66.7,16,,,,,,,,
2010-01-30,デンソーエアリービーズ,トヨタ車体クインシーズ,3,0,1,9,,櫻井由香,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,2,0,66.7,0,,,,,,,,
2010-01-30,デンソーエアリービーズ,トヨタ車体クインシーズ,3,0,1,11,,関李香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2010-01-30,デンソーエアリービーズ,トヨタ車体クインシーズ,3,0,1,14,,大槻真弥,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,0,0,0.0,0,,,,,,,,
2010-01-30,デンソーエアリービーズ,トヨタ車体クインシーズ,3,0,1,15,L,奥田恭子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2010-01-30,デンソーエアリービーズ,トヨタ車体クインシーズ,3,0,1,16,L,片下恭子,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,12,0,63.2,0,,,,,,,,
2010-01-30,デンソーエアリービーズ,トヨタ車体クインシーズ,3,0,1,18,,井上奈々朱,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2010-01-30,デンソーエアリービーズ,トヨタ車体クインシーズ,3,0,1,20,,鈴木裕子,3,■,■,■,nan,nan,13,7,0,53.8,53.8,2.33,0,0,0,-,0,-,18,1,2,7,14.2,6,2,0,33.3,8,,,,,,,,
2010-01-30,デンソーエアリービーズ,トヨタ車体クインシーズ,3,0,1,34,,スタエレンスシャイーヌ,3,■,■,■,nan,nan,22,10,1,45.5,40.9,3.33,2,1,1,50.0,2,0.67,13,3,1,7,35.0,4,2,0,50.0,15,,,,,,,,
2010-01-30,デンソーエアリービーズ,トヨタ車体クインシーズ,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,87,42,5,48.3,42.5,14.00,2,1,1,50.0,13,4.33,73,6,5,38,20.7,43,22,0,51.2,61,101,33,7,32.7,0,0.00,13.2,37.5
