試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2011-02-06,デンソーエアリービーズ,トヨタ車体クインシーズ,1,,奥田恭子,3,■,■,■,nan,nan,32,9,1,28.1,25.0,3.00,0,0,0,-,0,-,9,0,0,2,5.6,30,21,0,70.0,9
2011-02-06,デンソーエアリービーズ,トヨタ車体クインシーズ,2,,矢野美子,3,■,■,■,nan,nan,16,5,1,31.2,25.0,1.67,0,0,0,-,0,-,8,0,0,1,3.1,0,0,0,-,5
2011-02-06,デンソーエアリービーズ,トヨタ車体クインシーズ,4,,細田絵理,3,■,■,■,nan,nan,31,8,3,25.8,16.1,2.67,0,0,0,-,1,0.33,6,0,2,2,8.3,0,0,0,-,9
2011-02-06,デンソーエアリービーズ,トヨタ車体クインシーズ,5,,熊谷桜子,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,8,0,1,2,6.2,0,0,0,-,0
2011-02-06,デンソーエアリービーズ,トヨタ車体クインシーズ,6,,鈴木裕子,3,■,■,■,nan,nan,22,7,3,31.8,18.2,2.33,0,0,0,-,1,0.33,11,2,1,5,25.9,17,12,0,70.6,10
2011-02-06,デンソーエアリービーズ,トヨタ車体クインシーズ,8,,井上香織,3,■,■,■,nan,nan,21,8,1,38.1,33.3,2.67,0,0,0,-,1,0.33,8,0,1,2,6.2,0,0,0,-,9
2011-02-06,デンソーエアリービーズ,トヨタ車体クインシーズ,9,L,櫻井由香,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,11,0,78.6,0
2011-02-06,デンソーエアリービーズ,トヨタ車体クインシーズ,11,,井上奈々朱,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2011-02-06,デンソーエアリービーズ,トヨタ車体クインシーズ,12,L,大村祥子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2011-02-06,デンソーエアリービーズ,トヨタ車体クインシーズ,13,,泉岡未来,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2011-02-06,デンソーエアリービーズ,トヨタ車体クインシーズ,15,,本田つばさ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2011-02-06,デンソーエアリービーズ,トヨタ車体クインシーズ,16,,石井里沙,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2011-02-06,デンソーエアリービーズ,トヨタ車体クインシーズ,18,,栄絵里香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2011-02-06,デンソーエアリービーズ,トヨタ車体クインシーズ,20,,真柴咲紀,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,8,6,0,75.0,0
2011-02-06,デンソーエアリービーズ,トヨタ車体クインシーズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,122,37,9,30.3,23.0,12.33,0,0,0,-,3,1.00,53,2,5,14,9.6,69,50,0,72.5,42
