試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-10-19,6,,田代佳奈美,3,■,■,■,,,1,1,0,1.0,1.0,0.33,0,0,0,-,0,-,15,1,2,8,16.7,0,0,0,-
2019-10-26,6,,田代佳奈美,3,■,■,■,,,1,1,0,1.0,1.0,0.33,0,0,0,-,1,0.33,9,0,2,4,5.6,0,0,0,-
2019-10-27,6,,田代佳奈美,4,■,■,■,■,,4,3,0,0.75,0.75,0.75,0,0,0,-,1,0.25,14,0,1,3,3.6,0,0,0,-
2019-11-03,6,,田代佳奈美,3,■,■,■,,,1,0,0,0.0,0.0,-,0,0,0,-,1,0.33,9,0,1,1,0.0,0,0,0,-
2019-11-09,6,,田代佳奈美,3,■,■,■,,,3,3,0,1.0,1.0,1.00,0,0,0,-,2,0.67,7,0,1,3,7.1,0,0,0,-
2019-11-10,6,,田代佳奈美,4,■,■,■,■,,4,2,0,0.5,0.5,0.50,0,0,0,-,1,0.25,17,0,0,5,7.4,0,0,0,-
2019-11-16,6,,田代佳奈美,3,■,■,■,,,2,0,0,0.0,0.0,-,0,0,0,-,0,-,12,0,0,5,10.4,0,0,0,-
2019-11-17,6,,田代佳奈美,3,■,■,■,,,2,1,0,0.5,0.5,0.33,0,0,0,-,0,-,14,2,1,4,19.6,0,0,0,-
2019-11-23,6,,田代佳奈美,3,■,■,■,,,4,4,0,1.0,1.0,1.33,0,0,0,-,1,0.33,15,0,0,7,11.7,0,0,0,-
2019-11-24,6,,田代佳奈美,4,■,■,■,■,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,12,0,0,4,8.3,0,0,0,-
2019-11-30,6,,田代佳奈美,5,■,■,■,■,■,2,0,0,0.0,0.0,-,0,0,0,-,3,0.60,17,0,1,5,5.9,0,0,0,-
2019-12-01,6,,田代佳奈美,3,■,■,■,,,5,3,0,0.6,0.6,1.00,0,0,0,-,1,0.33,8,0,1,3,6.2,0,0,0,-
2019-12-07,6,,田代佳奈美,5,■,■,■,■,■,2,1,0,0.5,0.5,0.20,0,0,0,-,1,0.20,14,0,1,6,8.9,0,0,0,-
2019-12-08,6,,田代佳奈美,5,■,■,■,■,■,2,2,0,1.0,1.0,0.40,0,0,0,-,3,0.60,15,1,1,5,13.3,1,0,0,0.0
2019-12-14,6,,田代佳奈美,3,■,■,■,,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,12,0,1,5,8.3,0,0,0,-
2019-12-15,6,,田代佳奈美,3,■,■,■,,,4,3,0,0.75,0.75,1.00,0,0,0,-,2,0.67,11,0,0,2,4.5,0,0,0,-
2019-12-21,6,,田代佳奈美,3,■,■,■,,,3,3,0,1.0,1.0,1.00,0,0,0,-,0,-,4,0,1,0,-6.2,0,0,0,-
2019-12-22,6,,田代佳奈美,4,■,■,■,■,,2,1,0,0.5,0.5,0.25,0,0,0,-,0,-,13,2,1,5,23.1,0,0,0,-
2019-12-28,6,,田代佳奈美,4,■,■,■,■,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,13,0,0,4,7.7,0,0,0,-
2020-01-04,6,,田代佳奈美,4,■,■,■,■,,4,3,0,0.75,0.75,0.75,0,0,0,-,0,-,11,0,0,4,9.1,0,0,0,-
2020-01-05,6,,田代佳奈美,3,■,■,□,,,2,1,0,0.5,0.5,0.33,0,0,0,-,1,0.33,5,0,1,0,-5.0,0,0,0,-
