試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2021-02-21,デンソーエアリービーズ,NECレッドロケッツ,1,3,0,1,,中元南,2,nan,nan,■,■,nan,17,5,1,29.4,23.5,2.50,1,0,0,0.0,0,-,8,1,1,2,15.6,14,3,2,28.6,6,,,,,,,,
2021-02-21,デンソーエアリービーズ,NECレッドロケッツ,1,3,0,5,,大竹里歩,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2021-02-21,デンソーエアリービーズ,NECレッドロケッツ,1,3,0,6,,田代佳奈美,4,■,■,■,■,nan,3,1,0,33.3,33.3,0.25,0,0,0,-,0,-,5,0,1,2,5.0,0,0,0,-,1,,,,,,,,
2021-02-21,デンソーエアリービーズ,NECレッドロケッツ,1,3,0,10,,森谷史佳,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0,,,,,,,,
2021-02-21,デンソーエアリービーズ,NECレッドロケッツ,1,3,0,11,L,井上琴絵,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,4,3,39.3,0,,,,,,,,
2021-02-21,デンソーエアリービーズ,NECレッドロケッツ,1,3,0,13,,奥村麻依,4,■,■,■,■,nan,9,5,0,55.6,55.6,1.25,0,0,0,-,1,0.25,11,0,1,3,4.5,1,0,1,50.0,6,,,,,,,,
2021-02-21,デンソーエアリービーズ,NECレッドロケッツ,1,3,0,14,,松井珠己,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,6,0,0,2,8.3,1,0,0,0.0,0,,,,,,,,
2021-02-21,デンソーエアリービーズ,NECレッドロケッツ,1,3,0,15,,鍋谷友理枝,2,■,■,nan,nan,nan,8,3,0,37.5,37.5,1.50,0,0,0,-,0,-,8,0,0,3,9.4,10,1,4,30.0,3,,,,,,,,
2021-02-21,デンソーエアリービーズ,NECレッドロケッツ,1,3,0,16,,横田真未,4,■,■,■,■,nan,16,8,0,50.0,50.0,2.00,0,0,0,-,3,0.75,17,0,2,6,5.9,2,0,1,25.0,11,,,,,,,,
2021-02-21,デンソーエアリービーズ,NECレッドロケッツ,1,3,0,19,,福留慧美,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2021-02-21,デンソーエアリービーズ,NECレッドロケッツ,1,3,0,20,,東谷玲衣奈,1,nan,nan,□,nan,nan,1,1,0,100.0,100.0,1.00,0,0,0,-,0,-,0,0,0,0,-,2,0,0,0.0,1,,,,,,,,
2021-02-21,デンソーエアリービーズ,NECレッドロケッツ,1,3,0,21,,工藤嶺,4,■,■,■,■,nan,21,7,1,33.3,28.6,1.75,7,1,1,14.3,1,0.25,10,0,1,3,5.0,17,8,4,58.8,8,,,,,,,,
2021-02-21,デンソーエアリービーズ,NECレッドロケッツ,1,3,0,22,,プラマーキャサリン,4,■,■,■,■,nan,45,19,5,42.2,31.1,4.75,6,2,2,33.3,1,0.25,9,0,0,4,11.1,18,8,4,55.6,20,,,,,,,,
2021-02-21,デンソーエアリービーズ,NECレッドロケッツ,1,3,0,24,,兵頭由希,4,□,□,□,□,nan,2,1,0,50.0,50.0,0.25,0,0,0,-,0,-,5,0,0,1,5.0,2,1,0,50.0,1,,,,,,,,
2021-02-21,デンソーエアリービーズ,NECレッドロケッツ,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,122,50,7,41.0,35.2,12.50,14,3,3,21.4,6,1.50,80,1,6,26,7.5,81,25,19,42.6,57,140,62,9,44.3,10,2.50,11.6,48.0
