試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2020-12-06,デンソーエアリービーズ,1,,中元南,3,■,■,■,nan,nan,15,3,2,20.0,6.7,1.00,3,0,1,0.0,1,0.33,15,0,0,7,11.7,24,10,5,52.1,,,,,,,,
2020-12-06,デンソーエアリービーズ,6,,田代佳奈美,4,■,■,■,■,nan,4,4,0,100.0,100.0,1.00,0,0,0,-,0,-,14,0,1,4,5.4,0,0,0,-,,,,,,,,
2020-12-06,デンソーエアリービーズ,8,,田原愛里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-12-06,デンソーエアリービーズ,9,,小口樹葉,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-12-06,デンソーエアリービーズ,10,,森谷史佳,2,nan,nan,□,■,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,9,0,0,3,8.3,0,0,0,-,,,,,,,,
2020-12-06,デンソーエアリービーズ,11,L,井上琴絵,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,5,5,75.0,,,,,,,,
2020-12-06,デンソーエアリービーズ,13,,奥村麻依,4,■,■,■,■,nan,12,6,0,50.0,50.0,1.50,0,0,0,-,3,0.75,10,0,0,2,5.0,0,0,0,-,,,,,,,,
2020-12-06,デンソーエアリービーズ,14,,松井珠己,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-12-06,デンソーエアリービーズ,15,,鍋谷友理枝,3,nan,□,□,■,nan,14,6,0,42.9,42.9,2.00,1,1,0,100.0,0,-,5,0,0,1,5.0,14,10,1,75.0,,,,,,,,
2020-12-06,デンソーエアリービーズ,16,,横田真未,3,■,■,■,nan,nan,13,3,0,23.1,23.1,1.00,0,0,0,-,2,0.67,12,1,2,2,8.3,1,1,0,100.0,,,,,,,,
2020-12-06,デンソーエアリービーズ,20,,東谷玲衣奈,1,nan,□,nan,nan,nan,2,1,0,50.0,50.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-12-06,デンソーエアリービーズ,21,,工藤嶺,4,■,■,■,■,nan,38,15,3,39.5,31.6,3.75,5,1,2,20.0,2,0.50,17,1,0,7,16.2,19,5,9,50.0,,,,,,,,
2020-12-06,デンソーエアリービーズ,22,,プラマーキャサリン,4,■,■,■,■,nan,59,27,4,45.8,39.0,6.75,5,3,1,60.0,4,1.00,12,1,1,3,12.5,11,6,2,63.6,,,,,,,,
2020-12-06,デンソーエアリービーズ,24,,兵頭由希,2,nan,nan,□,□,nan,1,0,0,0.0,0.0,-,1,0,0,0.0,0,-,3,0,1,0,-8.3,0,0,0,-,,,,,,,,
2020-12-06,デンソーエアリービーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,159,65,9,40.9,35.2,16.25,15,5,4,33.3,12,3.00,97,3,5,29,9.3,79,37,22,60.8,162,54,9,33.3,12,3.00,6.6,48.4
