試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2010-11-28,トヨタ車体クインシーズ,JTマーヴェラス,3,0,1,1,,都築有美子,3,■,■,■,nan,nan,21,6,1,28.6,23.8,2.00,2,0,0,0.0,1,0.33,17,0,0,4,5.9,15,14,0,93.3,7,,,,,,,,
2010-11-28,トヨタ車体クインシーズ,JTマーヴェラス,3,0,1,3,,山本陽子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2010-11-28,トヨタ車体クインシーズ,JTマーヴェラス,3,0,1,4,,船崎恵視,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,1,0.33,14,0,1,4,7.1,0,0,0,-,1,,,,,,,,
2010-11-28,トヨタ車体クインシーズ,JTマーヴェラス,3,0,1,5,,田原香理,3,■,■,■,nan,nan,14,4,1,28.6,21.4,1.33,0,0,0,-,1,0.33,9,0,0,1,2.8,0,0,0,-,5,,,,,,,,
2010-11-28,トヨタ車体クインシーズ,JTマーヴェラス,3,0,1,6,,河村聖子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2010-11-28,トヨタ車体クインシーズ,JTマーヴェラス,3,0,1,8,,赤阪瑠美,3,□,□,□,nan,nan,1,0,1,0.0,-100.0,-,1,0,1,0.0,0,-,4,0,0,2,12.5,0,0,0,-,0,,,,,,,,
2010-11-28,トヨタ車体クインシーズ,JTマーヴェラス,3,0,1,9,,眞恵子,3,■,■,■,nan,nan,47,20,0,42.6,42.6,6.67,9,3,0,33.3,3,1.00,5,0,1,2,10.0,0,0,0,-,23,,,,,,,,
2010-11-28,トヨタ車体クインシーズ,JTマーヴェラス,3,0,1,11,L,八田奈都己,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2010-11-28,トヨタ車体クインシーズ,JTマーヴェラス,3,0,1,15,,堀崎智恵美,3,□,□,□,nan,nan,2,1,0,50.0,50.0,0.33,0,0,0,-,0,-,2,0,0,1,12.5,4,2,0,50.0,1,,,,,,,,
2010-11-28,トヨタ車体クインシーズ,JTマーヴェラス,3,0,1,16,,服部鮎弥,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2010-11-28,トヨタ車体クインシーズ,JTマーヴェラス,3,0,1,20,,羽根翠,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,1,0.33,0,0,0,0,-,0,0,0,-,1,,,,,,,,
2010-11-28,トヨタ車体クインシーズ,JTマーヴェラス,3,0,1,21,,山田真里,3,■,■,■,nan,nan,4,2,0,50.0,50.0,0.67,0,0,0,-,0,-,12,0,2,2,4.2,28,20,0,71.4,2,,,,,,,,
2010-11-28,トヨタ車体クインシーズ,JTマーヴェラス,3,0,1,22,L,梶原雪路,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,11,11,0,100.0,0,,,,,,,,
2010-11-28,トヨタ車体クインシーズ,JTマーヴェラス,3,0,1,23,,アキンラデウォフォルケ,3,■,■,■,nan,nan,38,18,2,47.4,42.1,6.00,0,0,0,-,0,-,11,0,1,4,9.1,1,1,0,100.0,18,,,,,,,,
2010-11-28,トヨタ車体クインシーズ,JTマーヴェラス,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,127,51,5,40.2,36.2,17.00,12,3,1,25.0,7,2.33,74,0,5,20,6.8,59,48,0,81.4,58,143,46,10,32.2,6,2.00,5.7,71.0
