試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2011-02-06,トヨタ車体クインシーズ,デンソーエアリービーズ,3,0,1,1,,都築有美子,3,■,■,■,nan,nan,20,9,0,45.0,45.0,3.00,0,0,0,-,2,0.67,15,0,1,7,11.7,26,20,0,76.9,11
2011-02-06,トヨタ車体クインシーズ,デンソーエアリービーズ,3,0,1,2,,今西郁瑠,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,2,16.7,0,0,0,-,0
2011-02-06,トヨタ車体クインシーズ,デンソーエアリービーズ,3,0,1,3,,山本陽子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2011-02-06,トヨタ車体クインシーズ,デンソーエアリービーズ,3,0,1,4,,船崎恵視,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,12,0,0,2,4.2,0,0,0,-,0
2011-02-06,トヨタ車体クインシーズ,デンソーエアリービーズ,3,0,1,5,,田原香理,3,■,■,■,nan,nan,11,4,1,36.4,27.3,1.33,0,0,0,-,1,0.33,6,0,0,0,0.0,0,0,0,-,5
2011-02-06,トヨタ車体クインシーズ,デンソーエアリービーズ,3,0,1,8,,赤阪瑠美,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,7,0,0,2,7.1,0,0,0,-,0
2011-02-06,トヨタ車体クインシーズ,デンソーエアリービーズ,3,0,1,9,,眞恵子,3,■,■,■,nan,nan,31,10,1,32.3,29.0,3.33,1,0,0,0.0,3,1.00,12,1,1,4,16.7,0,0,0,-,14
2011-02-06,トヨタ車体クインシーズ,デンソーエアリービーズ,3,0,1,11,L,八田奈都己,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2011-02-06,トヨタ車体クインシーズ,デンソーエアリービーズ,3,0,1,14,,藤原亜紀,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2011-02-06,トヨタ車体クインシーズ,デンソーエアリービーズ,3,0,1,15,,堀崎智恵美,3,■,■,■,nan,nan,18,9,0,50.0,50.0,3.00,0,0,0,-,1,0.33,14,0,0,1,1.8,10,4,0,40.0,10
2011-02-06,トヨタ車体クインシーズ,デンソーエアリービーズ,3,0,1,16,,服部鮎弥,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2011-02-06,トヨタ車体クインシーズ,デンソーエアリービーズ,3,0,1,20,,羽根翠,2,nan,□,□,nan,nan,1,1,0,100.0,100.0,0.50,0,0,0,-,1,0.50,0,0,0,0,-,0,0,0,-,2
2011-02-06,トヨタ車体クインシーズ,デンソーエアリービーズ,3,0,1,22,L,梶原雪路,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,8,0,66.7,0
2011-02-06,トヨタ車体クインシーズ,デンソーエアリービーズ,3,0,1,23,,アキンラデウォフォルケ,3,■,■,■,nan,nan,24,17,0,70.8,70.8,5.67,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,17
2011-02-06,トヨタ車体クインシーズ,デンソーエアリービーズ,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,106,50,2,47.2,45.3,16.67,1,0,0,0.0,8,2.67,73,1,3,19,7.9,48,32,0,66.7,59
