試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2013-12-08,トヨタ車体クインシーズ,パイオニアレッドウィングス,1,,竹田沙希,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2013-12-08,トヨタ車体クインシーズ,パイオニアレッドウィングス,4,,藤田夏未,4,■,■,■,■,nan,1,1,0,100.0,100.0,0.25,0,0,0,-,1,0.25,14,2,1,6,23.6,0,0,0,-,4
2013-12-08,トヨタ車体クインシーズ,パイオニアレッドウィングス,5,,平松美有紀,4,■,■,■,■,nan,35,14,3,40.0,31.4,3.50,0,0,0,-,2,0.50,13,0,2,0,0.0,0,0,0,-,16
2013-12-08,トヨタ車体クインシーズ,パイオニアレッドウィングス,6,,衛藤智美,4,■,■,■,■,nan,12,5,1,41.7,33.3,1.25,0,0,0,-,0,-,20,1,0,13,20.2,0,0,0,-,6
2013-12-08,トヨタ車体クインシーズ,パイオニアレッドウィングス,9,,高本佳澄,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2013-12-08,トヨタ車体クインシーズ,パイオニアレッドウィングス,11,L,梶原雪路,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2013-12-08,トヨタ車体クインシーズ,パイオニアレッドウィングス,12,,山田真里,4,□,□,□,□,nan,9,2,0,22.2,22.2,0.50,0,0,0,-,0,-,7,0,0,2,7.1,15,8,0,53.3,2
2013-12-08,トヨタ車体クインシーズ,パイオニアレッドウィングス,13,L,高橋咲妃惠,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,9,0,64.3,0
2013-12-08,トヨタ車体クインシーズ,パイオニアレッドウィングス,14,,藤原亜紀,4,■,■,■,■,nan,54,14,2,25.9,22.2,3.50,2,0,1,0.0,1,0.25,15,0,1,4,6.7,40,15,0,37.5,15
2013-12-08,トヨタ車体クインシーズ,パイオニアレッドウィングス,15,,河村聖子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2013-12-08,トヨタ車体クインシーズ,パイオニアレッドウィングス,16,,山田侑樹,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,7,2,0,2,35.7,5,3,0,60.0,2
2013-12-08,トヨタ車体クインシーズ,パイオニアレッドウィングス,17,,竹内彩,4,■,■,■,■,nan,21,7,2,33.3,23.8,1.75,0,0,0,-,0,-,11,0,1,3,6.8,1,0,0,0.0,7
2013-12-08,トヨタ車体クインシーズ,パイオニアレッドウィングス,18,,眞恵子,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2013-12-08,トヨタ車体クインシーズ,パイオニアレッドウィングス,23,,カナニダニエルソン,4,■,■,■,■,nan,41,12,3,29.3,22.0,3.00,3,1,0,33.3,3,0.75,11,1,0,2,11.8,14,6,0,42.9,16
2013-12-08,トヨタ車体クインシーズ,パイオニアレッドウィングス,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,173,55,11,31.8,25.4,13.75,5,1,1,20.0,7,1.75,98,6,5,32,13.7,89,41,0,46.1,68
