試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2018-02-11,トヨタ車体クインシーズ,JTマーヴェラス,1,,竹田沙希,1,nan,□,nan,nan,nan,2,0,1,0.0,-50.0,-,0,0,0,-,0,-,1,0,0,0,0.0,8,2,1,31.2,0
2018-02-11,トヨタ車体クインシーズ,JTマーヴェラス,2,L,佐藤澪,5,〇,〇,〇,〇,〇,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-11,トヨタ車体クインシーズ,JTマーヴェラス,3,,高橋沙織,5,■,■,■,■,■,31,12,2,38.7,32.3,2.40,3,0,0,0.0,0,-,16,0,1,4,4.7,32,13,10,56.2,12
2018-02-11,トヨタ車体クインシーズ,JTマーヴェラス,4,,比金桃子,5,■,■,■,■,■,0,0,0,,,-,0,0,0,-,0,-,12,0,0,2,4.2,0,0,0,-,0
2018-02-11,トヨタ車体クインシーズ,JTマーヴェラス,6,,村永奈央,3,nan,nan,■,■,■,15,8,0,53.3,53.3,2.67,0,0,0,-,2,0.67,6,0,1,2,4.2,11,7,2,72.7,10
2018-02-11,トヨタ車体クインシーズ,JTマーヴェラス,8,L,榊原美沙都,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,22,12,9,75.0,0
2018-02-11,トヨタ車体クインシーズ,JTマーヴェラス,10,,小田桃香,2,■,■,nan,nan,nan,12,2,2,16.7,0.0,1.00,1,0,1,0.0,0,-,4,0,0,3,18.8,7,1,2,28.6,2
2018-02-11,トヨタ車体クインシーズ,JTマーヴェラス,11,,荒木絵里香,5,■,■,■,■,■,20,9,4,45.0,25.0,1.80,0,0,0,-,4,0.80,23,0,1,6,5.4,0,0,0,-,13
2018-02-11,トヨタ車体クインシーズ,JTマーヴェラス,12,,渡邊彩,5,■,■,■,■,■,8,2,0,25.0,25.0,0.40,0,0,0,-,2,0.40,19,1,1,4,9.2,0,0,0,-,5
2018-02-11,トヨタ車体クインシーズ,JTマーヴェラス,13,,オズソイネリマン,5,■,■,■,■,■,61,26,3,42.6,37.7,5.20,21,8,2,38.1,4,0.80,17,2,0,5,19.1,0,0,0,-,32
2018-02-11,トヨタ車体クインシーズ,JTマーヴェラス,14,,金本望,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-11,トヨタ車体クインシーズ,JTマーヴェラス,15,,杉郁香,1,nan,□,nan,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2018-02-11,トヨタ車体クインシーズ,JTマーヴェラス,16,,中屋夏澄,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-11,トヨタ車体クインシーズ,JTマーヴェラス,18,,山上有紀,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-11,トヨタ車体クインシーズ,JTマーヴェラス,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,150,59,12,39.3,31.3,11.80,25,8,3,32.0,12,2.40,99,3,4,26,8.6,80,35,24,58.8,74
