試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-10-12,11,,荒木絵里香,3,■,■,■,,,16,9,0,0.5625,0.5625,3.00,0,0,0,-,0,-,8,0,0,1,3.1,0,0,0,-
2019-10-13,11,,荒木絵里香,3,■,■,■,,,11,9,0,0.8181818181818182,0.8181818181818182,3.00,0,0,0,-,1,0.33,23,2,0,13,22.8,0,0,0,-
2019-10-19,11,,荒木絵里香,4,■,■,■,■,,18,7,2,0.3888888888888889,0.2777777777777778,1.75,0,0,0,-,5,1.25,16,1,0,9,20.3,0,0,0,-
2019-10-26,11,,荒木絵里香,4,■,■,■,■,,15,5,0,0.3333333333333333,0.3333333333333333,1.25,0,0,0,-,6,1.50,17,2,2,6,17.6,0,0,0,-
2019-10-27,11,,荒木絵里香,4,■,■,■,■,,14,4,0,0.2857142857142857,0.2857142857142857,1.00,0,0,0,-,4,1.00,17,3,0,6,26.5,0,0,0,-
2019-11-02,11,,荒木絵里香,5,■,■,■,■,■,21,10,0,0.4761904761904762,0.4761904761904762,2.00,0,0,0,-,5,1.00,19,1,2,9,14.5,1,0,1,50.0
2019-11-09,11,,荒木絵里香,5,■,■,■,■,■,24,13,1,0.5416666666666666,0.5,2.60,0,0,0,-,4,0.80,12,0,1,4,6.2,3,0,1,16.7
2019-11-10,11,,荒木絵里香,4,■,■,■,■,,18,6,1,0.3333333333333333,0.2777777777777778,1.50,0,0,0,-,1,0.25,14,0,1,5,7.1,1,0,0,0.0
2019-11-16,11,,荒木絵里香,5,■,■,■,■,■,15,6,1,0.4,0.3333333333333333,1.20,0,0,0,-,5,1.00,20,0,1,5,5.0,3,1,1,50.0
2019-11-17,11,,荒木絵里香,3,■,■,■,,,9,2,1,0.2222222222222222,0.1111111111111111,0.67,0,0,0,-,4,1.33,13,0,0,4,7.7,1,0,0,0.0
2019-11-23,11,,荒木絵里香,5,■,■,■,■,■,18,13,1,0.7222222222222222,0.6666666666666666,2.60,0,0,0,-,8,1.60,18,1,2,3,6.9,2,1,1,75.0
2019-11-24,11,,荒木絵里香,5,■,■,■,■,■,21,11,0,0.5238095238095238,0.5238095238095238,2.20,0,0,0,-,7,1.40,18,3,0,7,26.4,2,0,1,25.0
2019-11-30,11,,荒木絵里香,5,■,■,■,■,■,20,9,1,0.45,0.4,1.80,1,0,0,0.0,6,1.20,19,1,0,7,14.5,1,0,1,50.0
2019-12-01,11,,荒木絵里香,3,■,■,■,,,15,9,0,0.6,0.6,3.00,0,0,0,-,1,0.33,18,3,1,6,23.6,0,0,0,-
2019-12-07,11,,荒木絵里香,4,■,■,■,■,,16,8,3,0.5,0.3125,2.00,0,0,0,-,8,2.00,16,0,2,5,4.7,2,1,0,50.0
2019-12-08,11,,荒木絵里香,3,■,■,■,,,22,6,1,0.2727272727272727,0.2272727272727273,2.00,0,0,0,-,3,1.00,10,1,1,4,17.5,0,0,0,-
2019-12-14,11,,荒木絵里香,3,■,■,■,,,11,4,1,0.3636363636363637,0.2727272727272727,1.33,0,0,0,-,2,0.67,11,0,0,2,4.5,0,0,0,-
2019-12-15,11,,荒木絵里香,3,■,■,■,,,8,3,1,0.375,0.25,1.00,0,0,0,-,3,1.00,11,1,0,2,13.6,0,0,0,-
2019-12-21,11,,荒木絵里香,3,■,■,■,,,14,8,2,0.5714285714285714,0.42857142857142855,2.67,0,0,0,-,4,1.33,9,1,0,2,16.7,1,1,0,100.0
2019-12-28,11,,荒木絵里香,4,■,■,■,■,,17,6,0,0.35294117647058826,0.35294117647058826,1.50,0,0,0,-,4,1.00,21,0,2,9,8.3,1,0,1,50.0
2019-12-29,11,,荒木絵里香,5,■,■,■,■,■,18,6,1,0.3333333333333333,0.2777777777777778,1.20,0,0,0,-,3,0.60,21,3,1,8,22.6,0,0,0,-
