試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2004-12-19,パイオニアレッドウィングス,茂原アルカス,0,,佐々木みき,3,■,■,■,nan,nan,25,8,3,32.0,20.0,2.67,4,0,1,0.0,3,1.00,14,0,2,5,8.9,4,2,0,50.0,11
2004-12-19,パイオニアレッドウィングス,茂原アルカス,3,,フールマンフランシーヌ,3,■,■,■,nan,nan,43,15,4,34.9,25.6,5.00,0,0,0,-,4,1.33,15,0,4,7,11.7,0,0,0,-,19
2004-12-19,パイオニアレッドウィングス,茂原アルカス,4,,庄司夕起,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-12-19,パイオニアレッドウィングス,茂原アルカス,5,,多治見麻子,3,■,■,■,nan,nan,16,8,0,50.0,50.0,2.67,0,0,0,-,2,0.67,14,1,1,2,10.7,0,0,0,-,11
2004-12-19,パイオニアレッドウィングス,茂原アルカス,6,,島崎みゆき,3,□,□,□,nan,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,1,0.33,2,0,0,2,25.0,0,0,0,-,2
2004-12-19,パイオニアレッドウィングス,茂原アルカス,7,L,吉田実代,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,10,0,52.6,0
2004-12-19,パイオニアレッドウィングス,茂原アルカス,9,,榛澤舞子,3,■,■,■,nan,nan,27,15,0,55.6,55.6,5.00,0,0,0,-,0,-,15,0,5,1,1.7,19,8,0,42.1,15
2004-12-19,パイオニアレッドウィングス,茂原アルカス,11,,吉原知子,3,■,■,■,nan,nan,21,9,1,42.9,38.1,3.00,0,0,0,-,2,0.67,10,0,1,5,12.5,26,15,0,57.7,11
2004-12-19,パイオニアレッドウィングス,茂原アルカス,14,,久保庭怜奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-12-19,パイオニアレッドウィングス,茂原アルカス,16,,内田役子,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,9,0,1,4,11.1,0,0,0,-,0
2004-12-19,パイオニアレッドウィングス,茂原アルカス,17,,西畑美希,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-12-19,パイオニアレッドウィングス,茂原アルカス,19,,荒木麻里,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,7,0,0,3,10.7,0,0,0,-,0
2004-12-19,パイオニアレッドウィングス,茂原アルカス,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,133,56,8,42.1,36.1,18.67,4,0,1,0.0,12,4.00,86,1,14,29,9.6,68,35,0,51.5,69
