試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2005-02-27,パイオニアレッドウィングス,シーガルズ,3,2,1,0,,佐々木みき,5,■,■,■,■,■,74,37,4,50.0,44.6,7.40,13,6,1,46.2,4,0.80,12,1,0,2,10.8,28,23,0,82.1,42,,,,,,,,
2005-02-27,パイオニアレッドウィングス,シーガルズ,3,2,1,3,,フールマンフランシーヌ,5,■,■,■,■,■,38,23,1,60.5,57.9,4.60,0,0,0,-,4,0.80,22,0,2,4,4.5,1,1,0,100.0,27,,,,,,,,
2005-02-27,パイオニアレッドウィングス,シーガルズ,3,2,1,4,,庄司夕起,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2005-02-27,パイオニアレッドウィングス,シーガルズ,3,2,1,5,,多治見麻子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2005-02-27,パイオニアレッドウィングス,シーガルズ,3,2,1,6,,島崎みゆき,5,■,■,■,■,■,12,3,1,25.0,16.7,0.60,0,0,0,-,1,0.20,13,0,0,4,7.7,8,7,0,87.5,4,,,,,,,,
2005-02-27,パイオニアレッドウィングス,シーガルズ,3,2,1,7,L,吉田実代,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,18,15,0,83.3,0,,,,,,,,
2005-02-27,パイオニアレッドウィングス,シーガルズ,3,2,1,9,,榛澤舞子,5,■,■,■,■,■,24,10,1,41.7,37.5,2.00,0,0,0,-,0,-,32,1,1,5,6.4,39,32,0,82.1,11,,,,,,,,
2005-02-27,パイオニアレッドウィングス,シーガルズ,3,2,1,11,,吉原知子,5,■,■,■,■,■,29,9,1,31.0,27.6,1.80,0,0,0,-,1,0.20,11,0,0,4,9.1,1,0,0,0.0,10,,,,,,,,
2005-02-27,パイオニアレッドウィングス,シーガルズ,3,2,1,14,,久保庭怜奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2005-02-27,パイオニアレッドウィングス,シーガルズ,3,2,1,16,,内田役子,5,■,■,■,■,■,2,1,1,50.0,0.0,0.20,0,0,0,-,1,0.20,15,0,2,3,5.0,0,0,0,-,2,,,,,,,,
2005-02-27,パイオニアレッドウィングス,シーガルズ,3,2,1,17,,西畑美希,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2005-02-27,パイオニアレッドウィングス,シーガルズ,3,2,1,22,,高橋牧子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2005-02-27,パイオニアレッドウィングス,シーガルズ,3,2,1,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,179,83,9,46.4,41.3,16.60,13,6,1,46.2,11,2.20,105,2,5,22,6.8,95,78,0,82.1,96,164,61,8,37.2,14,2.80,5.4,76.0
