試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2013-01-26,パイオニアレッドウィングス,NECレッドロケッツ,1,3,0,2,,香野晶子,4,■,■,■,■,nan,14,7,0,50.0,50.0,1.75,0,0,0,-,2,0.50,8,0,0,3,9.4,3,1,0,33.3,9
2013-01-26,パイオニアレッドウィングス,NECレッドロケッツ,1,3,0,3,,横田千里,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,1,0.25,15,0,0,5,8.3,0,0,0,-,1
2013-01-26,パイオニアレッドウィングス,NECレッドロケッツ,1,3,0,4,,スタエレンスシャイーヌ,4,■,■,■,■,nan,39,19,2,48.7,43.6,4.75,0,0,0,-,0,-,12,0,2,4,8.3,33,10,0,30.3,19
2013-01-26,パイオニアレッドウィングス,NECレッドロケッツ,1,3,0,5,,服部晃佳,4,■,■,■,■,nan,35,10,3,28.6,20.0,2.50,0,0,0,-,2,0.50,12,0,0,1,2.1,24,9,0,37.5,12
2013-01-26,パイオニアレッドウィングス,NECレッドロケッツ,1,3,0,6,L,林蓉子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2013-01-26,パイオニアレッドウィングス,NECレッドロケッツ,1,3,0,8,,今野加奈子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2013-01-26,パイオニアレッドウィングス,NECレッドロケッツ,1,3,0,9,,三橋聡恵,2,nan,nan,□,□,nan,7,3,0,42.9,42.9,1.50,1,0,0,0.0,0,-,2,0,0,1,12.5,3,1,0,33.3,3
2013-01-26,パイオニアレッドウィングス,NECレッドロケッツ,1,3,0,10,,浅津ゆうこ,4,■,■,■,■,nan,32,18,3,56.2,46.9,4.50,3,0,1,0.0,0,-,19,0,2,7,9.2,0,0,0,-,18
2013-01-26,パイオニアレッドウィングス,NECレッドロケッツ,1,3,0,12,,服部梨花,2,nan,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2013-01-26,パイオニアレッドウィングス,NECレッドロケッツ,1,3,0,15,,森谷史佳,4,■,■,■,■,nan,14,2,0,14.3,14.3,0.50,0,0,0,-,3,0.75,21,1,1,12,18.1,4,1,0,25.0,6
2013-01-26,パイオニアレッドウィングス,NECレッドロケッツ,1,3,0,16,,持丸結美子,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,1,0,0.0,0,0,0,-,0
2013-01-26,パイオニアレッドウィングス,NECレッドロケッツ,1,3,0,17,,渡邉和香里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2013-01-26,パイオニアレッドウィングス,NECレッドロケッツ,1,3,0,18,,佐藤円,3,□,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,1,2,12.5,1,1,0,100.0,0
2013-01-26,パイオニアレッドウィングス,NECレッドロケッツ,1,3,0,20,L,吉田真未,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,6,0,50.0,0
2013-01-26,パイオニアレッドウィングス,NECレッドロケッツ,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,141,59,8,41.8,36.2,14.75,4,0,1,0.0,8,2.00,95,1,7,35,10.1,80,29,0,36.2,68
