試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2000-02-27,ユニチカフェニックス,オレンジアタッカーズ,3,2,1,1,,熊前知加子,5,■,■,■,■,■,52,23,2,44.2,40.4,4.60,8,5,1,62.5,1,0.20,19,3,0,7,22.9,0,0,0,-,27,,,,,,,,
2000-02-27,ユニチカフェニックス,オレンジアタッカーズ,3,2,1,2,,木村久美,5,■,■,■,■,■,39,14,0,35.9,35.9,2.80,1,0,0,0.0,3,0.60,20,0,0,5,6.2,17,13,0,76.5,17,,,,,,,,
2000-02-27,ユニチカフェニックス,オレンジアタッカーズ,3,2,1,3,,苧坂一美,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2000-02-27,ユニチカフェニックス,オレンジアタッカーズ,3,2,1,4,,磯辺絵梨子,5,■,■,■,■,■,9,5,0,55.6,55.6,1.00,0,0,0,-,1,0.20,14,0,0,3,5.4,0,0,0,-,6,,,,,,,,
2000-02-27,ユニチカフェニックス,オレンジアタッカーズ,3,2,1,5,,内野由希,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,7,0,2,0,0.0,1,1,0,100.0,0,,,,,,,,
2000-02-27,ユニチカフェニックス,オレンジアタッカーズ,3,2,1,6,,向井久子,5,■,■,■,■,■,44,10,3,22.7,15.9,2.00,2,0,0,0.0,4,0.80,22,2,1,4,11.8,14,8,0,57.1,16,,,,,,,,
2000-02-27,ユニチカフェニックス,オレンジアタッカーズ,3,2,1,7,,上田かおり,5,■,■,■,■,■,15,7,1,46.7,40.0,1.40,0,0,0,-,4,0.80,15,0,0,2,3.3,4,4,0,100.0,11,,,,,,,,
2000-02-27,ユニチカフェニックス,オレンジアタッカーズ,3,2,1,8,,澤井美里,5,■,■,■,■,■,12,6,1,50.0,41.7,1.20,0,0,0,-,3,0.60,13,0,0,4,7.7,0,0,0,-,9,,,,,,,,
2000-02-27,ユニチカフェニックス,オレンジアタッカーズ,3,2,1,10,L,佐野優子,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,56,42,0,75.0,0,,,,,,,,
2000-02-27,ユニチカフェニックス,オレンジアタッカーズ,3,2,1,13,,五十川葉子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2000-02-27,ユニチカフェニックス,オレンジアタッカーズ,3,2,1,14,,中田美和,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2000-02-27,ユニチカフェニックス,オレンジアタッカーズ,3,2,1,15,,芝田安希,4,nan,□,□,□,□,1,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2000-02-27,ユニチカフェニックス,オレンジアタッカーズ,3,2,1,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,172,65,7,37.8,33.7,13.00,11,5,1,45.5,16,3.20,110,5,3,25,9.5,92,68,0,73.9,86,192,79,16,41.1,8,1.60,7.5,72.6
