試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-16,1,,貞包里穂,3,■,■,■,,,19,7,0,0.3684210526315789,0.3684210526315789,2.33,0,0,0,-,2,0.67,20,0,0,3,3.8,18,5,3,36.1
2019-11-16,4,,浅津ゆうこ,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-16,5,,長野有紗,3,■,■,■,,,9,5,0,0.5555555555555556,0.5555555555555556,1.67,0,0,0,-,1,0.33,9,0,0,3,8.3,0,0,0,-
2019-11-16,6,,金杉由香,3,■,■,■,,,47,13,5,0.2765957446808511,0.1702127659574468,4.33,1,0,0,0.0,0,-,7,0,1,2,3.6,28,7,4,32.1
2019-11-16,7,,堀込奈央,3,■,■,■,,,1,1,0,1.0,1.0,0.33,0,0,0,-,0,-,11,1,1,3,13.6,0,0,0,-
2019-11-16,8,,片下恭子,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,1,1,75.0
2019-11-16,9,,吉岡可奈,3,■,■,■,,,10,4,0,0.4,0.4,1.33,0,0,0,-,2,0.67,16,0,0,4,6.2,2,1,1,75.0
2019-11-16,10,,脇田美怜,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-16,11,,マライブナ,3,■,■,■,,,47,23,4,0.48936170212765956,0.40425531914893614,7.67,10,2,2,20.0,1,0.33,6,0,0,2,8.3,0,0,0,-
2019-11-16,13,,田中咲希,1,,,□,,,3,1,0,0.3333333333333333,0.3333333333333333,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-16,14,,高木理江,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-16,18,L,溝口由利香,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,13,6,2,53.8
2019-11-16,20,,安田睦実,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-
2019-11-16,34,,川野綾子,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2019-11-16,チーム合計,チーム合計,チーム合計,3,,,,,,136,54,9,0.39705882352941174,0.33088235294117646,18.00,11,2,2,18.2,6,2.00,73,1,2,18,6.8,63,20,11,40.5
