試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2020-12-04,ヴィクトリーナ姫路,1,,貞包里穂,3,■,■,■,nan,nan,37,12,3,32.4,24.3,4.00,6,1,3,16.7,0,-,15,2,1,5,20.0,14,2,4,28.6,,,,,,,,
2020-12-04,ヴィクトリーナ姫路,2,,櫻井美樹,3,■,■,■,nan,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,,,,,,,,
2020-12-04,ヴィクトリーナ姫路,4,L,花井萌里,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,7,2,66.7,,,,,,,,
2020-12-04,ヴィクトリーナ姫路,5,,長野有紗,3,■,■,■,nan,nan,12,4,1,33.3,25.0,1.33,0,0,0,-,2,0.67,10,0,2,3,2.5,0,0,0,-,,,,,,,,
2020-12-04,ヴィクトリーナ姫路,6,,金杉由香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-12-04,ヴィクトリーナ姫路,7,,堀込奈央,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,0,0,0.0,0,0,0,-,,,,,,,,
2020-12-04,ヴィクトリーナ姫路,8,,宮地佳乃,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-12-04,ヴィクトリーナ姫路,9,,吉岡可奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-12-04,ヴィクトリーナ姫路,11,,荒谷栞,3,■,■,■,nan,nan,10,3,1,30.0,20.0,1.00,0,0,0,-,3,1.00,10,0,0,5,12.5,0,0,0,-,,,,,,,,
2020-12-04,ヴィクトリーナ姫路,12,,孫田菜奈,1,nan,□,nan,nan,nan,3,1,1,33.3,0.0,1.00,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2020-12-04,ヴィクトリーナ姫路,13,,田中咲希,3,□,■,■,nan,nan,25,11,1,44.0,40.0,3.67,0,0,0,-,1,0.33,8,0,0,3,9.4,13,7,3,65.4,,,,,,,,
2020-12-04,ヴィクトリーナ姫路,14,,佐々木千紘,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,,,,,,,,
2020-12-04,ヴィクトリーナ姫路,15,,松本愛希穂,3,■,■,■,nan,nan,30,12,3,40.0,30.0,4.00,2,0,1,0.0,1,0.33,11,0,2,3,2.3,28,12,9,58.9,,,,,,,,
2020-12-04,ヴィクトリーナ姫路,20,,マルティニュークアリョーナ,2,■,nan,□,nan,nan,6,1,0,16.7,16.7,0.50,1,0,0,0.0,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2020-12-04,ヴィクトリーナ姫路,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,124,45,10,36.3,28.2,15.00,9,1,4,11.1,7,2.33,67,2,5,21,9.0,67,28,18,55.2,116,49,3,42.2,8,2.67,6.9,53.2
