試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2021-01-17,ヴィクトリーナ姫路,JTマーヴェラス,1,3,0,1,,貞包里穂,3,nan,■,■,■,nan,28,14,1,50.0,46.4,4.67,1,1,0,100.0,0,-,11,0,0,2,4.5,14,5,0,35.7,14,,,,,,,,
2021-01-17,ヴィクトリーナ姫路,JTマーヴェラス,1,3,0,2,,櫻井美樹,4,■,■,■,■,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,13,0,0,2,3.8,0,0,0,-,0,,,,,,,,
2021-01-17,ヴィクトリーナ姫路,JTマーヴェラス,1,3,0,4,L,花井萌里,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,8,1,70.8,0,,,,,,,,
2021-01-17,ヴィクトリーナ姫路,JTマーヴェラス,1,3,0,5,,長野有紗,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2021-01-17,ヴィクトリーナ姫路,JTマーヴェラス,1,3,0,6,,金杉由香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2021-01-17,ヴィクトリーナ姫路,JTマーヴェラス,1,3,0,7,,堀込奈央,3,nan,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-,0,,,,,,,,
2021-01-17,ヴィクトリーナ姫路,JTマーヴェラス,1,3,0,8,,宮地佳乃,1,□,nan,nan,nan,nan,5,1,0,20.0,20.0,1.00,1,0,0,0.0,0,-,1,0,0,1,25.0,0,0,0,-,1,,,,,,,,
2021-01-17,ヴィクトリーナ姫路,JTマーヴェラス,1,3,0,11,,荒谷栞,4,■,■,■,■,nan,17,4,1,23.5,17.6,1.00,0,0,0,-,2,0.50,13,0,1,3,3.8,1,0,1,50.0,6,,,,,,,,
2021-01-17,ヴィクトリーナ姫路,JTマーヴェラス,1,3,0,12,,孫田菜奈,2,□,□,nan,nan,nan,6,1,0,16.7,16.7,0.50,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-,1,,,,,,,,
2021-01-17,ヴィクトリーナ姫路,JTマーヴェラス,1,3,0,13,,田中咲希,3,■,nan,□,□,nan,14,7,1,50.0,42.9,2.33,0,0,0,-,0,-,1,0,0,1,25.0,5,2,1,50.0,7,,,,,,,,
2021-01-17,ヴィクトリーナ姫路,JTマーヴェラス,1,3,0,14,,佐々木千紘,4,■,■,■,■,nan,19,12,1,63.2,57.9,3.00,0,0,0,-,0,-,11,0,1,2,2.3,0,0,0,-,12,,,,,,,,
2021-01-17,ヴィクトリーナ姫路,JTマーヴェラス,1,3,0,15,,松本愛希穂,4,■,■,■,■,nan,23,9,1,39.1,34.8,2.25,0,0,0,-,0,-,15,1,1,0,5.0,49,30,8,69.4,10,,,,,,,,
2021-01-17,ヴィクトリーナ姫路,JTマーヴェラス,1,3,0,18,,溝口由利香,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,4,2,2,75.0,0,,,,,,,,
2021-01-17,ヴィクトリーナ姫路,JTマーヴェラス,1,3,0,20,,マルティニュークアリョーナ,4,■,■,■,■,nan,37,12,1,32.4,29.7,3.00,6,2,0,33.3,3,0.75,9,0,0,0,0.0,0,0,0,-,15,,,,,,,,
2021-01-17,ヴィクトリーナ姫路,JTマーヴェラス,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,150,60,6,40.0,36.0,15.00,8,3,0,37.5,5,1.25,78,1,4,11,3.5,85,47,13,62.9,66,138,72,2,52.2,6,1.50,9.5,69.9
