試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2020-11-14,久光スプリングス,KUROBEアクアフェアリーズ,2,3,0,1,,長岡望悠,5,■,■,■,■,■,48,26,0,54.2,54.2,5.20,8,4,0,50.0,2,0.40,16,0,2,1,-1.6,0,0,0,-,28
2020-11-14,久光スプリングス,KUROBEアクアフェアリーズ,2,3,0,2,,井上美咲,5,■,■,■,■,■,3,2,0,66.7,66.7,0.40,0,0,0,-,1,0.20,19,3,1,10,27.6,0,0,0,-,6
2020-11-14,久光スプリングス,KUROBEアクアフェアリーズ,2,3,0,4,,岩坂名奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-11-14,久光スプリングス,KUROBEアクアフェアリーズ,2,3,0,5,,井上愛里沙,1,■,nan,nan,nan,nan,8,1,1,12.5,0.0,1.00,0,0,0,-,0,-,3,0,0,1,8.3,7,0,0,0.0,1
2020-11-14,久光スプリングス,KUROBEアクアフェアリーズ,2,3,0,6,,石井優希,5,■,■,■,■,■,53,19,6,35.8,24.5,3.80,4,0,1,0.0,2,0.40,14,0,0,3,5.4,45,25,6,62.2,21
2020-11-14,久光スプリングス,KUROBEアクアフェアリーズ,2,3,0,7,,加藤光,5,□,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,10,0,0,3,7.5,0,0,0,-,0
2020-11-14,久光スプリングス,KUROBEアクアフェアリーズ,2,3,0,8,,野本梨佳,5,□,■,■,■,■,44,10,2,22.7,18.2,2.00,4,0,0,0.0,0,-,14,0,1,3,3.6,17,5,2,35.3,10
2020-11-14,久光スプリングス,KUROBEアクアフェアリーズ,2,3,0,10,,座安琴希,4,nan,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,4,3,1,87.5,0
2020-11-14,久光スプリングス,KUROBEアクアフェアリーズ,2,3,0,12,,今村優香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-11-14,久光スプリングス,KUROBEアクアフェアリーズ,2,3,0,14,,中川美柚,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-11-14,久光スプリングス,KUROBEアクアフェアリーズ,2,3,0,16,,アキンラデウォフォルケ,5,■,■,■,■,■,15,5,1,33.3,26.7,1.00,0,0,0,-,3,0.60,18,4,3,5,25.0,1,0,0,0.0,12
2020-11-14,久光スプリングス,KUROBEアクアフェアリーズ,2,3,0,17,,濱松明日香,5,■,■,■,■,■,18,8,3,44.4,27.8,1.60,0,0,0,-,0,-,13,0,0,3,5.8,0,0,0,-,8
2020-11-14,久光スプリングス,KUROBEアクアフェアリーズ,2,3,0,18,L,戸江真奈,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,25,12,7,62.0,0
2020-11-14,久光スプリングス,KUROBEアクアフェアリーズ,2,3,0,24,,小島絢野,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-11-14,久光スプリングス,KUROBEアクアフェアリーズ,2,3,0,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,189,71,13,37.6,30.7,14.20,16,4,1,25.0,8,1.60,108,7,7,29,11.6,99,45,16,53.5,86
