試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2002-01-27,久光製薬スプリングス,JTマーヴェラス,2,,池上亜紀,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-,0
2002-01-27,久光製薬スプリングス,JTマーヴェラス,3,,橋本由紀子,3,■,■,■,nan,nan,17,6,1,35.3,29.4,2.00,0,0,0,-,1,0.33,21,0,0,3,3.6,8,8,0,100.0,7
2002-01-27,久光製薬スプリングス,JTマーヴェラス,4,,先野久美子,3,■,■,■,nan,nan,19,11,2,57.9,47.4,3.67,0,0,0,-,6,2.00,8,0,0,2,6.2,0,0,0,-,17
2002-01-27,久光製薬スプリングス,JTマーヴェラス,5,,関井陽子,3,■,■,■,nan,nan,29,12,2,41.4,34.5,4.00,3,1,0,33.3,0,-,11,1,1,3,14.1,13,11,0,84.6,13
2002-01-27,久光製薬スプリングス,JTマーヴェラス,6,,村川裕子,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,1,0,0.0,0,0,0,-,0
2002-01-27,久光製薬スプリングス,JTマーヴェラス,7,,江口理代,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-01-27,久光製薬スプリングス,JTマーヴェラス,8,,大村加奈子,3,■,■,■,nan,nan,28,13,1,46.4,42.9,4.33,1,0,0,0.0,5,1.67,13,1,1,3,11.9,1,1,0,100.0,19
2002-01-27,久光製薬スプリングス,JTマーヴェラス,9,L,高橋幸子,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,13,0,81.2,0
2002-01-27,久光製薬スプリングス,JTマーヴェラス,10,,鶴田桂子,3,■,■,■,nan,nan,3,1,0,33.3,33.3,0.33,0,0,0,-,1,0.33,9,0,0,2,5.6,0,0,0,-,2
2002-01-27,久光製薬スプリングス,JTマーヴェラス,11,,満永ひとみ,3,■,■,■,nan,nan,8,5,1,62.5,50.0,1.67,1,1,0,100.0,2,0.67,8,0,2,3,9.4,15,13,0,86.7,7
2002-01-27,久光製薬スプリングス,JTマーヴェラス,12,,北島真紀子,1,nan,nan,□,nan,nan,1,1,0,100.0,100.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,1
2002-01-27,久光製薬スプリングス,JTマーヴェラス,14,,落合真理,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-01-27,久光製薬スプリングス,JTマーヴェラス,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,105,49,7,46.7,40.0,16.33,5,2,0,40.0,15,5.00,73,2,6,16,7.7,53,46,0,86.8,66
