試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2007-02-17,久光製薬スプリングス,日立リヴァーレ,3,1,1,2,,成田郁久美,4,■,■,■,■,nan,15,5,2,33.3,20.0,1.25,0,0,0,-,3,0.75,21,0,2,7,8.3,39,30,0,76.9,8
2007-02-17,久光製薬スプリングス,日立リヴァーレ,3,1,1,3,,落合真理,4,■,■,■,■,nan,35,10,0,28.6,28.6,2.50,3,0,0,0.0,2,0.50,10,0,1,3,7.5,17,11,0,64.7,12
2007-02-17,久光製薬スプリングス,日立リヴァーレ,3,1,1,4,,先野久美子,4,■,■,■,■,nan,18,8,1,44.4,38.9,2.00,0,0,0,-,1,0.25,10,0,0,1,2.5,3,3,0,100.0,9
2007-02-17,久光製薬スプリングス,日立リヴァーレ,3,1,1,5,,小山修加,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2007-02-17,久光製薬スプリングス,日立リヴァーレ,3,1,1,7,,狩野美雪,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2007-02-17,久光製薬スプリングス,日立リヴァーレ,3,1,1,8,,大村加奈子,4,■,■,■,■,nan,31,10,0,32.3,32.3,2.50,0,0,0,-,4,1.00,10,0,1,3,7.5,0,0,0,-,14
2007-02-17,久光製薬スプリングス,日立リヴァーレ,3,1,1,10,L,佐野優子,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,31,28,0,90.3,0
2007-02-17,久光製薬スプリングス,日立リヴァーレ,3,1,1,11,,フォフィーニャアナパウラ,4,■,■,■,■,nan,77,34,4,44.2,39.0,8.50,18,4,2,22.2,3,0.75,18,0,2,6,8.3,0,0,0,-,37
2007-02-17,久光製薬スプリングス,日立リヴァーレ,3,1,1,12,,渡辺真由美,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,8,0,0,3,9.4,0,0,0,-,0
2007-02-17,久光製薬スプリングス,日立リヴァーレ,3,1,1,13,,三上彩,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2007-02-17,久光製薬スプリングス,日立リヴァーレ,3,1,1,15,,徳川恵理,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,9,0,0,2,5.6,0,0,0,-,0
2007-02-17,久光製薬スプリングス,日立リヴァーレ,3,1,1,17,,橋本直子,4,■,■,■,■,nan,4,2,0,50.0,50.0,0.50,0,0,0,-,1,0.25,11,0,3,1,2.3,0,0,0,-,3
2007-02-17,久光製薬スプリングス,日立リヴァーレ,3,1,1,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,180,69,7,38.3,34.4,17.25,21,4,2,19.0,14,3.50,98,0,9,26,6.6,90,72,0,80.0,83
