試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2008-02-02,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,1,,仁木希,3,■,■,■,nan,nan,19,9,1,47.4,42.1,3.00,0,0,0,-,0,-,11,0,0,3,6.8,19,13,0,68.4,9,,,,,,,,
2008-02-02,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,2,,榛澤舞子,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0,,,,,,,,
2008-02-02,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,4,,先野久美子,3,■,■,■,nan,nan,17,8,2,47.1,35.3,2.67,0,0,0,-,2,0.67,10,1,0,2,15.0,0,0,0,-,11,,,,,,,,
2008-02-02,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,7,,狩野美雪,3,■,■,■,nan,nan,25,11,2,44.0,36.0,3.67,1,0,0,0.0,1,0.33,17,3,0,5,22.6,26,22,0,84.6,15,,,,,,,,
2008-02-02,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,8,,大村加奈子,3,■,■,■,nan,nan,10,4,0,40.0,40.0,1.33,0,0,0,-,8,2.67,6,1,1,3,25.8,0,0,0,-,13,,,,,,,,
2008-02-02,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,9,,平井香菜子,3,□,□,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2008-02-02,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,10,L,佐野優子,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,13,13,0,100.0,0,,,,,,,,
2008-02-02,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,11,,パブロワイエレナ,3,■,■,■,nan,nan,43,15,1,34.9,32.6,5.00,7,2,1,28.6,3,1.00,11,0,4,3,6.8,1,0,0,0.0,18,,,,,,,,
2008-02-02,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,13,,三上彩,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2008-02-02,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,17,,橋本直子,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,13,0,0,7,13.5,0,0,0,-,0,,,,,,,,
2008-02-02,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,18,,筒井視穂子,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,0,,,,,,,,
2008-02-02,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,20,,狩野舞子,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,2,25.0,0,0,0,-,0,,,,,,,,
2008-02-02,久光製薬スプリングス,デンソーエアリービーズ,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,115,47,6,40.9,35.7,15.67,8,2,1,25.0,14,4.67,74,5,5,26,14.7,59,48,0,81.4,66,97,35,6,36.1,12,4.00,5.5,56.7
