試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2020-01-12,久光製薬スプリングス,JTマーヴェラス,2,,クラウジノファビアナ,4,■,■,■,■,nan,18,9,2,50.0,38.9,2.25,1,0,0,0.0,4,1.00,9,0,0,2,5.6,0,0,0,-,13
2020-01-12,久光製薬スプリングス,JTマーヴェラス,3,,新鍋理沙,4,■,■,■,■,nan,29,9,2,31.0,24.1,2.25,1,0,1,0.0,0,-,16,1,2,7,14.1,5,4,1,90.0,10
2020-01-12,久光製薬スプリングス,JTマーヴェラス,4,,岩坂名奈,4,■,■,■,■,nan,10,5,0,50.0,50.0,1.25,0,0,0,-,2,0.50,9,0,1,0,-2.8,0,0,0,-,7
2020-01-12,久光製薬スプリングス,JTマーヴェラス,5,,井上愛里沙,4,■,■,■,■,nan,49,14,1,28.6,26.5,3.50,2,1,0,50.0,1,0.25,8,0,1,3,6.2,16,5,2,37.5,15
2020-01-12,久光製薬スプリングス,JTマーヴェラス,6,,石井優希,4,■,■,■,■,nan,31,6,3,19.4,9.7,1.50,4,0,0,0.0,0,-,13,0,0,5,9.6,29,13,4,51.7,6
2020-01-12,久光製薬スプリングス,JTマーヴェラス,7,,加藤光,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,0,1,5.0,0,0,0,-,0
2020-01-12,久光製薬スプリングス,JTマーヴェラス,8,,野本梨佳,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-01-12,久光製薬スプリングス,JTマーヴェラス,10,,座安琴希,2,□,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-01-12,久光製薬スプリングス,JTマーヴェラス,11,,栄絵里香,2,nan,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-01-12,久光製薬スプリングス,JTマーヴェラス,13,,帯川きよら,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-01-12,久光製薬スプリングス,JTマーヴェラス,14,,中川美柚,2,nan,nan,□,□,nan,4,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-01-12,久光製薬スプリングス,JTマーヴェラス,18,L,戸江真奈,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,28,13,2,50.0,0
2020-01-12,久光製薬スプリングス,JTマーヴェラス,19,,平山詩嫣,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-01-12,久光製薬スプリングス,JTマーヴェラス,24,,小島絢野,4,■,■,■,■,nan,1,1,0,100.0,100.0,0.25,0,0,0,-,1,0.25,11,0,0,2,4.5,0,0,0,-,2
2020-01-12,久光製薬スプリングス,JTマーヴェラス,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,142,44,8,31.0,25.4,11.00,8,1,1,12.5,8,2.00,71,1,4,20,7.0,78,35,9,50.6,53
