試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-12-28,2,,クラウジノファビアナ,5,■,■,■,■,■,33,15,1,0.45454545454545453,0.42424242424242425,3.00,0,0,0,-,5,1.00,9,0,0,2,5.6,0,0,0,-
2019-12-28,3,,新鍋理沙,5,■,■,■,■,■,32,7,2,0.21875,0.15625,1.40,1,0,0,0.0,1,0.20,23,0,0,6,6.5,17,11,6,82.4
2019-12-28,4,,岩坂名奈,5,■,■,■,■,■,18,7,0,0.3888888888888889,0.3888888888888889,1.40,0,0,0,-,2,0.40,12,0,0,3,6.2,0,0,0,-
2019-12-28,5,,井上愛里沙,5,■,■,■,■,■,68,22,3,0.3235294117647059,0.27941176470588236,4.40,5,3,1,60.0,1,0.20,15,0,0,4,6.7,12,8,1,70.8
2019-12-28,6,,石井優希,5,■,■,■,■,■,65,19,4,0.2923076923076923,0.23076923076923078,3.80,9,3,3,33.3,3,0.60,16,1,1,4,10.9,40,28,5,76.2
2019-12-28,7,,加藤光,5,□,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,11,1,0,3,15.9,0,0,0,-
2019-12-28,8,,野本梨佳,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-28,10,,座安琴希,4,□,□,□,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,5,5,0,100.0
2019-12-28,11,,栄絵里香,1,■,,,,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-
2019-12-28,13,,帯川きよら,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-28,14,,中川美柚,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-28,18,L,戸江真奈,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,29,18,5,70.7
2019-12-28,19,,平山詩嫣,2,□,,,□,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
2019-12-28,24,,小島絢野,4,,■,■,■,■,1,0,0,0.0,0.0,-,0,0,0,-,0,-,13,0,1,2,1.9,0,0,0,-
2019-12-28,チーム合計,チーム合計,チーム合計,5,,,,,,217,70,10,0.3225806451612903,0.2764976958525346,14.00,15,6,4,40.0,12,2.40,104,2,2,25,7.5,103,70,17,76.2
