試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-10-19,6,,石井優希,3,■,■,■,,,27,12,2,0.4444444444444444,0.3703703703703704,4.00,4,1,0,25.0,1,0.33,13,0,0,6,11.5,21,12,5,69.0
2019-10-20,6,,石井優希,3,■,■,■,,,20,10,0,0.5,0.5,3.33,1,0,0,0.0,1,0.33,11,1,2,3,11.4,8,4,3,68.8
2019-10-26,6,,石井優希,3,■,■,■,,,28,4,2,0.14285714285714285,0.07142857142857142,1.33,3,0,0,0.0,0,-,12,1,0,2,12.5,24,14,7,72.9
2019-11-02,6,,石井優希,5,■,■,■,■,■,64,24,2,0.375,0.34375,4.80,3,0,0,0.0,1,0.20,20,0,0,7,8.8,26,5,6,30.8
2019-11-03,6,,石井優希,2,,■,■,,,32,11,1,0.34375,0.3125,5.50,2,1,0,50.0,2,1.00,6,0,0,4,16.7,14,3,4,35.7
2019-11-09,6,,石井優希,3,■,■,■,,,37,10,1,0.2702702702702703,0.2432432432432433,3.33,6,0,0,0.0,1,0.33,14,0,0,6,10.7,16,11,3,78.1
2019-11-10,6,,石井優希,3,■,■,■,,,33,11,1,0.3333333333333333,0.30303030303030304,3.67,0,0,0,-,1,0.33,3,0,0,2,16.7,5,3,2,80.0
2019-11-16,6,,石井優希,3,■,■,■,,,32,8,2,0.25,0.1875,2.67,3,0,0,0.0,1,0.33,14,1,1,9,21.4,22,10,6,59.1
2019-11-23,6,,石井優希,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-24,6,,石井優希,2,,,□,□,,17,5,2,0.29411764705882354,0.17647058823529413,2.50,2,0,0,0.0,0,-,4,0,0,0,0.0,3,3,0,100.0
2019-11-30,6,,石井優希,2,,,□,■,,24,11,2,0.4583333333333333,0.375,5.50,1,0,1,0.0,1,0.50,9,0,0,5,13.9,10,7,1,75.0
2019-12-01,6,,石井優希,3,■,■,■,,,27,10,1,0.3703703703703704,0.3333333333333333,3.33,2,0,0,0.0,0,-,10,0,2,3,2.5,16,11,1,71.9
2019-12-07,6,,石井優希,2,,,□,■,,23,6,1,0.2608695652173913,0.21739130434782608,3.00,2,2,0,100.0,2,1.00,5,0,0,1,5.0,4,3,1,87.5
2019-12-08,6,,石井優希,3,■,■,■,,,39,16,1,0.41025641025641024,0.38461538461538464,5.33,3,2,0,66.7,0,-,12,1,1,5,16.7,12,6,3,62.5
2019-12-14,6,,石井優希,5,■,■,■,■,■,67,23,2,0.34328358208955223,0.31343283582089554,4.60,6,3,0,50.0,1,0.20,13,0,1,4,5.8,47,26,7,62.8
2019-12-15,6,,石井優希,3,■,■,■,,,34,6,2,0.17647058823529413,0.1176470588235294,2.00,3,1,0,33.3,2,0.67,7,0,0,1,3.6,3,3,0,100.0
2019-12-21,6,,石井優希,3,■,■,■,,,36,12,4,0.3333333333333333,0.2222222222222222,4.00,4,2,1,50.0,0,-,14,1,1,6,16.1,22,14,4,72.7
2019-12-28,6,,石井優希,5,■,■,■,■,■,65,19,4,0.2923076923076923,0.2307692307692308,3.80,9,3,3,33.3,3,0.60,16,1,1,4,10.9,40,28,5,76.2
2019-12-29,6,,石井優希,3,■,■,■,,,26,10,0,0.38461538461538464,0.38461538461538464,3.33,2,2,0,100.0,2,0.67,14,1,1,3,10.7,16,11,1,71.9
2020-01-04,6,,石井優希,4,■,■,■,■,,47,7,5,0.14893617021276595,0.0425531914893617,1.75,1,0,0,0.0,2,0.50,14,1,2,2,7.1,22,5,8,40.9
2020-01-05,6,,石井優希,3,■,■,■,,,22,5,2,0.2272727272727273,0.13636363636363635,1.67,2,0,0,0.0,0,-,7,0,0,2,7.1,10,6,2,70.0
