試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2015-01-18,埼玉上尾メディックス,岡山シーガルズ,3,1,1,1,,土田望未,4,■,■,■,■,nan,2,1,0,50.0,50.0,0.25,0,0,0,-,0,-,19,1,1,9,16.1,0,0,0,-,2,,,,,,,,
2015-01-18,埼玉上尾メディックス,岡山シーガルズ,3,1,1,2,,東谷幸子,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-,0,,,,,,,,
2015-01-18,埼玉上尾メディックス,岡山シーガルズ,3,1,1,4,,近藤志歩,4,■,■,■,■,nan,36,12,1,33.3,30.6,3.00,1,1,0,100.0,2,0.50,13,0,0,6,11.5,38,24,0,63.2,14,,,,,,,,
2015-01-18,埼玉上尾メディックス,岡山シーガルズ,3,1,1,5,L,竹田江里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2015-01-18,埼玉上尾メディックス,岡山シーガルズ,3,1,1,7,L,山岸あかね,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,26,19,0,73.1,0,,,,,,,,
2015-01-18,埼玉上尾メディックス,岡山シーガルズ,3,1,1,9,,三浦茉実,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,0,,,,,,,,
2015-01-18,埼玉上尾メディックス,岡山シーガルズ,3,1,1,11,,青柳京古,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2015-01-18,埼玉上尾メディックス,岡山シーガルズ,3,1,1,12,,荒木絵里香,4,■,■,■,■,nan,31,16,0,51.6,51.6,4.00,0,0,0,-,6,1.50,13,1,0,5,17.3,0,0,0,-,23,,,,,,,,
2015-01-18,埼玉上尾メディックス,岡山シーガルズ,3,1,1,15,,マーフィーケリー,4,■,■,■,■,nan,67,23,4,34.3,28.4,5.75,13,0,0,0.0,1,0.25,19,0,1,8,10.5,0,0,0,-,24,,,,,,,,
2015-01-18,埼玉上尾メディックス,岡山シーガルズ,3,1,1,17,,小笹奈津子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2015-01-18,埼玉上尾メディックス,岡山シーガルズ,3,1,1,19,,荒木夕貴,4,■,■,■,■,nan,46,14,3,30.4,23.9,3.50,2,0,0,0.0,1,0.25,19,0,0,9,11.8,14,10,0,71.4,15,,,,,,,,
2015-01-18,埼玉上尾メディックス,岡山シーガルズ,3,1,1,20,,丸山裕子,4,■,■,■,■,nan,22,6,1,27.3,22.7,1.50,1,0,0,0.0,4,1.00,10,0,0,6,15.0,0,0,0,-,10,,,,,,,,
2015-01-18,埼玉上尾メディックス,岡山シーガルズ,3,1,1,23,,大室璃紗,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,2,0,66.7,0,,,,,,,,
2015-01-18,埼玉上尾メディックス,岡山シーガルズ,3,1,1,24,,冨永こよみ,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2015-01-18,埼玉上尾メディックス,岡山シーガルズ,3,1,1,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,204,72,9,35.3,30.9,18.00,17,1,0,5.9,14,3.50,100,2,2,44,12.8,81,55,0,67.9,88,224,63,2,28.1,7,1.75,8.3,53.1
