試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2018-01-07,埼玉上尾メディックス,JTマーヴェラス,2,,冨永こよみ,5,■,■,■,■,■,4,4,0,100.0,100.0,0.80,0,0,0,-,0,-,21,1,1,6,10.7,1,0,0,0.0,5
2018-01-07,埼玉上尾メディックス,JTマーヴェラス,7,L,山岸あかね,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,22,4,11,43.2,0
2018-01-07,埼玉上尾メディックス,JTマーヴェラス,8,,松本亜弥華,5,■,■,■,■,■,9,1,1,11.1,0.0,0.20,0,0,0,-,1,0.20,11,0,3,1,-4.5,0,0,0,-,2
2018-01-07,埼玉上尾メディックス,JTマーヴェラス,9,,三浦茉実,4,□,□,□,nan,□,2,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-01-07,埼玉上尾メディックス,JTマーヴェラス,11,,青柳京古,3,nan,□,nan,□,■,8,3,0,37.5,37.5,1.00,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,3
2018-01-07,埼玉上尾メディックス,JTマーヴェラス,13,,井上美咲,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-01-07,埼玉上尾メディックス,JTマーヴェラス,14,,カルカセスケニア,5,■,■,■,■,■,87,37,8,42.5,33.3,7.40,25,9,1,36.0,3,0.60,13,1,1,3,11.5,1,0,0,0.0,41
2018-01-07,埼玉上尾メディックス,JTマーヴェラス,17,,小笹奈津子,5,■,■,■,■,■,3,0,1,0.0,-33.3,-,0,0,0,-,0,-,13,0,0,4,7.7,32,11,10,50.0,0
2018-01-07,埼玉上尾メディックス,JTマーヴェラス,18,,辺野喜未来,1,nan,nan,nan,□,nan,2,1,0,50.0,50.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,1
2018-01-07,埼玉上尾メディックス,JTマーヴェラス,19,,荒木夕貴,5,■,■,■,■,■,29,11,4,37.9,24.1,2.20,0,0,0,-,0,-,17,0,0,3,4.4,30,5,9,31.7,11
2018-01-07,埼玉上尾メディックス,JTマーヴェラス,20,,丸山裕子,5,■,■,■,■,□,21,8,1,38.1,33.3,1.60,0,0,0,-,3,0.60,11,0,1,4,6.8,0,0,0,-,11
2018-01-07,埼玉上尾メディックス,JTマーヴェラス,23,L,大室璃紗,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-01-07,埼玉上尾メディックス,JTマーヴェラス,24,,山口珠李,3,nan,nan,□,□,□,7,2,0,28.6,28.6,0.67,0,0,0,-,0,-,7,0,0,5,17.9,10,2,2,30.0,2
2018-01-07,埼玉上尾メディックス,JTマーヴェラス,26,,堀江美志,2,□,□,nan,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0
2018-01-07,埼玉上尾メディックス,JTマーヴェラス,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,173,67,15,38.7,30.1,13.40,25,9,1,36.0,7,1.40,98,2,6,28,7.7,96,22,32,39.6,76
