試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-09,埼玉上尾メディックス,2,,冨永こよみ,4,■,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,6,1,2,2,16.7,0,0,0,-
2019-11-09,埼玉上尾メディックス,3,,サンティアゴアライジャダフニ,4,■,■,■,■,nan,19,8,0,0.42105263157894735,0.42105263157894735,2.00,0,0,0,-,1,0.25,13,1,3,0,1.9,0,0,0,-
2019-11-09,埼玉上尾メディックス,4,,堀江美志,3,■,nan,□,■,nan,15,4,0,0.26666666666666666,0.26666666666666666,1.33,1,0,0,0.0,0,-,4,1,1,0,18.8,16,3,4,31.2
2019-11-09,埼玉上尾メディックス,6,,山口珠李,3,□,□,nan,□,nan,5,2,0,0.4,0.4,0.67,1,0,0,0.0,0,-,1,0,0,1,25.0,0,0,0,-
2019-11-09,埼玉上尾メディックス,7,L,山岸あかね,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,5,4,50.0
2019-11-09,埼玉上尾メディックス,8,,吉野優理,4,■,■,■,■,nan,35,14,5,0.4,0.2571428571428571,3.50,2,0,1,0.0,2,0.50,11,0,1,2,2.3,29,4,11,32.8
2019-11-09,埼玉上尾メディックス,9,,三浦茉実,3,□,■,■,nan,nan,4,0,0,0.0,0.0,-,0,0,0,-,1,0.33,7,0,0,3,10.7,0,0,0,-
2019-11-09,埼玉上尾メディックス,10,,佐藤優花,4,□,■,■,□,nan,23,4,1,0.17391304347826086,0.13043478260869565,1.00,5,1,1,20.0,0,-,11,1,2,0,4.5,22,1,6,18.2
2019-11-09,埼玉上尾メディックス,11,,青柳京古,3,■,nan,□,■,nan,4,1,0,0.25,0.25,0.33,0,0,0,-,0,-,6,0,1,2,4.2,1,0,0,0.0
2019-11-09,埼玉上尾メディックス,13,,井上美咲,4,□,■,■,■,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,10,0,2,1,-2.5,0,0,0,-
2019-11-09,埼玉上尾メディックス,14,,椎名真子,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-09,埼玉上尾メディックス,15,,若松歩実,1,□,nan,nan,nan,nan,5,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,1,0,-25.0,3,1,0,33.3
2019-11-09,埼玉上尾メディックス,17,,シュシュニャルカタリナ,4,■,■,■,■,nan,43,24,2,0.5581395348837209,0.5116279069767442,6.00,14,10,1,71.4,0,-,18,2,0,4,16.7,1,0,1,50.0
2019-11-09,埼玉上尾メディックス,23,,大室璃紗,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,0,0,0.0
2019-11-09,埼玉上尾メディックス,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,154,57,8,0.37012987012987014,0.3181818181818182,14.25,23,11,3,47.8,4,1.00,88,6,13,15,7.4,87,14,26,31.0
