大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,埼玉上尾メディックス,23,56,1,0,0,0.0,0,0,0,-,-,0,-,9,0,0,3,0,-8.3,65,30,20,61.5,0,0,0,0
スターカンファレンス,埼玉上尾メディックス,13,23,1,0,0,0.0,0,0,0,-,-,0,-,1,0,0,0,0,0.0,21,6,9,50.0,0,0,0,0
交流戦,埼玉上尾メディックス,5,16,0,0,0,-,0,0,0,-,-,0,-,5,0,0,2,0,-10.0,20,10,6,65.0,0,0,0,0
ファイナル８・Ａグループ,埼玉上尾メディックス,3,11,0,0,0,-,0,0,0,-,-,0,-,3,0,0,1,0,-8.3,13,9,1,73.1,0,0,0,0
セミファイナル②,埼玉上尾メディックス,1,3,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,4,2,2,75.0,0,0,0,0
３位決定戦,埼玉上尾メディックス,1,3,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,7,3,2,57.1,0,0,0,0
V.LEAGUE DIVISION1 WOMEN 2018-19,埼玉上尾メディックス,21,34,0,0,0,-,0,0,0,-,-,0,-,4,0,0,0,1,6.2,56,27,10,57.1,0,0,0,0
Eastern Conference,埼玉上尾メディックス,8,10,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,9,4,2,55.6,0,0,0,0
交流戦,埼玉上尾メディックス,6,5,0,0,0,-,0,0,0,-,-,0,-,3,0,0,0,1,8.3,4,2,0,50.0,0,0,0,0
ファイナル８,埼玉上尾メディックス,7,19,0,0,0,-,0,0,0,-,-,0,-,1,0,0,0,0,0.0,43,21,8,58.1,0,0,0,0
Ｖ・プレミアリーグ女子 2017/18,埼玉上尾メディックス,21,38,0,0,0,-,0,0,0,-,-,0,-,1,0,0,0,1,25.0,36,10,13,45.8,0,0,0,0
レギュラーラウンド,埼玉上尾メディックス,21,38,0,0,0,-,0,0,0,-,-,0,-,1,0,0,0,1,25.0,36,10,13,45.8,0,0,0,0
Ｖ・チャレンジリーグⅠ女子 2016/17,埼玉上尾メディックス,21,50,0,0,0,-,0,0,0,-,-,0,-,75,1,1,6,24,10.4,52,35,0,67.3,0,0,2,2
レギュラーラウンド,埼玉上尾メディックス,21,50,0,0,0,-,0,0,0,-,-,0,-,75,1,1,6,24,10.4,52,35,0,67.3,0,0,2,2
チャレンジマッチ女子2016/17,埼玉上尾メディックス,2,4,0,0,0,-,0,0,0,-,-,0,-,5,0,0,2,1,5.0,3,2,0,66.7,0,0,0,0
チャレンジマッチ,埼玉上尾メディックス,2,4,0,0,0,-,0,0,0,-,-,0,-,5,0,0,2,1,5.0,3,2,0,66.7,0,0,0,0
Ｖ・プレミアリーグ女子 2015/16,埼玉上尾メディックス,21,20,0,0,0,-,0,0,0,-,-,0,-,5,0,0,0,2,10.0,42,17,0,40.5,0,0,0,0
レギュラーラウンド,埼玉上尾メディックス,21,20,0,0,0,-,0,0,0,-,-,0,-,5,0,0,0,2,10.0,42,17,0,40.5,0,0,0,0
チャレンジマッチ女子2015/16,埼玉上尾メディックス,2,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
チャレンジマッチ,埼玉上尾メディックス,2,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ女子 2014/15,埼玉上尾メディックス,14,8,0,0,0,-,0,0,0,-,-,0,-,6,1,0,1,0,16.7,26,18,0,69.2,0,0,1,1
レギュラーラウンド,埼玉上尾メディックス,10,8,0,0,0,-,0,0,0,-,-,0,-,6,1,0,1,0,16.7,26,18,0,69.2,0,0,1,1
ファイナル６,埼玉上尾メディックス,4,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・チャレンジリーグ女子 2013/14,埼玉上尾メディックス,2,1,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,埼玉上尾メディックス,2,1,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
チャレンジマッチ女子2013/14,埼玉上尾メディックス,2,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
チャレンジマッチ,埼玉上尾メディックス,2,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,107,171,1,0,0,0.0,0,0,0,-,-,0,-,96,2,1,9,28,8.1,210,102,30,55.7,0,0,3,3
通算,,129,211,1,0,0,0.0,0,0,0,-,-,0,-,105,2,1,12,29,6.9,280,139,43,57.3,0,0,3,3
