大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,埼玉上尾メディックス,26,54,398,107,11,26.9,37,8,3,21.6,1.98,11,0.20,148,1,7,10,52,12.5,302,126,76,54.3,107,11,8,126
スターカンファレンス,埼玉上尾メディックス,15,36,286,84,8,29.4,26,6,2,23.1,2.33,10,0.28,109,1,6,9,36,12.6,214,88,54,53.7,84,10,7,101
交流戦,埼玉上尾メディックス,6,7,26,6,0,23.1,1,0,0,0.0,0.86,1,0.14,10,0,0,0,1,2.5,28,12,9,58.9,6,1,0,7
ファイナル８・Ａグループ,埼玉上尾メディックス,3,5,37,5,1,13.5,5,1,0,20.0,1.0,0,-,13,0,0,1,7,11.5,27,13,4,55.6,5,0,0,5
セミファイナル②,埼玉上尾メディックス,1,3,25,7,1,28.0,2,1,0,50.0,2.33,0,-,5,0,0,0,3,15.0,18,10,1,58.3,7,0,0,7
３位決定戦,埼玉上尾メディックス,1,3,24,5,1,20.8,3,0,1,0.0,1.67,0,-,11,0,1,0,5,20.5,15,3,8,46.7,5,0,1,6
V.LEAGUE DIVISION1 WOMEN 2018-19,埼玉上尾メディックス,27,97,837,254,44,30.3,104,31,9,29.8,2.62,10,0.10,298,3,10,16,78,9.6,764,293,184,50.4,254,10,13,277
Eastern Conference,埼玉上尾メディックス,10,36,310,85,18,27.4,47,12,4,25.5,2.36,5,0.14,125,2,6,7,37,12.4,264,89,84,49.6,85,5,8,98
交流戦,埼玉上尾メディックス,10,35,336,108,13,32.1,39,13,3,33.3,3.09,3,0.09,106,1,2,5,27,8.0,303,130,56,52.1,108,3,3,114
ファイナル８,埼玉上尾メディックス,7,26,191,61,13,31.9,18,6,2,33.3,2.35,2,0.08,67,0,2,4,14,6.7,197,74,44,48.7,61,2,2,65
Ｖ・プレミアリーグ女子 2017/18,埼玉上尾メディックス,20,51,291,94,9,32.3,24,7,1,29.2,1.84,7,0.14,141,1,6,13,49,11.3,255,73,70,42.4,94,7,7,108
レギュラーラウンド,埼玉上尾メディックス,20,51,291,94,9,32.3,24,7,1,29.2,1.84,7,0.14,141,1,6,13,49,11.3,255,73,70,42.4,94,7,7,108
レギュラーシーズン通算,,61,165,1249,377,48,30.2,137,38,10,27.7,2.28,26,0.16,491,5,20,34,150,11.0,1064,392,273,49.7,377,26,25,428
通算,,73,202,1526,455,64,29.8,165,46,13,27.9,2.25,28,0.14,587,5,23,39,179,10.7,1321,492,330,49.7,455,28,28,511
